origin,seed,point,metric,factor,effect,TiDE_KIN,TiDE_CAL,TiDE_HCAL
792,ensemble,average,mae,TiDE_CAL__minus__TiDE_KIN,17.962824331397076,21.406359819043001,39.369184150440077,39.503247819537869
792,ensemble,average,mae,TiDE_HCAL__minus__TiDE_KIN,18.096888000494868,21.406359819043001,39.369184150440077,39.503247819537869
792,ensemble,average,mae,TiDE_HCAL__minus__TiDE_CAL,0.13406366909779166,21.406359819043001,39.369184150440077,39.503247819537869
792,ensemble,average,rmse,TiDE_CAL__minus__TiDE_KIN,19.695190950379928,22.907124080471458,42.602315030851386,42.799102890285752
792,ensemble,average,rmse,TiDE_HCAL__minus__TiDE_KIN,19.891978809814294,22.907124080471458,42.602315030851386,42.799102890285752
792,ensemble,average,rmse,TiDE_HCAL__minus__TiDE_CAL,0.19678785943436594,22.907124080471458,42.602315030851386,42.799102890285752
792,ensemble,average,crps,TiDE_CAL__minus__TiDE_KIN,9.0121179662116297,20.182304862861923,29.194422829073552,29.260269536547092
792,ensemble,average,crps,TiDE_HCAL__minus__TiDE_KIN,9.0779646736851696,20.182304862861923,29.194422829073552,29.260269536547092
792,ensemble,average,crps,TiDE_HCAL__minus__TiDE_CAL,0.065846707473539823,20.182304862861923,29.194422829073552,29.260269536547092
792,ensemble,average,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,average,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,average,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,average,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,average,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,average,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,ensemble,average,width90,TiDE_CAL__minus__TiDE_KIN,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,average,width90,TiDE_HCAL__minus__TiDE_KIN,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,average,width90,TiDE_HCAL__minus__TiDE_CAL,0,229.41683515656848,229.41683515656848,229.41683515656848
792,ensemble,ATU1,mae,TiDE_CAL__minus__TiDE_KIN,29.800832172269732,31.749748896159151,61.550581068428883,62.144776502365993
792,ensemble,ATU1,mae,TiDE_HCAL__minus__TiDE_KIN,30.395027606206842,31.749748896159151,61.550581068428883,62.144776502365993
792,ensemble,ATU1,mae,TiDE_HCAL__minus__TiDE_CAL,0.59419543393710939,31.749748896159151,61.550581068428883,62.144776502365993
