feature_set,horizon_days,split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
full,1,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,481
full,1,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,50
full,1,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
full,1,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,69
full,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,767
full,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,11
full,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,11
full,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,273
full,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,3
full,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
full,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,20
full,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,117
full,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,6
full,1,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
full,1,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
full,1,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,8
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,47
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,51
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,7
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,11
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,1,blue,11
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,5
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,3,orange,3
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,2,yellow,8
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,4,red,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,0,green,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,1,blue,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,3,orange,0
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,0,green,551
full,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,1,blue,33
full,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,2,yellow,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,3,orange,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,0,green,35
full,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,1,blue,999
full,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,2,yellow,5
full,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,3,orange,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,1,blue,10
full,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,2,yellow,171
full,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,3,orange,1
full,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,1,blue,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,2,yellow,14
full,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,3,orange,98
full,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,4,red,21
full,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,1,blue,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,2,yellow,0
full,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,3,orange,2
full,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,4,red,348
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,0,green,4
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,1,blue,25
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,3,orange,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,0,green,27
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,1,blue,5
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,2,yellow,5
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,1,blue,10
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,3
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,3,orange,1
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,2,yellow,9
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,4,red,8
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,0,green,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,1,blue,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,3,orange,2
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,4,red,11
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,486
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,45
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,76
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,759
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,12
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,9
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,275
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,3
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,20
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,123
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,10
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,45
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,58
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,11
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,1,blue,9
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,7
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,3,orange,3
