feature_set,scientific_features,control_features,removed_groups,horizon_days,split,evaluation_role,subset,row_count,metric,metric_direction,full_value,ablation_value,ablation_minus_full,full_status,ablation_status
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,accuracy,higher_is_better,0.13245033112582782,0.13245033112582782,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,macro_f1_supported_classes,higher_is_better,0.11934665716704117,0.11934665716704117,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,balanced_accuracy_supported_classes,higher_is_better,0.1275154288884266,0.1275154288884266,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,ordinal_mae,lower_is_better,0.8675496688741722,0.8675496688741722,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,quadratic_weighted_kappa,higher_is_better,0.32235963139323764,0.32235963139323764,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,multiclass_log_loss,lower_is_better,1.873743546765287,1.873743546765287,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,multiclass_brier,lower_is_better,1.1801289581685184,1.1801289581685184,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,top_label_ece,lower_is_better,0.6395806974581502,0.6395806974581502,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,false_escalation_vs_proxy_rate,lower_is_better,0.40397350993377484,0.40397350993377484,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,transition_only,151,false_deescalation_vs_proxy_rate,lower_is_better,0.46357615894039733,0.46357615894039733,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,accuracy,higher_is_better,0.9471153846153846,0.9471153846153846,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,macro_f1_supported_classes,higher_is_better,0.9253936947860399,0.9253936947860399,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,balanced_accuracy_supported_classes,higher_is_better,0.915136570698021,0.915136570698021,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,ordinal_mae,lower_is_better,0.052884615384615384,0.052884615384615384,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,quadratic_weighted_kappa,higher_is_better,0.9852790132353182,0.9852790132353182,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,multiclass_log_loss,lower_is_better,0.1367506175857372,0.1367506175857372,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,multiclass_brier,lower_is_better,0.07547084120383646,0.07547084120383646,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,top_label_ece,lower_is_better,0.020659411169349558,0.020659411169349558,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,false_escalation_vs_proxy_rate,lower_is_better,0.026223776223776224,0.026223776223776224,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,all,2288,false_deescalation_vs_proxy_rate,lower_is_better,0.02666083916083916,0.02666083916083916,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,accuracy,higher_is_better,0.20909090909090908,0.20909090909090908,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,macro_f1_supported_classes,higher_is_better,0.2288503700600475,0.2288503700600475,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,balanced_accuracy_supported_classes,higher_is_better,0.26670114601149086,0.26670114601149086,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,ordinal_mae,lower_is_better,0.7909090909090909,0.7909090909090909,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,quadratic_weighted_kappa,higher_is_better,0.7864125340356203,0.7864125340356203,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,multiclass_log_loss,lower_is_better,1.3422835389379506,1.3422835389379506,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,multiclass_brier,lower_is_better,0.9254873257352005,0.9254873257352005,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,top_label_ece,lower_is_better,0.4990007029922238,0.4990007029922238,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,false_escalation_vs_proxy_rate,lower_is_better,0.35454545454545455,0.35454545454545455,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,test,historical_holdout_evaluation_only,transition_only,110,false_deescalation_vs_proxy_rate,lower_is_better,0.43636363636363634,0.43636363636363634,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,accuracy,higher_is_better,0.78125,0.78125,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,macro_f1_supported_classes,higher_is_better,0.6074541321010809,0.6074541321010809,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,balanced_accuracy_supported_classes,higher_is_better,0.6487226291607187,0.6487226291607187,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,ordinal_mae,lower_is_better,0.21875,0.21875,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,quadratic_weighted_kappa,higher_is_better,0.8498736523199075,0.8498736523199075,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,multiclass_log_loss,lower_is_better,0.6200069377512517,0.6200069377512517,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,multiclass_brier,lower_is_better,0.3151015404276597,0.3151015404276597,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,top_label_ece,lower_is_better,0.04487534651300402,0.04487534651300402,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,false_escalation_vs_proxy_rate,lower_is_better,0.07979910714285714,0.07979910714285714,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,all,1792,false_deescalation_vs_proxy_rate,lower_is_better,0.13895089285714285,0.13895089285714285,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,accuracy,higher_is_better,0.23,0.23,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,macro_f1_supported_classes,higher_is_better,0.20557272204656513,0.20557272204656513,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,balanced_accuracy_supported_classes,higher_is_better,0.23831399097356545,0.23831399097356545,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,ordinal_mae,lower_is_better,0.77,0.77,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,quadratic_weighted_kappa,higher_is_better,0.44844162872878923,0.44844162872878923,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,multiclass_log_loss,lower_is_better,1.6332773340408784,1.6332773340408784,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,multiclass_brier,lower_is_better,1.0311053448022487,1.0311053448022487,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,top_label_ece,lower_is_better,0.519817146859264,0.519817146859264,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,false_escalation_vs_proxy_rate,lower_is_better,0.33,0.33,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,calibration,chronological_evaluation_only,transition_only,300,false_deescalation_vs_proxy_rate,lower_is_better,0.44,0.44,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,accuracy,higher_is_better,0.860475352112676,0.860475352112676,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,macro_f1_supported_classes,higher_is_better,0.716476751726532,0.716476751726532,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,balanced_accuracy_supported_classes,higher_is_better,0.7424538841206252,0.7424538841206252,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,ordinal_mae,lower_is_better,0.14568661971830985,0.14568661971830985,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,quadratic_weighted_kappa,higher_is_better,0.9562645066532774,0.9562645066532774,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,multiclass_log_loss,lower_is_better,0.41330271957678427,0.41330271957678427,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,multiclass_brier,lower_is_better,0.2100685432059311,0.2100685432059311,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,top_label_ece,lower_is_better,0.04658729508428844,0.04658729508428844,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,false_escalation_vs_proxy_rate,lower_is_better,0.06426056338028169,0.06426056338028169,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,all,2272,false_deescalation_vs_proxy_rate,lower_is_better,0.07526408450704225,0.07526408450704225,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,accuracy,higher_is_better,0.3309608540925267,0.3309608540925267,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,macro_f1_supported_classes,higher_is_better,0.3264224349533628,0.3264224349533628,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,balanced_accuracy_supported_classes,higher_is_better,0.36838922832259524,0.36838922832259524,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,ordinal_mae,lower_is_better,0.7188612099644128,0.7188612099644128,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,quadratic_weighted_kappa,higher_is_better,0.7694081693289379,0.7694081693289379,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,multiclass_log_loss,lower_is_better,1.4200404664798585,1.4200404664798585,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,multiclass_brier,lower_is_better,0.8422180958339793,0.8422180958339793,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,top_label_ece,lower_is_better,0.36554322133037404,0.36554322133037404,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,false_escalation_vs_proxy_rate,lower_is_better,0.2775800711743772,0.2775800711743772,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,3,test,historical_holdout_evaluation_only,transition_only,281,false_deescalation_vs_proxy_rate,lower_is_better,0.3914590747330961,0.3914590747330961,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,7,calibration,chronological_evaluation_only,all,1760,accuracy,higher_is_better,0.7147727272727272,0.7147727272727272,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,7,calibration,chronological_evaluation_only,all,1760,macro_f1_supported_classes,higher_is_better,0.5470847641354722,0.5470847641354722,0.0,ok,ok
