feature_set,scientific_features,control_features,removed_groups,horizon_days,split,evaluation_role,subset,row_count,metric,metric_direction,full_value,ablation_value,ablation_minus_full,full_status,ablation_status
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,accuracy,higher_is_better,0.9059734513274337,0.9059734513274337,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,macro_f1_supported_classes,higher_is_better,0.9048323369006641,0.9048323369006641,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,balanced_accuracy_supported_classes,higher_is_better,0.8951970920665724,0.8951970920665724,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,ordinal_mae,lower_is_better,0.09402654867256637,0.09402654867256637,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,quadratic_weighted_kappa,higher_is_better,0.9387926117807495,0.9387926117807495,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,multiclass_log_loss,lower_is_better,0.24831625079996308,0.24831625079996308,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,multiclass_brier,lower_is_better,0.1430532991988428,0.1430532991988428,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,top_label_ece,lower_is_better,0.017749824293044114,0.017749824293044114,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,false_escalation_vs_proxy_rate,lower_is_better,0.03871681415929203,0.03871681415929203,0.0,ok,ok
full,interval_z;velocity_mm_per_day;delta_v_mm_per_day;tangent_angle_degree,station_ATU1;station_ATU2;station_ATU3;station_ATU4;station_ATU5;station_MJ1;station_MJ3;station_MJ9,<none>,1,calibration,chronological_evaluation_only,all,1808,false_deescalation_vs_proxy_rate,lower_is_better,0.05530973451327434,0.05530973451327434,0.0,ok,ok
