fit_days,strategy,seed,epoch,loss,anchor_loss,paired_loss,balanced_loss,anchor_weight,paired_weight,anchor_norm,paired_norm,gradient_norm,gradient_dot,raw_anchor_slope,raw_paired_slope,elapsed_seconds
432,OOF_RESET,0,1,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.013972603427411665,0.9655093564185533,0.03449064358144668,0.026658662060461524,0.7462657978009323,0.03191814520309819,-0.004598108300077973,-0.000527580590717973,-0.014768758820059815,434.29157037474215
432,OOF_RESET,0,2,0.1209834297962808,0.0059303892592483904,0.2360364703333132,0.014072181410345642,0.964617223008215,0.03538277699178508,0.027214137572719385,0.7419210147935792,0.030938573835973194,-0.006168298385939614,-0.0004961529444907152,-0.013526289234253709,434.5054968330078
432,OOF_RESET,0,3,0.12005746048000082,0.005871979696726826,0.23424294126327483,0.014347791788322593,0.962885771319372,0.03711422868062799,0.02872249007823113,0.7451718113604787,0.03208072665347309,-0.007003829963679986,-0.0005344211396979406,-0.013864938855000942,434.71376358298585
432,OOF_RESET,0,4,0.11902446996139507,0.005805096453917686,0.23224384346887245,0.014582077649429804,0.961239048920667,0.03876095107933298,0.030235942538584852,0.7498259934211446,0.03338771803880549,-0.007712175990615771,-0.0005798452097272107,-0.01437967445067605,434.9162974166684
432,OOF_RESET,0,5,0.11787692528568167,0.005729920570048263,0.23002393000131507,0.014747358450300365,0.9597963498752496,0.040203650124750336,0.03164981950504738,0.7555876429352844,0.034676962183660696,-0.00833277526267467,-0.0006264306518999205,-0.014955006604571348,435.1279452079907
432,OOF_RESET,0,6,0.11660869074044465,0.00564702636828671,0.2275703551126026,0.01482681305124588,0.9586353235826979,0.041364676417302036,0.03289705588819533,0.7623963861858525,0.035837210718269945,-0.008886551372206522,-0.0006698614376454749,-0.015524183715462145,435.3495688326657
432,OOF_RESET,0,7,0.11521614429500653,0.005557106298977852,0.2248751822910352,0.014810473569016531,0.9578084604828753,0.04219153951712485,0.03392580594935829,0.7701644533214219,0.03678143545087848,-0.009389688681307283,-0.000706234100889595,-0.016032527010279286,435.5547747500241
432,OOF_RESET,0,8,0.11369862177901836,0.005461014005974579,0.22193622955206216,0.01469172042027964,0.9573590612162257,0.04264093878377427,0.03468511894224209,0.7787378480830633,0.03742205841221129,-0.00985826057138024,-0.0007313924903096844,-0.016420961823896775,435.77822762494907
432,OOF_RESET,0,9,0.11206006350200083,0.005359795996558529,0.21876033100744313,0.014467518183393355,0.9573209964709307,0.042679003529069316,0.03512240885861143,0.7878210985897063,0.037665633972776225,-0.010308616049553397,-0.0007409740242828956,-0.0166205846582718,435.99806150002405
432,OOF_RESET,0,10,0.11031015268865943,0.005254418111310616,0.21536588726600825,0.0141391344862671,0.9577142722827044,0.04228572771729553,0.03518838967349043,0.796969209901125,0.0374296432299408,-0.010747030237753702,-0.0007314176225970995,-0.016565615255423768,436.2021051668562
432,OOF_RESET,0,11,0.10846083992591783,0.005145886599530509,0.21177579325230517,0.013711933618088038,0.9585440115745099,0.04145598842549012,0.034847749981228186,0.805748537907575,0.03665090703861665,-0.011176444655799487,-0.0007006923889424884,-0.01620138655200136,436.4075612919405
432,OOF_RESET,0,12,0.10652538328473528,0.005035741870447556,0.208015024699023,0.013197133403150322,0.959791997395146,0.040208002604854035,0.03409147638386068,0.813786412973047,0.035284603248136405,-0.011612567820395927,-0.0006485797077686148,-0.015482032751212788,436.6199782076292
432,OOF_RESET,0,13,0.10452264898993664,0.004925882783398828,0.20411941519647445,0.012613297187688348,0.9614073092074705,0.03859269079252945,0.03294407340238459,0.820690973179071,0.03332180679785741,-0.012074043786015044,-0.0005774570245305494,-0.014385402850540165,436.82800249988213
432,OOF_RESET,0,14,0.10247650469728878,0.004818418552786466,0.20013459084179108,0.011988597128714487,0.9632893759287967,0.03671062407120329,0.03148176971565462,0.8260838672670652,0.030820884430329425,-0.01257547967063767,-0.000493064151232754,-0.012938038253248718,437.03245295770466
432,OOF_RESET,0,15,0.10041417427216177,0.0047152385000368766,0.19611311004428666,0.011364398406845017,0.9652600112364839,0.034739988763516125,0.029859211718704655,0.8296462971046817,0.02795238939569248,-0.013122370743275515,-0.0004047282928086607,-0.011245485400803857,437.23408979177475
432,OOF_RESET,0,16,0.09836455392125261,0.004617187595866417,0.1921119202466388,0.010790937655221721,0.9670724079974314,0.03292759200256857,0.02830065431718056,0.8311807895422102,0.025014106508483,-0.013698221028833828,-0.0003235050029570244,-0.009501234168124446,437.4383364575915
432,OOF_RESET,0,17,0.09635286354267694,0.004523512767694257,0.18818221431765964,0.01031461923765499,0.968468107303997,0.03153189269600292,0.027046132996818194,0.8306928317259256,0.02238241666863988,-0.014264484340462609,-0.0002586417519329606,-0.007943902713967325,437.64365795766935
432,OOF_RESET,0,18,0.09439515589071774,0.004431855487520309,0.18435845629391517,0.009958979390837949,0.9692812297984501,0.030718770201549863,0.02625368128398321,0.828392553305793,0.02038356969636734,-0.014771223319066029,-0.00021432887628137638,-0.006762801877167955,437.84919224958867
432,OOF_RESET,0,19,0.0924966475860632,0.0043388345838906725,0.18065446058823573,0.009711435155166587,0.9695285058220335,0.030471494177966473,0.025916827456701704,0.8246101373628251,0.01914052486169076,-0.015170826554462714,-0.0001889370399018732,-0.00601151505471484,438.05043016700074
432,OOF_RESET,0,20,0.09065120965484091,0.004241066323897587,0.17706135298578424,0.009528330341937905,0.9694059990284326,0.03059400097156741,0.025869414278369297,0.8197020525726347,0.018513423273737107,-0.015426893350762699,-0.00017678188584352789,-0.005601536746224907,438.2510683326982
432,OOF_RESET,0,21,0.0888461063967003,0.004135930246311186,0.17355628254708944,0.009354580587395772,0.969197028159759,0.030802971840241018,0.025868954209315592,0.8139511236547423,0.018199472835523763,-0.015508748057400506,-0.00017087382744036329,-0.005376442461604636,438.4602474998683
432,OOF_RESET,0,22,0.0870677230306116,0.0040220221292650744,0.1701134239319581,0.009143581814750251,0.9691642094057988,0.03083579059420121,0.02569300877153102,0.8075273587439589,0.017907280241867423,-0.01538272000975445,-0.0001654367147221527,-0.005199650786983206,438.66948820790276
