candidate,phase,station,days,rmse_mm,mae_mm,bias_mm
A_baseline,train,ATU1,762,10.73586709259416,6.906358278357894,-1.5163447233673297
A_baseline,train,ATU5,762,13.045818533748102,9.774916569522075,-0.5282461095427914
A_baseline,train,MJ3,762,37.24299734372784,30.898413947772667,-15.696244172017574
A_baseline,train,MJ1,762,13.66376386933342,11.34657968127413,5.4354685056979735
A_baseline,train,four_point_mean,762,18.67211170985088,14.731567119231691,-3.076341624807431
B_baseline,train,ATU1,762,12.12061220337945,7.991466305348948,-2.4053371759625586
B_baseline,train,ATU5,762,16.622195814887352,12.371456182607602,-1.0021733437623677
B_baseline,train,MJ3,762,14.546922536462928,11.41887299723195,-9.752492829467117
B_baseline,train,MJ1,762,8.039703889952271,6.543584625410901,0.20574876218178503
B_baseline,train,four_point_mean,762,12.8323586111705,9.58134502764985,-3.238563646752565
A_continued,train,ATU1,762,10.731999065672692,6.893802723345393,-1.489262128673108
A_continued,train,ATU5,762,13.042557493831772,9.771864931127709,-0.5222878073107363
A_continued,train,MJ3,762,37.21115962529779,30.9188889752559,-15.550456836111326
A_continued,train,MJ1,762,13.68616603271834,11.351593696927974,5.411397770557498
A_continued,train,four_point_mean,762,18.667970554380148,14.734037581664246,-3.037652250384418
B_continued,train,ATU1,762,12.117561599619535,7.987673748093109,-2.3960167827363197
B_continued,train,ATU5,762,16.618472910630352,12.360582667233075,-0.9852912676060466
B_continued,train,MJ3,762,14.506758382338266,11.39725987742934,-9.697907521519314
B_continued,train,MJ1,762,8.035814423772575,6.5304414088884215,0.25004530755232846
B_continued,train,four_point_mean,762,12.819651829090184,9.568989425410987,-3.207292566077338
