candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day
A_baseline,train_last30,ATU1,30,2018-08-01,2018-08-31,0.05565271729221119,0.1129506121381155,0.22473674948187466,-0.1117861373437601
A_baseline,train_last30,ATU5,30,2018-08-01,2018-08-31,0.14503200576809075,0.28934003552045245,0.32061946009386966,-0.031279424573417224
A_baseline,train_last30,MJ3,30,2018-08-01,2018-08-31,0.03640079594953628,0.25871823925645004,0.30397717899856314,-0.045258939742120675
A_baseline,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.20764759198700253,0.17203359722233813,0.03561399476466439
A_baseline,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.1468426480671945,0.2377191532875467,-0.0908765052203522
A_baseline,train_last90,ATU5,90,2018-06-02,2018-08-31,0.28704997641620544,0.39258164422079367,0.33478318416387715,0.05779846005691651
A_baseline,train_last90,MJ3,90,2018-06-02,2018-08-31,0.03813689219774561,0.2750700642939642,0.30865579011425837,-0.03358572582029551
A_baseline,train_last90,MJ1,90,2018-06-02,2018-08-31,0.19121881842661423,0.2844913633948699,0.17470597050360195,0.10978539289126779
B_baseline,train_last30,ATU1,30,2018-08-01,2018-08-31,0.05565271729221119,0.1568991294766685,0.2296913017282757,-0.07279217225160627
B_baseline,train_last30,ATU5,30,2018-08-01,2018-08-31,0.14503200576809075,0.25787572614761983,0.29335204537192205,-0.03547631922430317
B_baseline,train_last30,MJ3,30,2018-08-01,2018-08-31,0.03640079594953628,0.1379653040063734,0.13813189255463432,-0.00016658854826137788
B_baseline,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.25934491703825036,0.26730098390302337,-0.007956066864776783
B_baseline,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.16845043640679858,0.24059051563085126,-0.07214007922405269
B_baseline,train_last90,ATU5,90,2018-06-02,2018-08-31,0.28704997641620544,0.3797574149614206,0.2988650056324704,0.08089240932894957
B_baseline,train_last90,MJ3,90,2018-06-02,2018-08-31,0.03813689219774561,0.16769728804546402,0.14094692751099921,0.02675036053446465
B_baseline,train_last90,MJ1,90,2018-06-02,2018-08-31,0.19121881842661423,0.35352415305070384,0.27287337238883125,0.08065078066187238
A_continued,train_last30,ATU1,30,2018-08-01,2018-08-31,0.05565271729221119,0.11252153932820003,0.2244309598128647,-0.11190942048466468
A_continued,train_last30,ATU5,30,2018-08-01,2018-08-31,0.14503200576809075,0.2894010239336694,0.320665108969889,-0.031264085036220496
A_continued,train_last30,MJ3,30,2018-08-01,2018-08-31,0.03640079594953628,0.25651695815145104,0.3033733002436596,-0.04685634209221187
A_continued,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.20673039246560546,0.1716858528535809,0.03504453961202595
A_continued,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.14651678248707564,0.23740016339273778,-0.09088338090566216
A_continued,train_last90,ATU5,90,2018-06-02,2018-08-31,0.28704997641620544,0.3923910264176748,0.3348317275917209,0.05755929882595423
A_continued,train_last90,MJ3,90,2018-06-02,2018-08-31,0.03813689219774561,0.2738865015957218,0.30800624095260315,-0.03411973935688124
A_continued,train_last90,MJ1,90,2018-06-02,2018-08-31,0.19121881842661423,0.28370541991705395,0.17432691719922166,0.10937850271783166
B_continued,train_last30,ATU1,30,2018-08-01,2018-08-31,0.05565271729221119,0.15667258710828,0.22963824616428022,-0.07296565905600119
B_continued,train_last30,ATU5,30,2018-08-01,2018-08-31,0.14503200576809075,0.25786640205048267,0.2933499902498833,-0.03548358819940063
B_continued,train_last30,MJ3,30,2018-08-01,2018-08-31,0.03640079594953628,0.1378603406981938,0.138045060643825,-0.00018471994562977063
B_continued,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.25940937824967325,0.26731248727052065,-0.007903109020845515
B_continued,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.16819056816551287,0.24053714943553864,-0.07234658127002579
B_continued,train_last90,ATU5,90,2018-06-02,2018-08-31,0.28704997641620544,0.3795017519972981,0.2988626438349169,0.08063910816238148
B_continued,train_last90,MJ3,90,2018-06-02,2018-08-31,0.03813689219774561,0.16754269606488428,0.1408585216580352,0.026684174406849732
B_continued,train_last90,MJ1,90,2018-06-02,2018-08-31,0.19121881842661423,0.35343193062663353,0.27288550990636506,0.08054642072026894
