model,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
TCN_DIRECT_COND,0,ATU1,376,100.71786365301929,118.72173313734051,73.979298284769044,0.35372340425531917,192.90157832842212,481.40556655796536,0.60904255319148937,247.5864953770571,516.01240412122854,0.81648936170212771,295.01750553749486,580.23825060045363
TCN_DIRECT_COND,0,ATU5,376,106.93458962106335,127.16376130078142,80.894104498822969,0.34840425531914893,181.67828459232396,571.83071223391255,0.41223404255319152,233.1815538167713,685.70210378362549,0.68882978723404253,277.85295898152526,794.35321224629502
TCN_DIRECT_COND,0,MJ3,376,69.508246156492802,77.406132258174182,45.289589429087215,0.91755319148936165,227.29841496685643,239.89967539926758,1,291.73435725130275,291.73435725130275,1,347.62292759461707,347.62292759461707
TCN_DIRECT_COND,0,MJ1,376,27.0456016666745,31.243609486295007,19.229333854759439,0.42819148936170215,47.878197909940106,119.15923456720334,0.72872340425531912,61.451001739909771,146.29008902776289,0.83244680851063835,73.223384896171424,192.78126700925628
TCN_DIRECT_COND,1,ATU1,376,129.34787988199213,150.35867643905752,98.17305400317116,0.33244680851063829,192.90157832842212,717.3547891719893,0.38563829787234044,247.5864953770571,941.89794990634039,0.59042553191489366,295.01750553749486,1242.4700934727546
TCN_DIRECT_COND,1,ATU5,376,138.03007526011885,165.54048333307648,110.41738104374754,0.3271276595744681,181.67828459232396,865.76480730998276,0.34840425531914893,233.18155381677133,1259.2202459838554,0.46542553191489361,277.85295898152526,1771.0242124703834
TCN_DIRECT_COND,1,MJ3,376,86.650708038095999,95.990325988488607,56.790175700634251,0.72340425531914898,227.29841496685643,295.60728732143428,0.89893617021276595,291.73435725130275,309.19846210656158,1,347.62292759461707,347.62292759461707
TCN_DIRECT_COND,1,MJ1,376,35.777555368139481,44.317505113071128,28.411959318388615,0.36968085106382981,47.878197909940077,219.76069443215903,0.47340425531914893,61.451001739909771,327.05512365825348,0.5771276595744681,73.22338489617141,494.38823023777496
TCN_DIRECT_COND,2,ATU1,376,87.117674627133212,101.41082250637582,61.209367319990044,0.42021276595744683,192.90157832842212,344.14842169451816,0.875,247.5864953770571,381.82157349326451,0.88829787234042556,295.01750553749486,453.65563769785058
TCN_DIRECT_COND,2,ATU5,376,89.196978745853599,105.81459187675756,64.664627475048832,0.36170212765957449,181.67828459232396,400.69481936748832,0.7792553191489362,233.1815538167713,421.9886477679392,0.88297872340425532,277.85295898152526,530.34382058844483
TCN_DIRECT_COND,2,MJ3,376,61.559547158644712,67.586033407365377,39.862758953046225,0.94946808510638303,227.29841496685643,229.70974328383889,1,291.73435725130275,291.73435725130275,1,347.62292759461707,347.62292759461707
TCN_DIRECT_COND,2,MJ1,376,19.377758988555655,23.04659071077705,13.171815477243326,0.79255319148936165,47.87819790994012,78.267173304015444,0.88297872340425532,61.451001739909771,100.73145379753507,0.90691489361702127,73.22338489617141,127.41501454958016
TCN_BRES_COND,0,ATU1,376,42.62692694237635,46.793694784594166,37.253611056296549,0.093085106382978719,26.592901340009586,327.6095199103562,0.12234042553191489,34.131619356018135,568.6681005446369,0.16489361702127658,40.670332955893706,997.91787791826471
TCN_BRES_COND,0,ATU5,376,52.065795687139591,57.348940480512702,44.776638749984926,0.095744680851063829,36.596595915031685,385.4981205642062,0.1702127659574468,46.971222339646374,654.84652979900648,0.20744680851063829,55.969663553683745,1125.4243242199532
TCN_BRES_COND,0,MJ3,376,34.368121864159122,41.022210099694547,27.190457375022465,1,214.34211211398454,214.34211211398454,1,275.10512257015898,275.10512257015898,1,327.80797231138467,327.80797231138467
TCN_BRES_COND,0,MJ1,376,36.231177429127939,43.787433547293951,27.229606368740981,0.52393617021276595,55.996305046260204,189.36962554093461,0.6728723404255319,71.870479446592796,272.79818065240886,0.71542553191489366,85.638958360094861,405.40591477195159
TCN_BRES_COND,1,ATU1,376,51.279689581878621,56.677078096284724,45.610920948265765,0.042553191489361701,26.592901340009586,409.19914724949132,0.047872340425531915,34.131619356018135,727.37457479298052,0.10904255319148937,40.670332955893699,1305.149014284947
TCN_BRES_COND,1,ATU5,376,64.02140426076825,70.428067079532468,56.263043138217057,0.045212765957446811,36.596595915031685,497.64165274708648,0.090425531914893623,46.971222339646374,871.7194530628758,0.18351063829787234,55.969663553683745,1548.9391384685321
TCN_BRES_COND,1,MJ3,376,41.102549206365993,47.980714472024509,29.888527981116926,1,214.34211211398454,214.34211211398454,1,275.10512257015898,275.10512257015898,1,327.80797231138467,327.80797231138467
TCN_BRES_COND,1,MJ1,376,39.547512726583328,49.041809432267328,30.54529202267776,0.55585106382978722,55.996305046260204,221.45425803907509,0.63297872340425532,71.870479446592796,338.29722384593765,0.69946808510638303,85.638958360094861,531.31768747701869
TCN_BRES_COND,2,ATU1,376,41.754256142608156,44.998667592819828,36.274562681031561,0.077127659574468085,26.592901340009586,316.95799474733934,0.10638297872340426,34.131619356018135,546.6804308251202,0.12234042553191489,40.670332955893706,950.01893068059314
TCN_BRES_COND,2,ATU5,376,51.357827362871454,55.943146513194478,43.987098047634156,0.11968085106382979,36.596595915031685,378.07710328632186,0.14361702127659576,46.971222339646374,639.68589768444303,0.19946808510638298,55.969663553683745,1091.1628303757129
TCN_BRES_COND,2,MJ3,376,35.648067855311886,42.126333796490307,27.592760387542203,1,214.34211211398454,214.34211211398454,1,275.10512257015898,275.10512257015898,1,327.80797231138467,327.80797231138467
