outer_days,strategy,station,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,train_rmse_mm_minus_U,train_mae_mm_minus_U,train_crps_mm_minus_U,prediction_rmse_mm_minus_U,prediction_mae_mm_minus_U,prediction_crps_mm_minus_U,strict_mean_improvement
432,U,ATU1,-8.150717839872613,-6.358319327677471,-0.9288544517206478,11.05842274223685,11.180339539371545,9.706800600796186,0.0,0.0,0.0,0.0,0.0,0.0,False
432,U,ATU5,-3.0096530474848993,-2.2258534203597207,0.08997765910561561,9.035562805594367,9.353232010380538,8.369959422220674,0.0,0.0,0.0,0.0,0.0,0.0,False
432,U,MJ3,-5.731279656127023,-5.054963072535806,-0.759894964615051,-3.3150771676603625,-2.80035525682354,-1.2507768480796368,0.0,0.0,0.0,0.0,0.0,0.0,True
432,U,MJ1,-7.570945045127677,-6.40309114558119,-4.405128933652669,-6.466901119169384,-6.1044100717315075,-6.394440142382404,0.0,0.0,0.0,0.0,0.0,0.0,True
432,L,ATU1,-6.391660258641833,-5.766275059113923,-1.0021779309406753,10.460810617670965,10.58507355499691,9.477886525130714,1.7590575812307805,0.5920442685635476,-0.07332347922002747,-0.5976121245658845,-0.5952659843746346,-0.22891407566547173,False
432,L,ATU5,-2.2491173993262423,-1.8429419780075338,0.009297074765639124,6.234691508764826,6.454221163883915,5.8242397191830975,0.760535648158657,0.38291144235218677,-0.08068058433997649,-2.8008712968295413,-2.8990108464966227,-2.5457197030375767,False
432,L,MJ3,-5.399172093540919,-4.817938708824453,-0.9591347717078857,-2.7526205734130613,-2.199721829727048,-1.2333706191971574,0.3321075625861042,0.23702436371135194,-0.19923980709283473,0.5624565942473012,0.6006334270964917,0.017406228882479446,True
432,L,MJ1,-7.100222711237834,-6.083794083313801,-4.30748383268695,-7.94100009405164,-7.440474451321361,-7.238321407038079,0.4707223338898423,0.31929706226738785,0.09764510096571988,-1.4740989748822564,-1.3360643795898532,-0.8438812646556748,True
612,U,ATU1,-6.72936376149643,-5.195226663137644,2.106888760642896,4.089419736615876,3.688612278296015,2.910552401888962,0.0,0.0,0.0,0.0,0.0,0.0,False
612,U,ATU5,-8.217961457986284,-7.039581809146755,1.854375745450028,0.33653479827469646,0.11362924093063498,2.1365981073058222,0.0,0.0,0.0,0.0,0.0,0.0,False
612,U,MJ3,-4.767158093921305,-4.17565392134626,-1.3650896871848812,-0.36676185707127473,0.05197876414403879,0.5481957880829142,0.0,0.0,0.0,0.0,0.0,0.0,False
612,U,MJ1,-4.417018765317092,-3.1239888186149125,-2.0163974910499745,-0.17396129000297123,-0.22468184672421465,-0.0035003936014632586,0.0,0.0,0.0,0.0,0.0,0.0,True
612,L,ATU1,-5.621315408796504,-4.627815030466362,2.0030197574143873,4.166263562063091,4.306167541358743,2.7865104023529668,1.1080483526999254,0.5674116326712824,-0.10386900322850856,0.0768438254472148,0.6175552630627283,-0.12404199953599537,False
612,L,ATU5,-7.70362875119538,-6.63099320019008,1.2112136078883964,-0.4866244025543969,-0.7640519617266848,1.4720971626615906,0.5143327067909045,0.4085886089566745,-0.6431621375616317,-0.8231592008290933,-0.8776812026573197,-0.6645009446442316,True
612,L,MJ3,-4.578672319528332,-4.0651699505376495,-1.3784915296189504,1.5586164327275611,1.4090732163621311,2.020543328270655,0.18848577439297332,0.11048397080861017,-0.013401842434069167,1.9253782897988359,1.3570944522180923,1.4723475401877408,False
612,L,MJ1,-4.144036037008078,-2.9799602960958387,-2.3167549854146383,0.2143923522725757,-0.26323820969330214,0.3385479691291682,0.27298272830901404,0.14402852251907383,-0.30035749436466386,0.3883536422755469,-0.03855636296908749,0.34204836273063144,False
