fit_days,strategy,seed,epoch,loss_before_update,gradient_norm,elapsed_seconds
342,U,0,1,0.011717580846588286,0.07594396032080299,5.641181624960154
342,U,0,2,0.011530273800469535,0.07336305346896663,5.992200332693756
342,U,0,3,0.011323395370774599,0.07200121814611843,6.282848832663149
342,U,0,4,0.011093277791193165,0.07065260110707722,6.9945541666820645
342,U,0,5,0.010839361706781169,0.06924105406498604,7.44230758305639
342,U,0,6,0.010561565585895608,0.0677344817693806,7.696252916939557
342,U,0,7,0.010260050219793128,0.06612412438445205,7.979069999884814
342,U,0,8,0.009935124143472546,0.06441619863387826,8.347596833016723
342,U,0,9,0.00958732947955731,0.06261552508480522,8.63178712502122
342,U,0,10,0.009217711239338398,0.06071922037062248,9.048122916836292
342,U,0,11,0.00882804256459247,0.0587183375386736,9.502251582685858
342,U,0,12,0.008420936732828626,0.056601368352086054,9.92388758296147
342,U,0,13,0.008000005887822431,0.05435292695169078,10.299127666745335
342,U,0,14,0.0075699367160614135,0.05196212404513791,10.549363624770194
342,U,0,15,0.007136433493369582,0.04942811549461073,10.797945291735232
342,U,0,16,0.006705945137871953,0.046774666520791805,11.199764916673303
342,U,0,17,0.006284894888055998,0.044075849666952195,11.506435291841626
342,U,0,18,0.005878571410383018,0.04145657952315521,11.88468433311209
342,U,0,19,0.005490235691190214,0.039049323135738,12.326134166680276
342,U,0,20,0.005120950471309114,0.03691741610758882,12.74394499976188
342,U,0,21,0.004770362174074642,0.034989282991098054,13.16727775009349
342,U,0,22,0.004438528615983949,0.03305958554350634,13.579765707720071
342,U,0,23,0.004128128551837135,0.0308967037562627,13.839285249821842
342,U,0,24,0.003844141771842925,0.028418862248118532,14.04498783312738
342,U,0,25,0.0035897066144104815,0.025760532608130635,14.239418582990766
342,U,0,26,0.003363073653132918,0.023148954208088098,14.460456999950111
342,U,0,27,0.0031591700723506734,0.020756099482771434,14.726085791829973
342,U,0,28,0.0029726489274416335,0.018671556353585996,15.08965937467292
342,U,0,29,0.0027995338994789443,0.016929418006336235,15.53257833281532
342,U,0,30,0.0026376835506423824,0.015536556406523662,16.15884512476623
342,U,0,31,0.0024865886809346304,0.014494434085796778,16.632601541932672
342,U,0,32,0.0023466465676785274,0.013796992702196469,17.066524082794785
342,U,0,33,0.0022181754354674236,0.013400899999587764,17.484628125093877
342,U,0,34,0.0021008130684229695,0.01319440196656612,17.759707916993648
342,U,0,35,0.001993739785741469,0.012998257835864847,17.97575491666794
342,U,0,36,0.0018949074802008259,0.012575480569663823,18.169476042035967
342,U,0,37,0.0017994494183525313,0.011677081840395355,18.40849324967712
342,U,0,38,0.001703958063264449,0.010349226659904473,18.71358845802024
342,U,0,39,0.0016105232274185098,0.009104923991325701,19.14068308286369
342,U,0,40,0.0015242711795322166,0.008608597756189149,19.649778542108834
