model,horizon,point,n,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse
B_ANCHOR,1,ATU1,376,0.242109443134,0.773936170213,1.10403403283,1.97278644667,0.845744680851,1.41701234036,2.76316086448,0.882978723404,1.68847434644,3.88813401451,0.265010890428,0.521885441099
B_ANCHOR,1,ATU5,376,0.21410031798,0.816489361702,1.05884710298,1.86551965912,0.856382978723,1.35901554378,2.69285401399,0.872340425532,1.61936690085,3.87233031434,0.218684496937,0.568615924845
B_ANCHOR,1,MJ3,376,0.209071240403,0.81914893617,0.916387169278,1.53736011031,0.904255319149,1.17617019838,2.07836257063,0.917553191489,1.40149323365,2.78306065894,0.265150899902,0.472188753227
B_ANCHOR,1,MJ1,376,0.164210981264,0.811170212766,0.673325788748,1.01176010656,0.896276595745,0.864204293857,1.31614069203,0.909574468085,1.02976293057,1.6780517485,0.240820093362,0.32078579677
B_ANCHOR,2,ATU1,375,0.469201305244,0.757333333333,2.06140798954,3.83042399991,0.834666666667,2.64578851088,5.40373131339,0.864,3.15265146215,7.66972268147,0.51677054046,0.983880873196
B_ANCHOR,2,ATU5,375,0.425073688224,0.808,2.05919546093,3.71010902966,0.848,2.64294876115,5.39342788421,0.864,3.14926769164,7.85450426713,0.4344113102,1.10629554594
B_ANCHOR,2,MJ3,375,0.421986023555,0.832,1.8397918684,3.13111224942,0.901333333333,2.3613472988,4.29408020404,0.914666666667,2.81371885304,5.84998540793,0.531118588475,0.945156218725
B_ANCHOR,2,MJ1,375,0.330104385941,0.805333333333,1.34431429482,2.0529053482,0.896,1.72540871788,2.69428974345,0.904,2.05595129575,3.49256861834,0.481731886133,0.641859549539
B_ANCHOR,3,ATU1,374,0.673509490866,0.737967914439,2.90177379689,5.46256130244,0.820855614973,3.72438634757,7.73623275575,0.868983957219,4.43788005579,11.0490020857,0.746000471858,1.39288145424
B_ANCHOR,3,ATU5,374,0.628134449963,0.799465240642,2.9885115274,5.48792494692,0.842245989305,3.83571301943,8.02464560489,0.877005347594,4.57053396724,11.899396396,0.643202919616,1.6001174807
B_ANCHOR,3,MJ3,374,0.638270694852,0.842245989305,2.76372021983,4.78126889635,0.898395721925,3.54719649969,6.63542190964,0.911764705882,4.22674532953,9.18380585227,0.797934369424,1.41864818542
B_ANCHOR,3,MJ1,374,0.497498474097,0.802139037433,2.00789430339,3.12148447076,0.893048128342,2.5771044383,4.12640992589,0.901069518717,3.07080934175,5.43375314903,0.722723139953,0.963098289817
B_ANCHOR,4,ATU1,373,0.859341674414,0.73726541555,3.64410179087,6.98875665776,0.812332439678,4.67715401304,9.93064574486,0.8418230563,5.57317275257,14.1409177307,0.954701874804,1.75495478099
B_ANCHOR,4,ATU5,373,0.82270342027,0.782841823056,3.84531002119,7.17722195567,0.839142091153,4.93540198082,10.6077369206,0.871313672922,5.88089418605,15.8378436368,0.84760483902,2.04726345129
B_ANCHOR,4,MJ3,373,0.857783744597,0.847184986595,3.68579275251,6.48338085865,0.895442359249,4.73066378299,9.09807642989,0.908847184987,5.63693357616,12.777874158,1.06550723559,1.89246659985
B_ANCHOR,4,MJ1,373,0.666393555436,0.801608579088,2.6633533891,4.22141715495,0.890080428954,3.41837706706,5.61098911951,0.900804289544,4.07324750801,7.50162155443,0.963751875097,1.28440224855
B_ANCHOR,5,ATU1,372,1.03050871719,0.733870967742,4.3037953336,8.37607623073,0.793010752688,5.52386150854,11.9341106337,0.838709677419,6.58208696199,16.9846867773,1.15199865683,2.076320812
B_ANCHOR,5,ATU5,372,1.00894708112,0.782258064516,4.63616723205,8.8026864636,0.838709677419,5.95045622183,13.043417483,0.870967741935,7.09040591531,19.5910491926,1.04703320784,2.45151556301
B_ANCHOR,5,MJ3,372,1.0802735983,0.852150537634,4.60305408576,8.23316513172,0.89247311828,5.90795595868,11.6762710057,0.908602150538,7.03976372823,16.6283559539,1.33383533731,2.36647259531
B_ANCHOR,5,MJ1,372,0.836776670377,0.798387096774,3.31037703187,5.34838752577,0.889784946237,4.24882292203,7.14968094932,0.897849462366,5.06278477758,9.69227673755,1.20486486498,1.60570243617
