fit_days,recipe,selected_by_training,station,train_days,prediction_days,train_rmse_mm,train_mae_mm,train_bias_mm,prediction_rmse_mm,prediction_mae_mm,prediction_bias_mm,last_training_error_mm,first_prediction_error_mm,last_prediction_error_mm,growth_error_mm_per_day,increment30_rmse_mm,increment30_mae_mm,oracle_constant_removed_rmse_mm,oracle_linear_removed_rmse_mm,oracle_linear_slope_mm_per_day,oracle_linear_explained_error_fraction,observed_peak30_increment_mm,predicted_peak30_increment_mm,observed_peak30_date,predicted_peak30_date,peak30_date_difference_days,growth_error_days_1_60_mm_per_day,growth_error_days_61_120_mm_per_day,growth_error_days_121_180_mm_per_day
252,A,False,ATU1,222,180,0.9181057109894192,0.6710164456291132,-0.26779885685140176,68.58736669544886,53.29170407623037,-53.125614594070036,0.0025026919500632516,0.13360813039069797,-146.58420611314176,-0.8143706044727324,23.690161263446072,19.094104785006586,43.38082461431894,9.03993874810009,-0.8165489743617991,0.9826282841317027,46.156769164733305,1.2204950885798453,2017-07-19,2017-05-19,-61,-0.34810185834194285,-1.0457918746737538,-1.0492180804025004
252,A,False,ATU5,222,180,1.4367571617393016,1.2246022438075062,-0.06464919623147919,82.5048041105091,61.35862687941811,-61.297478265907024,-0.00099205267829916,0.04142040456467555,-178.02457593378682,-0.9890199104506029,29.59580833763868,23.829687808954926,55.22374362132772,12.362981440571522,-1.0358228005531769,0.9775462977380143,52.4283610571446,1.4197352645717132,2017-07-18,2017-03-10,-130,-0.23669728873975232,-1.3556069114733065,-1.3747555311387498
252,A,False,MJ3,222,180,4.648547791522893,3.941059239317727,0.46087613868942073,54.0610682954475,42.30290127228436,-42.30290127228436,-0.011343476296019617,-0.37735490995476084,-106.33694636011091,-0.5906977937989717,18.499621184668076,16.276085884348145,33.66101081655751,5.990789105266576,-0.6374741707278164,0.987719987308772,35.313006808736986,22.619599497564877,2017-06-14,2017-07-03,19,-0.23159294171391592,-0.7205491209481011,-0.8199513187348979
252,A,False,MJ1,222,180,5.726263776407489,4.3743734724126915,2.640049130500836,24.87643304560043,22.154190647093483,-22.154190647093483,-0.02224600736872162,-0.41639509799324514,-30.275239932106388,-0.1680721884707648,10.807043405692008,9.998153334279452,11.314979356785255,6.797144654900221,-0.17409034266560533,0.925341921455515,26.967025378337325,37.63862014890458,2017-06-18,2017-07-04,16,-0.2916917339314883,-0.07072991623642413,-0.141794915244382
252,B,True,ATU1,222,180,0.8785733711218792,0.6550618619138928,-0.24696779546876804,68.36179413198815,53.16855816704574,-53.00575944531164,0.002289413519569905,0.1310568035226254,-145.9788993342728,-0.8110066041544021,23.570537150182968,19.010848766623784,43.170874007484315,8.972832718817713,-0.8126927519958894,0.9827721041236466,46.156769164733305,1.628938884937952,2017-07-19,2017-07-27,8,-0.34951137642313107,-1.0426224536883855,-1.0408859823516896
252,B,True,ATU5,222,180,1.4371414023155096,1.224944974292054,-0.06453646628455724,82.50140419241626,61.355797091865156,-61.294639656711134,-0.0009928041769171614,0.041438217423646506,-178.0180526822642,-0.9889836659893738,29.59487189769304,23.82877471003678,55.221814920141604,12.362919346003322,-1.0357849899384248,0.9775446726174563,52.4283610571446,1.4200385457686622,2017-07-18,2017-03-10,-130,-0.23666896399438098,-1.35556870278487,-1.3747133311888704
252,B,True,MJ3,222,180,4.633068555341479,3.918120325698481,0.43813895420998755,57.00260293504838,44.19144573609734,-44.19144573609734,-0.011174369660352568,-0.36579225331888665,-113.06221261823771,-0.6280613236032075,19.544139353146228,17.209229487617797,36.00573378122366,6.719697319173658,-0.6807667663216105,0.9861033523080873,35.313006808736986,18.255483329329422,2017-06-14,2017-08-31,78,-0.22939763356674234,-0.7996367613791316,-0.8551495758637486
252,B,True,MJ1,222,180,5.7263467655882945,4.407052270006266,2.680491921079586,35.090389347140366,29.987758774322447,-29.987758774322447,-0.02220634488412543,-0.40572704078510924,-57.667796681267646,-0.32025327964657513,10.408295178335583,9.858557321568815,18.22278102340446,2.5493487525228686,-0.34725410588696737,0.9947218451345619,26.967025378337325,20.515499233644505,2017-06-18,2017-07-01,13,-0.29016595893461194,-0.3847024521234649,-0.2858914278816485
342,A,True,ATU1,312,180,13.179558042950767,11.804451804431979,6.243179225618292,138.69968909440522,112.03122993629705,-112.03122993629705,-0.053381287077741035,-0.7536451412539407,-201.4144577324345,-1.1186726469186488,62.05622293795404,42.104212175393066,81.77167769983204,33.49628073488371,-1.4356284213347057,0.9416766850296908,191.66600000000003,50.007378181310344,2017-10-01,2017-10-19,18,-0.7556639136989686,-2.9173668573155283,0.3170128302585506
342,A,True,ATU5,312,180,16.390920889788493,14.680667079357018,6.990130423634373,173.39288667830468,140.768323393238,-140.768323393238,-0.06475896998040298,-1.0798563131158119,-289.84643506636655,-1.6098982005354787,62.42776021824239,47.963938176086586,101.23918351948605,26.66255089509058,-1.8795956091962702,0.9763549170903443,166.49200000000002,20.245274455830895,2017-10-01,2017-10-09,8,-1.0244411275445808,-2.9794189306571934,-0.8258345434046618
