fit_days,recipe,selected_by_training,station,feature,pearson,days
432,B,True,MJ3,rwl_change30_m,-0.7397344970334665,180
432,B,True,MJ1,rain_mm,-0.6348735981523286,180
432,B,True,MJ1,rain_sum30_mm,-0.7026671267594843,180
432,B,True,MJ1,rwl_m,0.748353946277386,180
432,B,True,MJ1,rwl_change30_m,-0.6500627102317761,180
612,A,False,ATU1,rain_mm,0.17285516658631717,180
612,A,False,ATU1,rain_sum30_mm,0.19683771071652031,180
612,A,False,ATU1,rwl_m,-0.1153842820512862,180
612,A,False,ATU1,rwl_change30_m,0.31813403336604146,180
612,A,False,ATU5,rain_mm,-0.0027681743140116075,180
612,A,False,ATU5,rain_sum30_mm,0.4963263877587907,180
612,A,False,ATU5,rwl_m,-0.6375358035687033,180
612,A,False,ATU5,rwl_change30_m,0.22126169188423603,180
612,A,False,MJ3,rain_mm,0.18447883731545392,180
612,A,False,MJ3,rain_sum30_mm,0.781204385483161,180
612,A,False,MJ3,rwl_m,-0.8374724361209145,180
612,A,False,MJ3,rwl_change30_m,-0.1061948304594993,180
612,A,False,MJ1,rain_mm,0.12739536643169638,180
612,A,False,MJ1,rain_sum30_mm,0.8016666134069326,180
612,A,False,MJ1,rwl_m,-0.8365103301864215,180
612,A,False,MJ1,rwl_change30_m,-0.2972378322736053,180
612,B,True,ATU1,rain_mm,0.4853455538816121,180
612,B,True,ATU1,rain_sum30_mm,0.3487196775735017,180
612,B,True,ATU1,rwl_m,-0.15832203559978789,180
612,B,True,ATU1,rwl_change30_m,-0.47616751212818464,180
612,B,True,ATU5,rain_mm,-0.5260085024063389,180
612,B,True,ATU5,rain_sum30_mm,-0.49541637546975,180
612,B,True,ATU5,rwl_m,0.4346496981706557,180
612,B,True,ATU5,rwl_change30_m,0.3884500540463764,180
612,B,True,MJ3,rain_mm,0.3874055011154189,180
612,B,True,MJ3,rain_sum30_mm,0.9538081546632846,180
612,B,True,MJ3,rwl_m,-0.8969970461417084,180
612,B,True,MJ3,rwl_change30_m,-0.11035899295833018,180
612,B,True,MJ1,rain_mm,0.3200009185667489,180
612,B,True,MJ1,rain_sum30_mm,0.9263410376969972,180
612,B,True,MJ1,rwl_m,-0.8561510609602961,180
612,B,True,MJ1,rwl_change30_m,-0.37104988155492874,180
