strategy,part,station,days,mae_mm,rmse_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
TIME_ONLY,train,MJ3,762,0.0009696195787888772,0.004301416791700173,0.004513650313199896,0.994750656167979,0.04655634858823614,0.04783611613722584,0.9960629921259843,0.05975442735550205,0.06164259159277178,0.9960629921259843,0.07120179168827966,0.07407702318903166
TIME_ONLY,train,MJ1,762,0.0009079828784589808,0.0021786265226440473,0.0025520316485425007,0.9973753280839895,0.026263658471841485,0.026541954459702085,0.9986876640419947,0.033709041190121004,0.03409021876818071,0.9986876640419947,0.04016679993578017,0.04075970454180915
TIME_ONLY,prediction,ATU1,376,35.96055574775981,40.327054896045084,28.66637777667331,0.21010638297872342,39.17426126192709,226.4889994295479,0.2154255319148936,50.27962071239515,335.57621469593147,0.2553191489361702,59.91186324762437,477.2960217437426
TIME_ONLY,prediction,ATU5,376,43.52186413322823,48.51432990093615,31.794742638748847,0.22074468085106383,68.42110611370127,210.4317890224249,0.4228723404255319,87.81754022411916,231.82610665053474,0.5851063829787234,104.64105309674987,220.95973169121285
TIME_ONLY,prediction,MJ3,376,19.869499557609267,36.00958056843446,17.14487327490459,0.7446808510638298,37.703183181371266,145.69149680712422,0.7579787234042553,48.39151241000438,227.77016044051243,0.7712765957446809,57.66204344375999,356.11239506635343
TIME_ONLY,prediction,MJ1,376,30.247163690786262,38.2942989625635,24.15751301387719,0.05053191489361702,28.46286732186306,188.69534971415905,0.1276595744680851,36.531695231260635,276.7957573420424,0.48936170212765956,43.530199669139854,411.80971765308385
ADD,train,ATU1,762,6.977025637844916e-05,0.00013383063935574113,0.004002599922100514,1.0,0.04389485696086421,0.04389485696086421,1.0,0.056338439784749034,0.056338439784749034,1.0,0.06713139144934278,0.06713139144934278
ADD,train,ATU5,762,9.203394579969546e-05,0.0003893001688504893,0.00548917720056994,1.0,0.060175619262064294,0.060175619262064294,1.0,0.07723457227190245,0.07723457227190245,1.0,0.09203066901416973,0.09203066901416973
ADD,train,MJ3,762,0.0009750601381542133,0.003931307128185003,0.004465708019951697,0.9960629921259843,0.04655906513552845,0.04753037785250192,0.9973753280839895,0.05975791400603546,0.061249558622412964,0.9986876640419947,0.07120594628925817,0.07359030165665902
ADD,train,MJ1,762,0.0006855769165644009,0.0017698572843172795,0.00249128598167288,0.9986876640419947,0.026243160193991172,0.026489280047892413,0.9986876640419947,0.03368273193528089,0.03407737825938179,0.9986876640419947,0.04013545052490978,0.04075544777193796
ADD,prediction,ATU1,376,37.70902541848697,42.26792214953676,27.09057448797266,0.26595744680851063,60.14738145880157,174.2654126580383,0.5478723404255319,77.1983294432013,195.4947730362667,0.6941489361702128,91.9874830202515,211.73226426725427
ADD,prediction,ATU5,376,45.48713717399179,50.479484273825314,32.9202910738477,0.22074468085106383,72.57018596943536,214.18992251821348,0.42819148936170215,93.1428266425895,229.1561970154303,0.601063829787234,110.98652323231063,204.69181688450053
ADD,prediction,MJ3,376,19.946544050799794,36.09480207740807,17.167058803904503,0.7473404255319149,37.840919138047056,145.66421751575788,0.7606382978723404,48.56829459904975,227.35470126433339,0.7712765957446809,57.87269241415072,354.7412560782453
ADD,prediction,MJ1,376,30.00845202405133,38.095179315379,23.834363846531847,0.05053191489361702,28.951535853541838,184.35995127536773,0.1356382978723404,37.15889451046616,266.5201498789294,0.5478723404255319,44.27755370467867,397.3067195746889
