arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,M0,train,ATU1,mae_mm,7.991466305348947,7.81807261702645e-05,-7.991388124622777,-0.9999902169735586
TIME_ONLY,M0,train,ATU1,rmse_mm,12.120612203379448,0.00025709791177729046,-12.12035510546767,-0.9999787883724466
TIME_ONLY,M0,train,ATU5,mae_mm,12.371456182607597,0.00016183451526339854,-12.371294348092334,-0.9999869187173382
TIME_ONLY,M0,train,ATU5,rmse_mm,16.622195814887355,0.000557247210105313,-16.621638567677252,-0.9999664757161864
TIME_ONLY,M0,train,MJ3,mae_mm,11.418872997231952,0.0009696195787888772,-11.417903377653163,-0.999915086227947
TIME_ONLY,M0,train,MJ3,rmse_mm,14.54692253646293,0.004301416791700173,-14.54262111967123,-0.9997043074381596
TIME_ONLY,M0,train,MJ1,mae_mm,6.5435846254109,0.0009079828784589808,-6.542676642532441,-0.9998612407525176
TIME_ONLY,M0,train,MJ1,rmse_mm,8.039703889952264,0.0021786265226440473,-8.03752526342962,-0.9997290165716965
TIME_ONLY,M0,prediction,ATU1,mae_mm,35.97756723316947,35.96055574775981,-0.017011485409653915,-0.00047283590075457353
TIME_ONLY,M0,prediction,ATU1,rmse_mm,40.32844281407931,40.327054896045084,-0.0013879180342257769,-3.441536388162333e-05
TIME_ONLY,M0,prediction,ATU5,mae_mm,43.55499084906866,43.52186413322823,-0.033126715840431586,-0.0007605722144501366
TIME_ONLY,M0,prediction,ATU5,rmse_mm,48.518020357563614,48.51432990093615,-0.0036904566274671424,-7.606362749901082e-05
TIME_ONLY,M0,prediction,MJ3,mae_mm,20.525886341157616,19.869499557609267,-0.6563867835483492,-0.03197848670886338
TIME_ONLY,M0,prediction,MJ3,rmse_mm,36.377155092530664,36.00958056843446,-0.36757452409620583,-0.010104542896805036
TIME_ONLY,M0,prediction,MJ1,mae_mm,33.00210298445224,30.247163690786262,-2.7549392936659807,-0.08347768913283712
TIME_ONLY,M0,prediction,MJ1,rmse_mm,40.249869223585414,38.2942989625635,-1.9555702610219114,-0.04858575440727137
TIME_ONLY,v1.1-e0,train,ATU1,mae_mm,7.991466305348945,7.81807261702645e-05,-7.991388124622775,-0.9999902169735586
TIME_ONLY,v1.1-e0,train,ATU1,rmse_mm,12.120612203379448,0.00025709791177729046,-12.12035510546767,-0.9999787883724466
TIME_ONLY,v1.1-e0,train,ATU1,crps_mm,6.098811647234664,0.0040063637892398815,-6.094805283445424,-0.9993430910772501
TIME_ONLY,v1.1-e0,train,ATU1,coverage_80,0.9251968503937008,1.0,0.07480314960629919,0.08085106382978721
TIME_ONLY,v1.1-e0,train,ATU1,width_80_mm,33.893500099613846,0.04392386315158769,-33.849576236462255,-0.9987040623416733
TIME_ONLY,v1.1-e0,train,ATU1,interval_score_80_mm,46.17878651826334,0.04392386315158769,-46.134862655111746,-0.9990488302863
TIME_ONLY,v1.1-e0,train,ATU1,coverage_90,0.9422572178477691,1.0,0.05774278215223094,0.06128133704735373
TIME_ONLY,v1.1-e0,train,ATU1,width_90_mm,43.50183614124878,0.056375668828010525,-43.44546047242077,-0.9987040623148651
TIME_ONLY,v1.1-e0,train,ATU1,interval_score_90_mm,61.82392206587917,0.056375668828010525,-61.767546397051156,-0.9990881253252109
TIME_ONLY,v1.1-e0,train,ATU1,coverage_95,0.9553805774278216,1.0,0.044619422572178435,0.046703296703296655
TIME_ONLY,v1.1-e0,train,ATU1,width_95_mm,51.835635679296544,0.06717575259036587,-51.76845992670618,-0.9987040623364595
