origin,seed,point,metric,factor,effect,TiDE_DATA,TiDE_KIN,TiDE_HYD,TiDE_PHYS
792,ensemble,average,mae,K_at_H0,-23.259640650879771,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,K_at_H1,-10.588478385475392,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,H_at_K0,-20.559117961560702,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,H_at_K1,-7.8879556961563235,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,K_average,-16.924059518177582,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,H_average,-14.223536828858514,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,mae,interaction,12.671162265404378,44.666000469922771,21.406359819043001,24.106882508362069,13.518404122886677
792,ensemble,average,rmse,K_at_H0,-27.967779852493283,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,K_at_H1,-14.801954854960918,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,H_at_K0,-21.213936729195346,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,H_at_K1,-8.0481117316629813,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,K_average,-21.384867353727095,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,H_average,-14.631024230429164,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,rmse,interaction,13.165824997532365,50.874903932964742,22.907124080471458,29.660967203769395,14.859012348808477
792,ensemble,average,crps,K_at_H0,-13.151417910662108,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,K_at_H1,-5.799815419337472,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,H_at_K0,-14.540468713551405,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,H_at_K1,-7.1888662222267694,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,K_average,-9.4756166649997908,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,H_average,-10.864667467889088,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,crps,interaction,7.3516024913246358,33.33372277352403,20.182304862861923,18.793254059972625,12.993438640635153
792,ensemble,average,interval_score90,K_at_H0,-98.765061984170302,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,K_at_H1,-15.135254278619328,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,H_at_K0,-163.23276551949468,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,H_at_K1,-79.602957813943704,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,K_average,-56.950158131394801,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,H_average,-121.41786166671919,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,interval_score90,interaction,83.629807705550974,328.18189714073878,229.41683515656848,164.94913162124411,149.81387734262478
792,ensemble,average,coverage90,K_at_H0,0.45136518771331058,0.54863481228668942,1,0.78412969283276446,0.84812286689419791
792,ensemble,average,coverage90,K_at_H1,0.063993174061433455,0.54863481228668942,1,0.78412969283276446,0.84812286689419791
792,ensemble,average,coverage90,H_at_K0,0.23549488054607504,0.54863481228668942,1,0.78412969283276446,0.84812286689419791
792,ensemble,average,coverage90,H_at_K1,-0.15187713310580209,0.54863481228668942,1,0.78412969283276446,0.84812286689419791
