mean_source,scale_source,role,original_model,phase,days,station,metric,value,unit
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,mae,7.991466305348942,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,mae,12.371456182607602,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,mae,11.41887299723195,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,mae,6.543584625410904,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,mae,9.58134502764985,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,rmse,12.120612203379453,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,rmse,16.622195814887352,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,rmse,14.54692253646293,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,rmse,8.039703889952275,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,rmse,12.832358611170502,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,crps,6.0988116472346645,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,crps,8.891175617286315,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,crps,8.36324686528694,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,crps,4.905674619629014,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,crps,7.064727187359233,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,coverage_80,0.9251968503937008,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,coverage_80,0.7440944881889764,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,coverage_80,0.65748031496063,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,coverage_80,0.9671916010498688,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,coverage_80,0.823490813648294,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,width_80,33.89350009961352,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,width_80,33.89350009961352,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,width_80,33.89350009961363,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,width_80,33.893500099613625,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,width_80,33.893500099613576,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,interval_score_80,46.17878651826304,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,interval_score_80,57.58421492074796,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,interval_score_80,53.54590724803451,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,interval_score_80,34.2482269909722,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,interval_score_80,47.88928391950443,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,coverage_90,0.9422572178477691,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,coverage_90,0.8871391076115486,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,coverage_90,0.7545931758530183,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,coverage_90,1.0,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,coverage_90,0.895997375328084,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,width_90,43.50183614124835,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,width_90,43.50183614124835,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,width_90,43.501836141248226,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,width_90,43.50183614124842,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,width_90,43.50183614124833,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,interval_score_90,61.823922065880204,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,interval_score_90,73.1162829161285,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,interval_score_90,53.72047569985527,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,interval_score_90,43.50183614124842,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,interval_score_90,58.0406292057781,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,coverage_95,0.9553805774278216,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,coverage_95,0.9330708661417323,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,coverage_95,0.968503937007874,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,coverage_95,1.0,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,coverage_95,0.964238845144357,fraction
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,width_95,51.83563567929635,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,width_95,51.835635679296466,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,width_95,51.835635679296665,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,width_95,51.835635679296665,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,width_95,51.83563567929654,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU1,interval_score_95,79.7925160766402,mm
bplus,e0,frozen_original,v1.1-e0,train,762,ATU5,interval_score_95,97.45381633592012,mm
bplus,e0,frozen_original,v1.1-e0,train,762,MJ3,interval_score_95,52.73928919069236,mm
