seed,phase,quantity,axis,unit,samples,signed_mean,mean_absolute,rms,max_absolute
0,train,motion,O3,mm,48768,2.97681156495476,49.543983248018314,57.788114895762256,113.25663781562847
0,train,motion,O2,mm,48768,7.095562523511096,49.3171218283085,57.66544480741277,113.99215266966124
0,train,motion,O1_up,mm,48768,7.277433282651527,30.567176186585208,36.29090725981319,79.57551268255676
0,train,motion,O1_down,mm,48768,0.7776315539416361,1.7571972543926229,2.3647139133295783,5.365301846974836
0,train,plastic,O3,mm,48768,3.0167943839219347,49.58989409842852,57.82547884763156,114.11321881639444
0,train,plastic,O2,mm,48768,7.146910318536642,49.3783288832656,57.717089340257004,114.40643624215588
0,train,plastic,O1_up,mm,48768,12.876736187150518,43.122292928216176,50.99139949125608,104.63226936716762
0,train,plastic,O1_down,mm,48768,0.7055912004064682,1.9521744413405748,2.613626868599337,6.83774609301991
0,train,basal_reaction,O3,original_generalized_reaction,48768,1.7196006991013446,33.97107538835444,39.73523552363043,79.50058148304
0,train,basal_reaction,O2,original_generalized_reaction,48768,1.1542351675684333,8.979472674772364,10.531786492236948,21.31496829456787
0,train,basal_reaction,O1_up,original_generalized_reaction,48768,91.68642064604485,311.73597309699466,368.79179820243445,750.4627563146396
0,train,basal_reaction,O1_down,original_generalized_reaction,48768,35.91976721505225,101.3539019400846,135.99733220336333,358.8737818214881
0,train,contact_reaction,O3,original_generalized_reaction,48768,-0.000624875829800094,0.0011401693648742126,0.0014500171810791877,0.00693300424295071
0,train,contact_reaction,O2,original_generalized_reaction,48768,-0.170325948546209,7.863803827648636,10.183978391512946,24.973216125811604
0,train,contact_reaction,O1_up,original_generalized_reaction,48768,0.15829448291082976,7.1588198671938175,9.27456961506335,22.748277252303957
0,train,contact_reaction,O1_down,original_generalized_reaction,48768,0.012384707005122456,0.6810649311715744,0.8784430129128044,2.1480353970072685
0,train,bulk_reaction,O3,original_generalized_reaction,48768,9.572797541059062e-28,4.3225136696092686e-26,5.1076610883455726e-26,1.0567088966681113e-25
0,train,bulk_reaction,O2,original_generalized_reaction,48768,1.3473571995821268e-27,1.3394955503027176e-26,1.582514240855175e-26,3.3129507095457114e-26
0,train,bulk_reaction,O1_up,original_generalized_reaction,48768,63.00807129492626,319.4121099111107,384.1859456400293,855.1092523110543
0,train,bulk_reaction,O1_down,original_generalized_reaction,48768,-63.00807129492626,319.4121099111107,384.1859456400293,855.1092523110543
0,train,background,O3,mm,48768,0.0,0.0,0.0,0.0
0,train,background,O2,mm,48768,0.0,0.0,0.0,0.0
0,train,background,O1_up,mm,48768,1.8212319957761754e-20,5.463695987328526e-20,6.966158817990993e-18,8.881784197001252e-16
0,train,background,O1_down,mm,48768,0.0,0.0,0.0,0.0
0,train,observed_mean,ATU1,mm,762,3.016122807300309,49.580049129236706,57.81209053869813,113.21149819151776
0,train,observed_mean,ATU5,mm,762,7.14510510198837,49.36880721785549,57.70176718604232,113.93917523158467
0,train,observed_mean,MJ3,mm,762,6.297415298791366,25.753404043503444,30.506545695146507,66.33836129270367
0,train,observed_mean,MJ1,mm,762,3.412683935101612,12.165812726409579,14.224991925769535,29.31639245647125
0,prediction,motion,O3,mm,24064,166.77728808722355,166.77728808722355,180.92402209448954,301.84275876617113
0,prediction,motion,O2,mm,24064,198.86928163281758,198.86928163281758,215.64232974290152,363.3735713154411
0,prediction,motion,O1_up,mm,24064,149.5248315383357,149.5248315383357,153.22835790204905,202.06800932276448
0,prediction,motion,O1_down,mm,24064,-1.3190259788044865,2.372451635761716,2.6805543355744055,4.5373292329210315
0,prediction,plastic,O3,mm,24064,167.09395559132753,167.09395559132753,181.2448955132637,302.28241331073116
0,prediction,plastic,O2,mm,24064,199.25541089276723,199.25541089276723,216.0392117710436,363.89808087640216
0,prediction,plastic,O1_up,mm,24064,160.89385205648608,160.89385205648608,164.08427742885883,226.9408131683058
0,prediction,plastic,O1_down,mm,24064,-1.0577657455625529,2.355137628739701,2.6533940664051148,4.287089682951665
0,prediction,basal_reaction,O3,original_generalized_reaction,24064,113.15251179781045,113.15251179781045,122.55881097202543,203.5376896151602
0,prediction,basal_reaction,O2,original_generalized_reaction,24064,35.57138222252269,35.57138222252269,38.499812512237796,64.51336335835356
0,prediction,basal_reaction,O1_up,original_generalized_reaction,24064,1133.6133790033198,1133.6133790033198,1156.479863762506,1600.6976119538501
0,prediction,basal_reaction,O1_down,original_generalized_reaction,24064,-55.29452956746211,122.95281407262182,138.6016589920903,224.77273689762137
0,prediction,contact_reaction,O3,original_generalized_reaction,24064,-0.0030701640506596586,0.0030701640506596586,0.0033429106463252947,0.00613596953971671
0,prediction,contact_reaction,O2,original_generalized_reaction,24064,11.915386501501812,11.916780354011529,17.233996382789094,41.088485910483875
