contrast,left_mean,left_scale,right_mean,right_scale,phase,station,metric,delta,unit,days
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,mae,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,mae,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,mae,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,mae,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,mae,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,crps,0.7423071021967216,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,crps,0.18111346721125798,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,crps,0.14951588130469773,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,crps,0.5348895269227292,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,crps,0.40195649440885184,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,coverage_80,0.015748031496062964,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,coverage_80,0.16666666666666663,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,coverage_80,0.20341207349081358,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,coverage_80,0.03149606299212593,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,coverage_80,0.10433070866141725,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,width_80,14.13664662400162,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,width_80,14.237036616887778,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,width_80,13.371912364042167,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,width_80,8.57303977047328,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,width_80,12.579658843851206,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,interval_score_80,10.663851630981135,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,interval_score_80,4.1224683107196185,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,interval_score_80,-1.741185158885429,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,interval_score_80,8.244464127738333,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,interval_score_80,5.322399727638405,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,coverage_90,0.01443569553805768,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,coverage_90,0.05905511811023623,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,coverage_90,0.22703412073490814,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,coverage_90,0.0,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,coverage_90,0.07513123359580043,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,width_90,18.145116029723894,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,width_90,18.27512830986639,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,width_90,17.163597358444257,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,width_90,11.00701423725912,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,width_90,16.147713983823415,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,interval_score_90,11.25186173311058,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,interval_score_90,7.365508059833175,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,interval_score_90,7.4766580102619,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,interval_score_90,11.00701423725912,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,interval_score_90,9.275260510116183,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,coverage_95,0.01837270341207342,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,coverage_95,0.027559055118110187,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,coverage_95,0.03149606299212604,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,coverage_95,0.0,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,coverage_95,0.019356955380577356,fraction,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,width_95,21.622419068934754,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,width_95,21.778820688342456,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,width_95,20.452875294296653,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,width_95,13.120307966202596,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,width_95,19.24360575444411,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU1,interval_score_95,8.644203658545777,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,ATU5,interval_score_95,3.5919445142324093,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ3,interval_score_95,19.549221782900958,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,MJ1,interval_score_95,13.120307966202596,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,point_mean,interval_score_95,11.226419480470426,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,train,pooled,rmse,0.0,mm,762
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,mae,0.0,mm,376
