 origin              method       mae      rmse      crps
    792    BPLUS_CONTINUOUS 23.582514 27.313325 24.157337
    792              DRIFT1  4.960013  5.824270  6.274072
    792             RR_COND 27.493401 31.315924 24.693029
    792 BPLUS_ORIGIN_ANCHOR 23.564678 27.297235 24.151262
    792     OLD_TRANSFORMER 28.322374 32.638862 26.065785
    792            OLD_HALF 25.923436 29.789181 25.092189
    792            OLD_REG1 25.407807 29.408014 24.632993
    792 G11_ANCHOR_BOUNDARY 17.592085 20.382465 18.569144
    792     G00_RAW_UNIFORM 27.557754 30.145471 26.956720
    792  G10_ANCHOR_UNIFORM 24.032295 26.778773 22.837854
    792     T00_RAW_UNIFORM 26.866926 29.468347 26.540266
    792  T10_ANCHOR_UNIFORM 26.277493 29.102037 24.629207
    972    BPLUS_CONTINUOUS 61.563106 67.167389 48.091953
    972              DRIFT1  8.637339 10.594506  7.034024
    972             RR_COND 43.445352 48.588248 33.310714
    972 BPLUS_ORIGIN_ANCHOR 32.611769 40.433365 27.838012
    972     OLD_TRANSFORMER 53.200442 61.393257 41.124794
    972            OLD_HALF 57.364446 63.980507 44.176444
    972            OLD_REG1 56.613912 63.148258 43.693159
    972 G11_ANCHOR_BOUNDARY 16.661330 20.732781 15.356369
    972     G00_RAW_UNIFORM 33.061886 37.481242 25.733631
    972  G10_ANCHOR_UNIFORM 16.627003 20.445223 15.643208
    972     T00_RAW_UNIFORM 35.782004 40.587372 27.223464
    972  T10_ANCHOR_UNIFORM 16.752873 20.640218 16.142759
   1168    BPLUS_CONTINUOUS  6.901689  9.124173 14.894908
   1168              DRIFT1  9.109845 12.977735  7.585014
   1168             RR_COND 11.318237 12.338214 13.077240
   1168 BPLUS_ORIGIN_ANCHOR  6.891668  9.116413  8.882457
   1168     OLD_TRANSFORMER  6.883836  9.279082 14.141969
   1168            OLD_HALF  6.489278  8.867132 14.471597
   1168            OLD_REG1  6.539368  8.907333 14.221640
   1168 G11_ANCHOR_BOUNDARY  7.227606 10.785141  6.910338
   1168     G00_RAW_UNIFORM 10.560488 14.257499  9.998669
   1168  G10_ANCHOR_UNIFORM  7.848539 11.141437  6.908215
   1168     T00_RAW_UNIFORM 12.188667 15.981473 11.028273
   1168  T10_ANCHOR_UNIFORM 10.664211 13.290363  8.602632
