model,horizon,point,n,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse
B_ANCHOR,1,ATU1,293,0.200552991362,0.699658703072,0.613312511642,1.42567061589,0.757679180887,0.787178086588,1.76555734945,0.815699658703,0.937980543589,2.01105162564,0.263492418851,0.445628476368
B_ANCHOR,1,ATU5,293,0.136781632944,0.699658703072,0.390445335745,0.984660790792,0.795221843003,0.501131163109,1.29385189069,0.839590443686,0.59713461133,1.61203121808,0.179388767044,0.312176165065
B_ANCHOR,1,MJ3,293,0.109358979485,0.778156996587,0.506125848451,0.746696328788,0.849829351536,0.649605493763,0.936762736895,0.880546075085,0.774052688381,1.13179701056,0.14087902717,0.197800543982
B_ANCHOR,1,MJ1,293,0.159320470344,0.897610921502,0.778329842811,1.2586371654,0.928327645051,0.998975538193,1.78604870979,0.941979522184,1.19035277317,2.54126099344,0.191548084228,0.366993955837
B_ANCHOR,2,ATU1,292,0.397679573758,0.702054794521,1.18417423678,2.85155876579,0.760273972603,1.51987117856,3.62415475314,0.791095890411,1.81103821173,4.2185112458,0.521373980555,0.881398467659
B_ANCHOR,2,ATU5,292,0.272272969447,0.702054794521,0.761024149296,1.9870217328,0.801369863014,0.976763921033,2.66733618751,0.821917808219,1.16388599888,3.40108192474,0.354483690142,0.618220117997
B_ANCHOR,2,MJ3,292,0.214076168911,0.760273972603,0.99428426342,1.46964900136,0.832191780822,1.27615003631,1.8381481466,0.883561643836,1.52062655853,2.20449141198,0.272148870389,0.376315348607
B_ANCHOR,2,MJ1,292,0.282252965241,0.873287671233,1.36620526119,2.1905080424,0.900684931507,1.75350546903,3.01517525359,0.928082191781,2.08943063971,4.10691694201,0.344485411278,0.600464066209
B_ANCHOR,3,ATU1,291,0.590325584567,0.704467353952,1.71214002406,4.26900385869,0.766323024055,2.19750793034,5.51049721046,0.790378006873,2.61849220419,6.64884748521,0.772793004538,1.30627008408
B_ANCHOR,3,ATU5,291,0.406022786885,0.701030927835,1.11061752972,2.99367220101,0.790378006873,1.42546216714,4.07393103933,0.828178694158,1.69854293606,5.33049418063,0.525602595179,0.917499060068
