model,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
TCN_DIRECT_COND,0,ATU1,293,65.980126992041548,70.519476427535409,53.335220730329041,1,467.67456182441794,467.67456182441794,1,600.25380166652576,600.25380166652576,1,715.24652016002699,715.24652016002699
TCN_DIRECT_COND,0,ATU5,293,62.907957925332305,68.538258634334355,55.434786717745318,1,505.21997201291833,505.21997201291833,1,648.44281394219797,648.44281394219797,1,772.66726992359395,772.66726992359395
TCN_DIRECT_COND,0,MJ3,293,18.513667802806204,21.601240139472139,27.91640395900334,1,288.11339065951915,288.11339065951915,1,369.78953351612421,369.78953351612421,1,440.63140675608156,440.63140675608156
TCN_DIRECT_COND,0,MJ1,293,11.624668001865677,14.111556631993878,13.408330385880154,1,130.21071287713616,130.21071287713616,1,167.12364067292006,167.12364067292006,1,199.14010056397592,199.14010056397592
TCN_DIRECT_COND,1,ATU1,293,71.178550991473713,76.374518341454902,55.143774778773988,1,467.67456182441794,467.67456182441794,1,600.25380166652576,600.25380166652576,1,715.24652016002699,715.24652016002699
TCN_DIRECT_COND,1,ATU5,293,69.450659227406177,76.549626279342576,57.705089108863341,1,505.21997201291833,505.21997201291833,1,648.44281394219797,648.44281394219797,1,772.66726992359395,772.66726992359395
TCN_DIRECT_COND,1,MJ3,293,20.910109090863919,24.582751401149249,28.397845883154123,1,288.11339065951915,288.11339065951915,1,369.78953351612421,369.78953351612421,1,440.63140675608156,440.63140675608156
TCN_DIRECT_COND,1,MJ1,293,11.526199126702645,13.604203359116079,13.308162504116682,1,130.21071287713616,130.21071287713616,1,167.12364067292003,167.12364067292003,1,199.14010056397595,199.14010056397595
TCN_DIRECT_COND,2,ATU1,293,61.547852038590776,65.705152075547872,51.945541936814408,1,467.67456182441794,467.67456182441794,1,600.25380166652576,600.25380166652576,1,715.24652016002699,715.24652016002699
TCN_DIRECT_COND,2,ATU5,293,57.026622805668779,62.46041892489054,53.865640569758234,1,505.21997201291833,505.21997201291833,1,648.44281394219797,648.44281394219797,1,772.66726992359395,772.66726992359395
TCN_DIRECT_COND,2,MJ3,293,16.695753598097696,19.439405733062433,27.604163593432027,1,288.11339065951915,288.11339065951915,1,369.78953351612421,369.78953351612421,1,440.63140675608156,440.63140675608156
TCN_DIRECT_COND,2,MJ1,293,11.083942903254043,13.660816728907539,13.314268991609188,1,130.21071287713616,130.21071287713616,1,167.12364067292009,167.12364067292009,1,199.14010056397595,199.14010056397595
TCN_BRES_COND,0,ATU1,293,8.8550923297792519,11.021791580224747,17.217548528977705,1,181.38354816322493,181.38354816322493,1,232.8032637054466,232.8032637054466,1,277.40219851156252,277.40219851156252
TCN_BRES_COND,0,ATU5,293,12.561237228734552,13.327449841101849,20.310837602777006,1,213.45646622851018,213.45646622851018,1,273.96840838238603,273.96840838238603,1,326.45349381418259,326.45349381418259
TCN_BRES_COND,0,MJ3,293,10.644748447944545,13.911841192972309,18.33972519188389,1,189.81780381453152,189.81780381453152,1,243.62851363816571,243.62851363816571,1,290.3012794049169,290.3012794049169
TCN_BRES_COND,0,MJ1,293,6.8856486256384359,7.2978909448761273,18.643627507997316,1,201.51716458791384,201.51716458791384,1,258.64448062575536,258.64448062575536,1,308.19390766465102,308.19390766465102
TCN_BRES_COND,1,ATU1,293,9.790258354087948,11.603784866847251,17.292093272770149,1,181.38354816322493,181.38354816322493,1,232.8032637054466,232.8032637054466,1,277.40219851156252,277.40219851156252
TCN_BRES_COND,1,ATU5,293,13.775097226627235,14.658957570230767,20.488183384190723,1,213.45646622851018,213.45646622851018,1,273.96840838238603,273.96840838238603,1,326.45349381418259,326.45349381418259
TCN_BRES_COND,1,MJ3,293,13.354387330356021,16.182542204712476,18.70249653518507,1,189.81780381453152,189.81780381453152,1,243.62851363816571,243.62851363816571,1,290.3012794049169,290.3012794049169
TCN_BRES_COND,1,MJ1,293,7.6599276721517047,8.1034497672342933,18.706449784581938,1,201.51716458791387,201.51716458791387,1,258.64448062575536,258.64448062575536,1,308.19390766465102,308.19390766465102
TCN_BRES_COND,2,ATU1,293,12.332341442379702,13.764557211223153,17.599102877514706,1,181.38354816322493,181.38354816322493,1,232.8032637054466,232.8032637054466,1,277.40219851156252,277.40219851156252
TCN_BRES_COND,2,ATU5,293,18.918693473089156,19.493599788899214,21.272892335641441,1,213.45646622851018,213.45646622851018,1,273.96840838238603,273.96840838238603,1,326.45349381418259,326.45349381418259
TCN_BRES_COND,2,MJ3,293,12.935693060958693,15.464546905119239,18.582303738200086,1,189.81780381453152,189.81780381453152,1,243.62851363816571,243.62851363816571,1,290.3012794049169,290.3012794049169
TCN_BRES_COND,2,MJ1,293,10.414908784769811,11.119570593069309,18.999510136925469,1,201.51716458791387,201.51716458791387,1,258.64448062575531,258.64448062575531,1,308.19390766465102,308.19390766465102
