model,point,seed,n,mean_complete,mae,rmse
TCN_DIRECT,ATU1,0,293,True,209.780475998987,245.793538197291
TCN_DIRECT,ATU1,1,293,True,53.463880606849,57.1316410076847
TCN_DIRECT,ATU1,2,293,True,77.9938768517068,85.8797951420821
TCN_DIRECT,ATU5,0,293,True,217.224600889904,259.814944100993
TCN_DIRECT,ATU5,1,293,True,71.0969280994432,77.3667375713884
TCN_DIRECT,ATU5,2,293,True,92.172474140209,103.572543036616
TCN_DIRECT,MJ3,0,293,True,103.195866829043,127.838240039551
TCN_DIRECT,MJ3,1,293,True,27.1673123878397,29.7396470303249
TCN_DIRECT,MJ3,2,293,True,29.5108680987608,33.2666209242037
TCN_DIRECT,MJ1,0,293,True,52.9666057926258,68.3412983036354
TCN_DIRECT,MJ1,1,293,True,6.50055234683661,7.36671521979204
TCN_DIRECT,MJ1,2,293,True,13.0050945044845,14.0776672730023
TCN_BRES,ATU1,0,293,True,300.933975480074,343.89646856592
TCN_BRES,ATU1,1,293,True,166.129824999067,187.121889460276
TCN_BRES,ATU1,2,293,True,265.648919611812,310.420872639226
TCN_BRES,ATU5,0,293,True,308.055491429415,353.745368320322
TCN_BRES,ATU5,1,293,True,200.536029853531,232.539469073801
TCN_BRES,ATU5,2,293,True,307.596230095322,359.150329769371
TCN_BRES,MJ3,0,293,True,159.00379061281,186.367707720112
TCN_BRES,MJ3,1,293,True,126.121458044306,151.27399300023
TCN_BRES,MJ3,2,293,True,169.523798958594,200.012089567238
TCN_BRES,MJ1,0,293,True,42.2611151290722,50.265758042181
TCN_BRES,MJ1,1,293,True,55.589542171064,68.1266584101663
TCN_BRES,MJ1,2,293,True,84.2446702953877,100.426723270394
