date,point,observed_mm,display_offset_mm
2016-07-01,ATU1,0,0
2016-07-02,ATU1,0.91934211717624,0
2016-07-03,ATU1,1.83782592676529,0
2016-07-04,ATU1,2.75459312117996,0
2016-07-05,ATU1,3.66878539283306,0
2016-07-06,ATU1,4.5795444341374,0
2016-07-07,ATU1,5.48601193750579,0
2016-07-08,ATU1,6.38732959535103,0
2016-07-09,ATU1,7.28263910008595,0
2016-07-10,ATU1,8.17108214412334,0
2016-07-11,ATU1,9.05180041987602,0
2016-07-12,ATU1,9.9239356197568,0
2016-07-13,ATU1,10.7866294361785,0
2016-07-14,ATU1,11.6390235615539,0
2016-07-15,ATU1,12.4802596882958,0
2016-07-16,ATU1,13.3094795088171,0
2016-07-17,ATU1,14.1258247155305,0
2016-07-18,ATU1,14.9284370008489,0
2016-07-19,ATU1,15.716458057185,0
2016-07-20,ATU1,16.4890295769517,0
2016-07-21,ATU1,17.2452932525618,0
2016-07-22,ATU1,17.9843907764281,0
2016-07-23,ATU1,18.7054638409634,0
2016-07-24,ATU1,19.4076541385805,0
2016-07-25,ATU1,20.0901033616923,0
2016-07-26,ATU1,20.7519532027115,0
2016-07-27,ATU1,21.3923453540509,0
2016-07-28,ATU1,22.0104215081234,0
2016-07-29,ATU1,22.6053233573417,0
2016-07-30,ATU1,23.1761925941187,0
2016-07-31,ATU1,23.7221709108672,0
2016-08-01,ATU1,24.2424,0
2016-08-02,ATU1,24.7363458411754,0
2016-08-03,ATU1,25.2047715630335,0
2016-08-04,ATU1,25.6487645814601,0
2016-08-05,ATU1,26.0694123123408,0
2016-08-06,ATU1,26.4678021715612,0
2016-08-07,ATU1,26.8450215750071,0
2016-08-08,ATU1,27.2021579385641,0
2016-08-09,ATU1,27.5402986781179,0
2016-08-10,ATU1,27.8605312095542,0
2016-08-11,ATU1,28.1639429487585,0
2016-08-12,ATU1,28.4516213116166,0
2016-08-13,ATU1,28.7246537140142,0
2016-08-14,ATU1,28.9841275718368,0
2016-08-15,ATU1,29.2311303009703,0
2016-08-16,ATU1,29.4667493173002,0
2016-08-17,ATU1,29.6920720367122,0
2016-08-18,ATU1,29.908185875092,0
2016-08-19,ATU1,30.1161782483252,0
2016-08-20,ATU1,30.3171365722976,0
2016-08-21,ATU1,30.5121482628948,0
2016-08-22,ATU1,30.7023007360023,0
2016-08-23,ATU1,30.8886814075061,0
2016-08-24,ATU1,31.0723776932916,0
2016-08-25,ATU1,31.2544770092445,0
2016-08-26,ATU1,31.4360667712506,0
2016-08-27,ATU1,31.6182343951955,0
2016-08-28,ATU1,31.8020672969648,0
2016-08-29,ATU1,31.9886528924442,0
2016-08-30,ATU1,32.1790785975195,0
2016-08-31,ATU1,32.3744318280762,0
2016-09-01,ATU1,32.5758,0
2016-09-02,ATU1,32.783995956003,0
2016-09-03,ATU1,32.9987342461031,0
2016-09-04,ATU1,33.2194548471446,0
2016-09-05,ATU1,33.4455977359716,0
2016-09-06,ATU1,33.6766028894284,0
2016-09-07,ATU1,33.9119102843593,0
2016-09-08,ATU1,34.1509598976085,0
2016-09-09,ATU1,34.3931917060204,0
