month,column,role,precision_group,d4_tolerance,cubic_residual_tolerance,n_days,median_abs_d4,max_abs_d4,cubic_rmse,max_abs_cubic_residual,quadratic_rmse,month_passes_cubic_fingerprint
2016-07,MJ9/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,1.7053025658242404e-13,2.999999992425728e-05,2.5563670595253254e-06,5.325279687440343e-06,2.6487129925076466e-06,True
2016-07,MJ1/mm,fingerprint_target,high_precision,1e-09,1e-09,31,2.2737367544323206e-13,5.684341886080801e-13,2.0316408512642417e-13,3.410605131648481e-13,0.007613261011901036,True
2016-07,MJ3/mm,fingerprint_target,high_precision,1e-09,1e-09,31,6.821210263296962e-13,1.3642420526593924e-12,4.849186545724683e-13,7.958078640513122e-13,0.006367814219055375,True
2016-07,ATU4/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,1.9999999999686935e-05,6.000000000128125e-05,2.830465045422861e-06,4.882660774363501e-06,2.8458017982911217e-06,True
2016-07,ATU5/mm,fingerprint_target,high_precision,1e-09,1e-09,31,1.5987211554602254e-14,5.684341886080802e-14,1.1073668449433872e-14,2.842170943040401e-14,0.10523575201560949,True
2016-07,ATU3/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,2.9999999984653414e-05,3.999999999892978e-05,2.808156570186576e-06,5.668471516173668e-06,2.8391457340605533e-06,True
2016-07,ATU2/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,3.0000000002416982e-05,4.000000000381476e-05,2.7094981476723203e-06,5.065878298182724e-06,2.722792203397338e-06,True
2016-07,ATU1/mm,fingerprint_target,high_precision,1e-09,1e-09,31,1.0658141036401503e-14,2.4868995751603507e-14,1.0972885012237152e-14,2.4868995751603507e-14,0.07995078737183169,True
2016-07,GWT/m,fingerprint_target,high_precision,1e-09,1e-09,31,1.7053025658242404e-13,7.958078640513122e-13,1.5583941325090396e-13,2.8421709430404007e-13,0.06172343914588213,True
2016-07,Rainfall/mm,negative_control,negative_control,1e-09,1e-09,31,23.622,254.762,23.761118353735306,74.82900975683026,24.06266945562553,False
2016-07,RWL/m,negative_control,negative_control,1e-09,1e-09,31,0.6099999999999,2.1399999999999864,0.9977831816881515,2.7854754614456283,1.6266663364633895,False
2016-07,aveT/℃,negative_control,negative_control,1e-09,1e-09,31,4.3333333333333535,24.66666666666667,2.188666219215851,5.107483342883803,2.2148848132211785,False
2016-07,minT/℃,negative_control,negative_control,1e-09,1e-09,31,3.2777777777777857,13.277777777777782,1.5553608812216908,3.446135436680496,1.5649992248479851,False
2016-07,maxT/℃,negative_control,negative_control,1e-09,1e-09,31,9.499999999999972,29.444444444444443,2.771939851871108,6.93894025149752,2.836212825740043,False
2016-08,MJ9/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,1.7053025658242404e-13,2.999999992425728e-05,2.8973743913619316e-06,4.738479560728592e-06,2.9877555037809394e-06,True
2016-08,MJ1/mm,fingerprint_target,high_precision,1e-09,1e-09,31,3.410605131648481e-13,7.958078640513122e-13,3.1829694941872596e-13,4.547473508864641e-13,0.03806630505962256,True
2016-08,MJ3/mm,fingerprint_target,high_precision,1e-09,1e-09,31,1.0231815394945443e-12,2.5011104298755527e-12,2.566598186152678e-13,4.547473508864641e-13,0.031839071095222375,True
2016-08,ATU4/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,1.9999999995690132e-05,4.000000000559112e-05,2.7109526395232925e-06,4.739446094248478e-06,0.08000270700976068,True
2016-08,ATU5/mm,fingerprint_target,high_precision,1e-09,1e-09,31,3.552713678800501e-14,1.1368683772161603e-13,2.8364349716175982e-14,5.684341886080802e-14,0.07435301394457025,True
2016-08,ATU3/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,1.0000000017384991e-05,5.999999999062311e-05,2.6790628244681633e-06,5.892353627245939e-06,0.1455356316206498,True
2016-08,ATU2/mm,fingerprint_target,five_decimal_rounded,8e-05,1e-05,31,2.000000000279556e-05,4.999999999100169e-05,2.6748547868165682e-06,5.244716341223921e-06,0.09049397078272044,True
2016-08,ATU1/mm,fingerprint_target,high_precision,1e-09,1e-09,31,2.1316282072803006e-14,5.3290705182007514e-14,1.8734106902796984e-14,2.842170943040401e-14,0.10129207472621628,True
2016-08,GWT/m,fingerprint_target,high_precision,1e-09,1e-09,31,1.7053025658242404e-13,7.389644451905042e-13,1.1368683772161603e-13,1.7053025658242404e-13,0.030894281676554017,True
2016-08,Rainfall/mm,negative_control,negative_control,1e-09,1e-09,31,5.58799999999998,106.934,8.575278384793592,19.654508947850523,10.337597795155805,False
2016-08,RWL/m,negative_control,negative_control,1e-09,1e-09,31,0.38999999999998636,1.9099999999999682,0.19010689570782086,0.45237031044601395,0.19120483074099487,False
