artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,scope,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,station,ATU2,O3,34,0.01521912041,-0.004016342767,0.02773800957,1,0.2,1,0.4953158982,0.4953158982,0.02320264303,0.01386900479,0.02632894679,0.02113353153,-0.022066373,0.6470588235,0.3529411765,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,station,ATU1,O3,34,-0.01261021718,-0.05706577355,0.068276443,1,0.2,1,0.7626780356,0.7626780356,0.03578778177,0.0341382215,0.04048002178,0.03680200835,-0.2075462174,0.6764705882,0.3235294118,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,station_macro,all,all,272,0.03080582678,0.01560518309,0.06327482127,0.9742647059,0.1742647059,0.9889705882,0.4631172557,0.4673712504,0.0233174227,0.03163741064,0.02341970234,0.02612484522,0.1998426437,0.3529411765,0.5992647059,0.04779411765,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,overall_micro,all,all,272,0.01990102778,0.0397744918,0.06216518637,0.9485294118,0.1485294118,0.9558823529,0.5210637679,0.5321161499,0.02477693095,0.03108259318,0.02843468405,0.02809806939,0.2099384769,0.375,0.4816176471,0.1323529412,0.01102941176,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,MJ9,O1,34,0.04226056618,0.0442385746,0.04226056618,0.7941176471,0.005882352941,0.6470588235,0.1029281959,0.1466568313,0.007899114381,0.02113028309,0.006766568747,0.01193198874,1.156442998,0,0.4117647059,0.5,0.08823529412,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,MJ1,O1,34,-0.03026916826,-0.04298552468,0.06273630112,0.7941176471,0.005882352941,1,0.2812181514,0.3259085725,0.01026291049,0.03136815056,0.02232794676,0.02131966927,-0.3925369578,0.6764705882,0.2941176471,0.02941176471,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,MJ3,O1,34,0.07325347249,0.07760143878,0.07325347249,1,0.2,1,0.2093935562,0.2093935562,0.01556588495,0.03662673624,0.00537347067,0.01918869729,1.003862724,0,0.4705882353,0.5294117647,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,ATU4,O2,34,0.06126728058,0.04873587473,0.06126728058,1,0.2,1,0.4846462039,0.4846462039,0.02697975733,0.03063364029,0.02148486306,0.02636608689,0.2717516752,0,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,ATU5,O2,34,0.06966301841,0.05912451357,0.06966301841,1,0.2,1,0.7424589458,0.7424589458,0.03714471344,0.03483150921,0.03710118113,0.03635913459,0.2144629881,0,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,ATU3,O2,34,-0.02836258735,-0.05303877722,0.08220400025,1,0.2,1,0.8564024357,0.8564024357,0.03359446501,0.04110200013,0.05204577856,0.04224741457,-0.1729498698,0.8529411765,0.1470588235,0,0,0
