artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,parameter_group,n_fit_rows,location_median_z,scale_multiplier,conformal_qhat_mm,conformal_quantile_level
calibration_only_expert_review_not_formal,False,False,calibration,1,raw,not_applicable,728,0,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,ATU1,91,0,1,0,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,ATU2,91,0,1,0,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,ATU3,91,0,1,0,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,ATU4,91,0,1,0,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,ATU5,91,0,1,0,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,MJ1,91,0,1,0.01894149757,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,MJ3,91,0,1,0.03632889741,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,station_symmetric_conformal,MJ9,91,0,1,0.03920607653,0.8131868132
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,global,728,0.06359546927,1.185588113,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,O1,273,1.612034391,0.6173230291,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,O2,273,0.002046089871,0.1543719934,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,O3,182,-0.1763181676,0.1273396896,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,ATU1,91,-0.1196466067,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,ATU2,91,-0.1889434467,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,ATU3,91,0.04362428801,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,ATU4,91,0.049860383,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,ATU5,91,-0.1436814264,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,MJ1,91,1.487335286,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,MJ3,91,1.582985915,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_only,MJ9,91,2.221872081,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,ATU1,91,-0.1196466067,0.1464266336,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,ATU2,91,-0.1889434467,0.2069890088,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,ATU3,91,0.04362428801,0.2002816244,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,ATU4,91,0.049860383,0.1228665989,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,ATU5,91,-0.1436814264,0.09795679525,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,MJ1,91,1.487335286,0.4338194384,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,MJ3,91,1.582985915,0.3636046603,0,
calibration_only_expert_review_not_formal,False,False,calibration,1,station_robust_location_scale,MJ9,91,2.221872081,1.02122367,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,not_applicable,1000,0,1,0,
