artifact_status,formal_warning_output,vajont_used,decision_input_split,method,scope,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,raw,overall_micro,1088,0.02347153282,0.01752790099,0.06879070184,0.8979779412,0.09797794118,0.8740808824,0.5211645783,0.5538419103,0.02597846407,0.03439535092,0.02940572696,0.02992651399,0.1033172883,0.40625,0.4356617647,0.1314338235,0.01470588235,0.01194852941
calibration_only_expert_review_not_formal,False,False,calibration,raw,station_macro,1088,0.02347153282,0.01672135229,0.06879070184,0.8979779412,0.1520220588,0.8740808824,0.5211645783,0.5538419103,0.02597846407,0.03439535092,0.02940572696,0.02992651399,0.2214672434,0.40625,0.4356617647,0.1314338235,0.01470588235,0.01194852941
calibration_only_expert_review_not_formal,False,False,calibration,station_symmetric_conformal,overall_micro,1088,0.02347153282,0.01752790099,0.06879070184,0.9402573529,0.1402573529,0.9273897059,0.5416625777,0.5562518503,0.02673861719,0.03439535092,0.02888656784,0.03000684532,0.09431015718,0.40625,0.4880514706,0.1011029412,0.004595588235,0
calibration_only_expert_review_not_formal,False,False,calibration,station_symmetric_conformal,station_macro,1088,0.02347153282,0.01672135229,0.06879070184,0.9402573529,0.1417279412,0.9273897059,0.5416625777,0.5562518503,0.02673861719,0.03439535092,0.02888656784,0.03000684532,0.1522590249,0.40625,0.4880514706,0.1011029412,0.004595588235,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,overall_micro,1088,-0.001059970351,-0.00664195936,0.07227721198,0.8998161765,0.09981617647,0.8988970588,0.5250301366,0.5559521498,0.02393844439,0.03613860599,0.03165677059,0.03057794032,-0.02974269292,0.5248161765,0.3419117647,0.1130514706,0.01011029412,0.01011029412
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,station_macro,1088,-0.001059970351,-0.01014718676,0.07227721198,0.8998161765,0.1505514706,0.8988970588,0.5250301366,0.5559521498,0.02393844439,0.03613860599,0.03165677059,0.03057794032,0.09519800558,0.5248161765,0.3419117647,0.1130514706,0.01011029412,0.01011029412
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,overall_micro,1088,-0.008192504634,-0.009817588519,0.07085820571,0.5790441176,0.2209558824,0.5909926471,0.1512109276,0.4196792908,0.02110944008,0.03542910286,0.020858489,0.02579901065,-0.1921205253,0.5487132353,0.2362132353,0.08455882353,0.07628676471,0.05422794118
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,station_macro,1088,-0.008192504634,-0.01515497429,0.07085820571,0.5790441176,0.2213235294,0.5909926471,0.1512109276,0.4196792908,0.02110944008,0.03542910286,0.020858489,0.02579901065,-0.218424798,0.5487132353,0.2362132353,0.08455882353,0.07628676471,0.05422794118
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,overall_micro,1088,-0.007353739103,-0.01557924078,0.07239477908,0.8465073529,0.04650735294,0.8731617647,0.5211645783,0.6098583399,0.03092023027,0.03619738954,0.03006560371,0.03239440784,-0.07148715783,0.5523897059,0.4329044118,0.01470588235,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,station_macro,1088,-0.007353739103,-0.01428682121,0.07239477908,0.8465073529,0.2240808824,0.8731617647,0.5211645783,0.6098583399,0.03092023027,0.03619738954,0.03006560371,0.03239440784,-0.2946781481,0.5523897059,0.4329044118,0.01470588235,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,overall_micro,1088,-0.007353739103,-0.01557924078,0.07239477908,0.5891544118,0.2108455882,0.6176470588,0.1497287759,0.4141870691,0.02033333297,0.03619738954,0.02108537395,0.02587203215,-0.2597123707,0.5523897059,0.2509191176,0.07628676471,0.03860294118,0.08180147059
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,station_macro,1088,-0.007353739103,-0.01428682121,0.07239477908,0.5891544118,0.2108455882,0.6176470588,0.1497287759,0.4141870691,0.02033333297,0.03619738954,0.02108537395,0.02587203215,-0.2414850986,0.5523897059,0.2509191176,0.07628676471,0.03860294118,0.08180147059
