artifact_status,formal_warning_output,vajont_used,decision_input_split,station,block,month,n,residual_mean_mm,residual_median_mm,z_mean,z_median,raw_coverage_80,green_n,blue_n,yellow_n,orange_n,red_n
calibration_only_expert_review_not_formal,False,False,calibration,MJ1,O1,2019-06,30,0.08920388792,0.0799225065,1.003019315,0.8759556698,0.6666666667,2,14,10,4,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ3,O1,2019-06,30,0.04719925314,0.04245839002,0.49556909,0.4098873358,1,0,30,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU1,O3,2019-06,30,0.05034408304,0.09264583081,0.1360356924,0.2681957805,1,10,20,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU2,O3,2019-06,30,0.05631188237,0.08575673932,0.2106340009,0.3465113753,1,10,20,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU3,O2,2019-06,30,0.1772548067,0.1865552476,0.4793742397,0.5284093557,1,7,18,5,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU4,O2,2019-06,30,0.06900993582,0.09574840741,0.3259536397,0.4857244385,1,10,19,1,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU5,O2,2019-06,30,0.03294216131,0.08358742012,0.1068717251,0.2677718822,1,12,18,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ9,O1,2019-07,31,0.01854122665,0.02709806127,0.5286567467,0.7245049217,1,6,17,8,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ1,O1,2019-07,31,-0.02863494749,-0.01792196663,-0.3168966506,-0.2203204436,0.8064516129,19,12,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ3,O1,2019-07,31,0.1425969459,0.1512822918,1.378566102,1.476594212,0.4516129032,0,5,26,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU1,O3,2019-07,31,0.01314128495,0.01706693672,0.03947776103,0.05059973725,1,9,22,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU2,O3,2019-07,31,-0.04487400616,-0.03515069798,-0.1790994854,-0.1406672559,1,31,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU3,O2,2019-07,31,-0.01560200911,-0.007491715206,-0.04457515763,-0.0209829131,1,17,14,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU4,O2,2019-07,31,-0.06121364616,-0.0627896448,-0.2951802279,-0.3006080787,1,31,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU5,O2,2019-07,31,0.04521653176,0.0545745553,0.1465638558,0.1707104106,1,3,28,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ9,O1,2019-08,31,0.01403373401,0.01729187503,0.3915274595,0.4807715133,1,3,28,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ1,O1,2019-08,31,-0.0830484899,-0.07143002058,-0.9503084488,-0.8603364364,0.7096774194,31,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ3,O1,2019-08,31,0.1417380086,0.1428593934,1.466942408,1.434917511,0.5161290323,0,0,30,1,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU1,O3,2019-08,31,-0.0347650929,-0.04774644693,-0.09957524516,-0.1408147975,1,22,9,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU2,O3,2019-08,31,-0.05897866429,-0.0453189389,-0.2339094364,-0.1889692149,1,30,1,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU3,O2,2019-08,31,-0.03713440011,-0.02546604946,-0.1021682615,-0.06947805967,1,24,7,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU4,O2,2019-08,31,-0.06702840018,-0.06606547449,-0.3215089283,-0.3292387893,1,31,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU5,O2,2019-08,31,0.01074334429,0.01293023308,0.03666905209,0.04154679946,1,14,17,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ9,O1,2019-09,17,0.02075092619,0.02340130424,0.5534340011,0.6411673567,1,1,15,1,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ1,O1,2019-09,17,-0.009256195822,-0.003550669746,-0.1068446291,-0.04237456835,1,12,5,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,MJ3,O1,2019-09,17,0.1760871861,0.1814803653,1.631352914,1.648624896,0.05882352941,0,0,17,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU1,O3,2019-09,17,0.0138604131,0.01578343557,0.04096596046,0.04468824623,1,2,15,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU2,O3,2019-09,17,0.01051206998,0.009039454512,0.04036610661,0.03450739154,1,4,13,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU3,O2,2019-09,17,0.0374131754,0.05476244321,0.09499823963,0.1436514775,1,4,13,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU4,O2,2019-09,17,0.06556463925,0.07223509293,0.3074301627,0.3524676155,1,1,16,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,ATU5,O2,2019-09,17,0.03666205219,0.04749915383,0.1126298945,0.1482727241,1,2,15,0,0,0
