artifact_status,formal_warning_output,vajont_used,decision_input_split,method,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,MJ1,O1,136,-0.02686698699,-0.03493713212,0.06625282803,0.7205882353,0.07941176471,0.8308823529,0.2330281987,0.3383914816,0.01494605155,0.03312641402,0.01889309661,0.02232185406,-0.3883307636,0.7132352941,0.1911764706,0.08088235294,0.01470588235,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,MJ3,O1,136,0.1020073489,0.1084268536,0.1020324516,0.6764705882,0.1235294118,0.5955882353,0.241635552,0.3049922446,0.02009317119,0.05101622581,0.01040605327,0.02717181676,1.172929204,0.007352941176,0.3382352941,0.6470588235,0.007352941176,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,ATU4,O2,136,-0.0187199406,-0.04992523951,0.08230887913,1,0.2,1,0.5119298663,0.5119298663,0.0209204775,0.04115443957,0.03027250913,0.0307824754,-0.2353928702,0.5514705882,0.4485294118,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,ATU5,O2,136,0.002885000972,0.01661163983,0.05927073843,1,0.2,1,0.7579736584,0.7579736584,0.03212875775,0.02963536922,0.04366860809,0.03514424502,0.05530513219,0.4117647059,0.5882352941,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,ATU3,O2,136,-0.01978470443,-0.05208809068,0.09274861184,1,0.2,1,0.8880860252,0.8880860252,0.03697433807,0.04637430592,0.05183426444,0.04506096948,-0.1661917029,0.7720588235,0.2279411765,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,ATU2,O3,136,-0.04017243725,-0.05095271058,0.06915743152,1,0.2,1,0.6120465518,0.6120465518,0.02272392684,0.03457871576,0.03848072834,0.03192779031,-0.2124021248,0.8455882353,0.1544117647,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,global_robust_location_scale,ATU1,O3,136,-0.04112567894,-0.04210615186,0.06906996601,1,0.2,1,0.8613335969,0.8613335969,0.0364067953,0.03453498301,0.0497265644,0.0402227809,-0.1323967924,0.7867647059,0.2132352941,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,MJ9,O1,136,-0.01495537188,-0.023955979,0.03335846696,0.6544117647,0.1455882353,0.6691176471,0.0764376721,0.1591330724,0.007224751832,0.01667923348,0.008688555412,0.01086418024,-0.6828655805,0.7720588235,0.08823529412,0.03676470588,0.1029411765,0
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,MJ1,O1,136,-0.1461941224,-0.1516241566,0.1519847308,0.1102941176,0.6897058824,0.1397058824,0.1861795704,1.024575086,0.07640287261,0.07599236539,0.02605463603,0.05948329134,-1.929132127,0.9191176471,0.08088235294,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,MJ3,O1,136,-0.02177590873,-0.01315626503,0.04102341558,0.8014705882,0.001470588235,0.8235294118,0.201715043,0.2719577128,0.01317566074,0.02051170779,0.01402011054,0.01590249302,-0.1694414208,0.6102941176,0.3897058824,0,0,0
