outer_days,strategy,station,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,train_rmse_mm_minus_A,train_mae_mm_minus_A,train_crps_mm_minus_A,prediction_rmse_mm_minus_A,prediction_mae_mm_minus_A,prediction_crps_mm_minus_A,train_rmse_mm_minus_C,train_mae_mm_minus_C,train_crps_mm_minus_C,prediction_rmse_mm_minus_C,prediction_mae_mm_minus_C,prediction_crps_mm_minus_C,strict_mean_improvement
432,A,ATU1,0.6081306403699234,-0.12300218422437315,0.1001388708509996,-0.0002859627465525705,-0.0002905371569781323,0.012796472579509555,0.0,0.0,0.0,0.0,0.0,0.0,8.874797961542987,6.272991124645774,0.6236836697600374,-11.277092981309679,-11.339758462028605,-9.259887167073991,False
432,A,ATU5,0.6442039172064886,0.5218450934275483,0.028917350421545862,-0.004739926262004701,-0.004932119887257613,0.023111575728790967,0.0,0.0,0.0,0.0,0.0,0.0,3.685629558155395,2.6756971270890175,-0.5577464908741643,-10.285321322229265,-10.485154669633289,-8.403607362639164,False
432,A,MJ3,2.842339312304193,1.5692574506541002,0.7254869255198484,0.0053292961116326865,0.0036274818940906783,0.0024394370240514718,0.0,0.0,0.0,0.0,0.0,0.0,8.587161022695156,6.625358408195479,1.2552513743337528,4.557531107102198,4.054915639383459,1.5986187338775917,False
432,A,MJ1,7.028289601018676,5.07053690170811,5.009839779547973,-0.0077026596587970175,-0.006766241427222042,-0.007319862273945432,0.0,0.0,0.0,0.0,0.0,0.0,14.617331560165903,11.499030793367693,9.314556353142196,8.730153250579667,8.404716529106015,8.126272800839244,False
432,C,ATU1,-8.266667321173063,-6.395993308870147,-0.5235447989090378,11.276807018563126,11.339467924871627,9.2726836396535,-8.874797961542987,-6.272991124645774,-0.6236836697600374,11.277092981309679,11.339758462028605,9.259887167073991,0.0,0.0,0.0,0.0,0.0,0.0,False
432,C,ATU5,-3.041425640948906,-2.1538520336614693,0.5866638412957101,10.28058139596726,10.480222549746031,8.426718938367955,-3.685629558155395,-2.6756971270890175,0.5577464908741643,10.285321322229265,10.485154669633289,8.403607362639164,0.0,0.0,0.0,0.0,0.0,0.0,False
432,C,MJ3,-5.744821710390963,-5.0561009575413784,-0.5297644488139044,-4.5522018109905655,-4.051288157489369,-1.5961792968535402,-8.587161022695156,-6.625358408195479,-1.2552513743337528,-4.557531107102198,-4.054915639383459,-1.5986187338775917,0.0,0.0,0.0,0.0,0.0,0.0,True
432,C,MJ1,-7.589041959147227,-6.428493891659583,-4.304716573594223,-8.737855910238464,-8.411482770533237,-8.13359266311319,-14.617331560165903,-11.499030793367693,-9.314556353142196,-8.730153250579667,-8.404716529106015,-8.126272800839244,0.0,0.0,0.0,0.0,0.0,0.0,True
432,H,ATU1,-8.073473843909419,-6.205587629025946,-0.4124826241165689,9.237928804555047,9.331271274974121,7.30039585266767,-8.68160448427934,-6.082585444801573,-0.5126214949675685,9.2382147673016,9.331561812131099,7.28759938008816,0.193193477263645,0.1904056798442011,0.11106217479246894,-2.0388782140080792,-2.0081966498975063,-1.9722877869858308,False
432,H,ATU5,-2.853766161781426,-2.0059174824219705,0.7571148505972314,8.983842732026204,9.130479443918233,6.707379707287203,-3.4979700789879145,-2.527762575849519,0.7281975001756855,8.988582658288209,9.13541156380549,6.684268131558412,0.1876594791674806,0.1479345512394986,0.17045100930152124,-1.2967386639410563,-1.3497431058277982,-1.7193392310807525,False
