phase,horizon,contrast,candidate,reference,metric,candidate_value,reference_value,difference
development,1,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.203956312127972,0.168946659637313,0.035009652490659
development,1,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.340196394127976,0.228968554949258,0.111227839178718
development,1,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.156051211032143,0.128006852081533,0.02804435895061
development,1,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.875664893617021,0.843085106382979,0.0325797872340421
development,1,convlstm_residual,CL_BRES,CL_DIRECT,width90,0.94810041242315,0.82269744663118,0.12540296579197
development,1,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,1.41183879102102,1.09217767517303,0.31966111584799
development,1,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0039817636494235,0.0007092938976777,0.0032724697517458
development,1,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.007136527200651,0.0009175693276421,0.0062189578730089
development,1,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0034399015378511,0.0005322929725484,0.0029076085653027
development,1,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.878324468085106,0.893617021276596,-0.01529255319149
development,1,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0203169739396463,0.0034145304089328,0.0169024435307135
development,1,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0365940319576725,0.0041685543588996,0.0324254775987729
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.229320089014069,0.37504055114597,-0.145720462131901
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.395943638335157,0.496378191721429,-0.100434553386272
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.175646184421622,0.266902840204616,-0.091256655782994
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.869015957446808,0.877659574468085,-0.00864361702127692
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,width90,1.05903815162934,1.545204635944,-0.48616648431466
development,1,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,1.66641126333018,1.9640165640967,-0.29760530076652
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,4.08065180091411e-05,4.0370973068432e-05,4.35544940709099e-07
