phase,model,horizon,seed,mae,rmse,pooled_rmse
development,CL_DIRECT,1,0,0.17373348103888,0.239147330933495,0.26184374717261
development,CL_DIRECT,1,1,0.212502049958986,0.28257026485161,0.311496485989969
development,CL_DIRECT,1,2,0.14848735779921,0.20699842130068,0.212900065809076
development,CL_DIRECT,2,0,0.354551717873417,0.492041229530715,0.539411512865848
development,CL_DIRECT,2,1,0.424435064352042,0.568086887159216,0.626198453439795
development,CL_DIRECT,2,2,0.298690707736191,0.416791320688069,0.42758932397803
development,CL_DIRECT,3,0,0.541307369457194,0.751561460156456,0.824390880892441
development,CL_DIRECT,3,1,0.634616863142196,0.851205638123657,0.937662407744419
development,CL_DIRECT,3,2,0.449919437372182,0.625747907999326,0.640493085444584
development,CL_DIRECT,4,0,0.730346921824497,1.0115148245917,1.11019728802144
development,CL_DIRECT,4,1,0.841812633394674,1.13107902796792,1.24601554847968
development,CL_DIRECT,4,2,0.599433225166596,0.83120773236143,0.84901121223629
development,CL_DIRECT,5,0,0.918177021986587,1.26692857558601,1.39167693301281
development,CL_DIRECT,5,1,1.0457495174706,1.40787552542885,1.55264977030922
development,CL_DIRECT,5,2,0.744600741397879,1.03079151086572,1.05089871365087
development,CL_DIRECT,6,0,1.10067740605013,1.51209688780141,1.66234735499388
development,CL_DIRECT,6,1,1.24516979591684,1.68105828424272,1.85782335540707
development,CL_DIRECT,6,2,0.882551349255886,1.22145132942199,1.24315851534466
development,CL_DIRECT,7,0,1.27533803443409,1.7438858551026,1.91903150502062
development,CL_DIRECT,7,1,1.43982800165455,1.94936140101435,2.16061198087418
development,CL_DIRECT,7,2,1.01157044091645,1.40097843763632,1.42393133206808
development,CL_BRES,1,0,0.219677746912433,0.360578981442004,0.376291670887089
development,CL_BRES,1,1,0.211180181362349,0.335874582696046,0.345942046556106
development,CL_BRES,1,2,0.215914868560747,0.352575706521088,0.362908742038885
development,CL_BRES,2,0,0.453311083858348,0.746657270500356,0.788801017277772
development,CL_BRES,2,1,0.430626928617603,0.688752585736707,0.716889074735656
development,CL_BRES,2,2,0.445454466463405,0.730020049107883,0.758270959955678
development,CL_BRES,3,0,0.698322863840599,1.15440059619102,1.23425611918537
development,CL_BRES,3,1,0.658769214743947,1.05776079081648,1.11239555083218
development,CL_BRES,3,2,0.684778366583901,1.12897475211597,1.18353988484829
development,CL_BRES,4,0,0.950970186255963,1.57975571910186,1.70806464747693
development,CL_BRES,4,1,0.893116565079124,1.44008728892982,1.52961145885801
development,CL_BRES,4,2,0.927422716288956,1.54396873302786,1.63342863615437
development,CL_BRES,5,0,1.2071121865176,2.01790576366502,2.20448350346298
development,CL_BRES,5,1,1.12957986565911,1.8319246331244,1.96434994642258
development,CL_BRES,5,2,1.16853889367347,1.96889939605353,2.10175360921643
development,CL_BRES,6,0,1.46278528349872,2.4639147948185,2.71776217843991
development,CL_BRES,6,1,1.36646028072222,2.23040752941607,2.41325421927975
development,CL_BRES,6,2,1.40675298600916,2.39881058730363,2.58347008956819
development,CL_BRES,7,0,1.71205313401815,2.91338641955221,3.24268278525944
development,CL_BRES,7,1,1.6042442997019,2.63285966551246,2.87267976953055
development,CL_BRES,7,2,1.63694322185302,2.82971465685079,3.07406816974377
development,PINN_EQ,1,0,0.219025549446091,0.392827126751373,0.421480361980574
development,PINN_EQ,1,1,0.24527280656523,0.394435776822832,0.421190111995317
development,PINN_EQ,1,2,0.255995302760743,0.432768075674087,0.468949187983478
development,PINN_EQ,2,0,0.439369085593226,0.864608947448104,0.919476853714567
development,PINN_EQ,2,1,0.45353041718274,0.841457661319599,0.89433735856258
development,PINN_EQ,2,2,0.492826891760474,0.907503133568423,0.96609473982584
development,PINN_EQ,3,0,0.681890220651133,1.36590865245553,1.45737613613515
development,PINN_EQ,3,1,0.677917027098846,1.33007836191121,1.42157393025734
development,PINN_EQ,3,2,0.737311052943842,1.40590847527742,1.49994758030674
development,PINN_EQ,4,0,0.930071208294584,1.88311330633399,2.02192766935596
development,PINN_EQ,4,1,0.911479289527584,1.83784796049792,1.97951368165036
development,PINN_EQ,4,2,0.979933906111405,1.91759454618463,2.05876278762829
development,PINN_EQ,5,0,1.18018615675504,2.41317142579765,2.6095177225348
development,PINN_EQ,5,1,1.1499832707911,2.36275257434285,2.5646418539836
development,PINN_EQ,5,2,1.2229393847485,2.44132838571367,2.64026906064361
development,PINN_EQ,6,0,1.43342957003386,2.95532951822725,3.21847225905677
development,PINN_EQ,6,1,1.39826120812678,2.90386580400015,3.17410847516054
development,PINN_EQ,6,2,1.468561515331,2.97666742815454,3.2426669269244
development,PINN_EQ,7,0,1.69183651206155,3.5083740544092,3.84632358646842
