horizon,model,reference,n_origins,first_origin,rmse_difference,crps_difference,origin_stride_days
1,C16_CORE_RULES,B_ANCHOR,42,1168,-0.291420577721665,-0.141927228476436,7
1,C16_CORE_RULES,DRIFT1,42,1168,-0.00972902052603404,-0.00425263006034568,7
1,RR_DIRECT,B_ANCHOR,42,1168,-0.29107598259194,-0.141725840495569,7
1,RR_DIRECT,DRIFT1,42,1168,-0.0093844253963093,-0.00405124207947823,7
2,C16_CORE_RULES,B_ANCHOR,42,1168,-0.556471833364455,-0.272991447548431,7
2,C16_CORE_RULES,DRIFT1,42,1168,-0.0290633011998711,-0.0127796824607975,7
3,C16_CORE_RULES,B_ANCHOR,42,1168,-0.80861897233435,-0.399884964560762,7
3,C16_CORE_RULES,DRIFT1,42,1168,-0.0578953464820567,-0.0256020356187992,7
4,C16_CORE_RULES,B_ANCHOR,42,1168,-1.06062473637831,-0.529834733985077,7
4,C16_CORE_RULES,DRIFT1,42,1168,-0.0960717904672243,-0.0427231348439696,7
5,C16_CORE_RULES,B_ANCHOR,42,1168,-1.31517031569593,-0.661671309836735,7
5,C16_CORE_RULES,DRIFT1,42,1168,-0.143193282757835,-0.0640344034650785,7
6,C16_CORE_RULES,B_ANCHOR,42,1168,-1.57179059426297,-0.796371386078046,7
6,C16_CORE_RULES,DRIFT1,42,1168,-0.19883911580462,-0.0893722434305972,7
7,C16_CORE_RULES,B_ANCHOR,41,1168,-1.72897162205635,-0.891773878858126,7
7,C16_CORE_RULES,DRIFT1,41,1168,-0.260999442431704,-0.117053921600284,7
