phase,scenario,model,probability_model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,1,180,0.308476616315764,0.372295747403468,0.220947479185099,0.604166666666667,0.784196677563779,1.40920099608995,0.7125,1.00650553907749,1.78689268327764,0.786111111111111,1.19932532263563,2.29248204464652,0.395170915654636
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,2,179,0.608985440500811,0.732440600750352,0.438506361536362,0.608938547486033,1.53027818764292,2.82277585976516,0.709497206703911,1.96409079030663,3.6147119657722,0.787709497206704,2.34035852691796,4.69611445293479,0.778947162095222
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,3,178,0.908803058998548,1.08868624538644,0.656877586901825,0.60252808988764,2.2581746710548,4.25811033705265,0.706460674157303,2.89833581249304,5.51337930857259,0.780898876404494,3.45358013291269,7.23648255835695,1.15905834113772
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,4,177,1.20595176917615,1.44076624166379,0.875478820335799,0.598870056497175,2.96997189268648,5.71583532354348,0.701977401129944,3.81191765588715,7.47177980318468,0.774011299435028,4.54218004274223,9.89075838470284,1.53529565693335
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,5,176,1.50004490203078,1.78814677918233,1.09349427195373,0.603693181818182,3.66733280115464,7.19582596427222,0.697443181818182,4.70697069193145,9.47678392959247,0.769886363636364,5.60870151684531,12.6216652592225,1.90707066639463
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,6,175,1.79057055310636,2.13068046465686,1.31037686269746,0.607142857142857,4.35211817720791,8.6903821924687,0.697142857142857,5.5858832068609,11.5121706565416,0.761428571428571,6.65599037379723,15.3923912471075,2.27419824064287
inner,past_only_main,B_ANCHOR,B_ANCHOR_G,7,174,2.07899635473534,2.46956110572079,1.52664116005487,0.603448275862069,5.02531765481801,10.1946975710895,0.691091954022988,6.44992538212696,13.569943221256,0.758620689655172,7.68556012814906,18.1867909642383,2.63789789948729
inner,past_only_main,DRIFT1,DRIFT1_G,1,180,0.0054958491283722,0.00707521704212,0.0041218616114957,0.783333333333333,0.0190316697287674,0.0276731805170071,0.855555555555556,0.0244268836478721,0.034098633200183,0.890277777777778,0.0291064271129776,0.0397257658095885,0.0078289991296978
inner,past_only_main,DRIFT1,DRIFT1_G,2,179,0.0164724576443842,0.0211806527788357,0.0123911569417728,0.782122905027933,0.057198443320643,0.0835367987291769,0.857541899441341,0.0734134072177985,0.103447906688937,0.892458100558659,0.0874774701964948,0.122018273272152,0.0234756026512414
inner,past_only_main,DRIFT1,DRIFT1_G,3,178,0.0329173536338099,0.0422675922159676,0.0248258304953579,0.782303370786517,0.114566581828523,0.167952212579903,0.859550561797753,0.147044615850476,0.208919350669609,0.89185393258427,0.175214466786091,0.249068735951701,0.046924431863661
