horizon,mean_best,probability_best,recommended,later_pass,development_mean_best_mae,development_mean_best_rmse,development_mean_best_pooled_rmse,development_mean_best_crps,development_mean_best_coverage90,development_mean_best_width90,development_mean_best_interval_score90,development_probability_best_mae,development_probability_best_rmse,development_probability_best_pooled_rmse,development_probability_best_crps,development_probability_best_coverage90,development_probability_best_width90,development_probability_best_interval_score90,development_recommended_mae,development_recommended_rmse,development_recommended_pooled_rmse,development_recommended_crps,development_recommended_coverage90,development_recommended_width90,development_recommended_interval_score90,later_exploratory_mean_best_mae,later_exploratory_mean_best_rmse,later_exploratory_mean_best_pooled_rmse,later_exploratory_mean_best_crps,later_exploratory_mean_best_coverage90,later_exploratory_mean_best_width90,later_exploratory_mean_best_interval_score90,later_exploratory_probability_best_mae,later_exploratory_probability_best_rmse,later_exploratory_probability_best_pooled_rmse,later_exploratory_probability_best_crps,later_exploratory_probability_best_coverage90,later_exploratory_probability_best_width90,later_exploratory_probability_best_interval_score90,later_exploratory_recommended_mae,later_exploratory_recommended_rmse,later_exploratory_recommended_pooled_rmse,later_exploratory_recommended_crps,later_exploratory_recommended_coverage90,later_exploratory_recommended_width90,later_exploratory_recommended_interval_score90
1,C16_CORE_RULES,C16_CORE_RULES,RR_DIRECT,True,4.0370973068432e-05,8.34242765866008e-05,8.63101780266635e-05,0.0001860899466374,0.95811170212766,0.0024228173889231,0.0025686396632543,4.0370973068432e-05,8.34242765866008e-05,8.63101780266635e-05,0.0001860899466374,0.95811170212766,0.0024228173889231,0.0025686396632543,0.0007092938976777,0.0009175693276421,0.0011472692174504,0.0005322929725484,0.893617021276596,0.0034145304089328,0.0041685543588996,7.61372556177609e-05,0.000208745332316,0.0002548540757457,6.53458785313794e-05,0.94283276450512,0.0003785607946722,0.0008087211756613,7.61372556177609e-05,0.000208745332316,0.0002548540757457,6.53458785313794e-05,0.94283276450512,0.0003785607946722,0.0008087211756613,0.0002737962473748,0.0004199605924951,0.0005003223071596,0.0002291100038567,0.88481228668942,0.0016319395701588,0.0023652846766365
2,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0001850492622099,0.0003609835117302,0.0003735097532708,0.0006110012248248,0.946,0.0076868783696681,0.0083290908553028,0.0001850492622099,0.0003609835117302,0.0003735097532708,0.0006110012248248,0.946,0.0076868783696681,0.0083290908553028,0.0001850492622099,0.0003609835117302,0.0003735097532708,0.0006110012248248,0.946,0.0076868783696681,0.0083290908553028,0.0003501052888909,0.0008992863481267,0.0010982648869193,0.0002956877560787,0.939212328767123,0.0016096254206239,0.0035990874108446,0.0003501052888909,0.0008992863481267,0.0010982648869193,0.0002956877560787,0.939212328767123,0.0016096254206239,0.0035990874108446,0.0003501052888909,0.0008992863481267,0.0010982648869193,0.0002956877560787,0.939212328767123,0.0016096254206239,0.0035990874108446
3,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0005120593784837,0.0009465280143737,0.0009788438957468,0.0013340302968416,0.945855614973262,0.0162516443353448,0.0179116456884902,0.0005120593784837,0.0009465280143737,0.0009788438957468,0.0013340302968416,0.945855614973262,0.0162516443353448,0.0179116456884902,0.0005120593784837,0.0009465280143737,0.0009788438957468,0.0013340302968416,0.945855614973262,0.0162516443353448,0.0179116456884902,0.0009964010687288,0.0023990315675311,0.0029348986203794,0.0008197733171855,0.935567010309278,0.0042176702979202,0.0094429592159158,0.0009964010687288,0.0023990315675311,0.0029348986203794,0.0008197733171855,0.935567010309278,0.0042176702979202,0.0094429592159158,0.0009964010687288,0.0023990315675311,0.0029348986203794,0.0008197733171855,0.935567010309278,0.0042176702979202,0.0094429592159158
4,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0011148422407703,0.0019531415882761,0.0020185519779842,0.0024237810846138,0.943699731903485,0.0286082362138347,0.0319714205271727,0.0011148422407703,0.0019531415882761,0.0020185519779842,0.0024237810846138,0.943699731903485,0.0286082362138347,0.0319714205271727,0.0011148422407703,0.0019531415882761,0.0020185519779842,0.0024237810846138,0.943699731903485,0.0286082362138347,0.0319714205271727,0.0022366648477086,0.0051432672338045,0.0063058323327361,0.0018291693015387,0.924137931034483,0.0088509985106164,0.0205666297339031,0.0022366648477086,0.0051432672338045,0.0063058323327361,0.0018291693015387,0.924137931034483,0.0088509985106164,0.0205666297339031,0.0022366648477086,0.0051432672338045,0.0063058323327361,0.0018291693015387,0.924137931034483,0.0088509985106164,0.0205666297339031
5,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0020888303339199,0.0035095273806108,0.0036242235303685,0.0039553966763989,0.936827956989247,0.0452718234696957,0.051172527010434,0.0020888303339199,0.0035095273806108,0.0036242235303685,0.0039553966763989,0.936827956989247,0.0452718234696957,0.051172527010434,0.0020888303339199,0.0035095273806108,0.0036242235303685,0.0039553966763989,0.936827956989247,0.0452718234696957,0.051172527010434,0.0043401710792387,0.0096117858968333,0.0118039441161783,0.0035413915520997,0.899653979238754,0.016192817608093,0.0396192740331566,0.0043401710792387,0.0096117858968333,0.0118039441161783,0.0035413915520997,0.899653979238754,0.016192817608093,0.0396192740331566,0.0043401710792387,0.0096117858968333,0.0118039441161783,0.0035413915520997,0.899653979238754,0.016192817608093,0.0396192740331566
6,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0035359008153191,0.0057547104031376,0.0059362814198848,0.0060103301515137,0.92654986522911,0.0667769896511773,0.0763964698143548,0.0035359008153191,0.0057547104031376,0.0059362814198848,0.0060103301515137,0.92654986522911,0.0667769896511773,0.0763964698143548,0.0035359008153191,0.0057547104031376,0.0059362814198848,0.0060103301515137,0.92654986522911,0.0667769896511773,0.0763964698143548,0.0076010817575522,0.0162769354583289,0.0200071852510091,0.0061848496321371,0.872395833333333,0.0268870609004318,0.0692066113250565,0.0076010817575522,0.0162769354583289,0.0200071852510091,0.0061848496321371,0.872395833333333,0.0268870609004318,0.0692066113250565,0.0076010817575522,0.0162769354583289,0.0200071852510091,0.0061848496321371,0.872395833333333,0.0268870609004318,0.0692066113250565
7,C16_CORE_RULES,C16_CORE_RULES,C16_CORE_RULES,True,0.0055926332322553,0.008827028332068,0.0090934170157815,0.0086706281316609,0.92027027027027,0.0936394278378616,0.108353649956865,0.0055926332322553,0.008827028332068,0.0090934170157815,0.0086706281316609,0.92027027027027,0.0936394278378616,0.108353649956865,0.0055926332322553,0.008827028332068,0.0090934170157815,0.0086706281316609,0.92027027027027,0.0936394278378616,0.108353649956865,0.0122776340751834,0.0255796349180615,0.0314496385011844,0.0099777354784114,0.858885017421603,0.0415038110429494,0.111616242646864,0.0122776340751834,0.0255796349180615,0.0314496385011844,0.0099777354784114,0.858885017421603,0.0415038110429494,0.111616242646864,0.0122776340751834,0.0255796349180615,0.0314496385011844,0.0099777354784114,0.858885017421603,0.0415038110429494,0.111616242646864
