phase,model,horizon,point,n,mae,rmse,interpretation
inner,PINN_EQ,6,MJ3,354,1.98878163236185,2.53957884664939,fitting_only_not_issued_forecast
inner,PINN_EQ,6,MJ1,354,1.33543735227556,1.5204178578934,fitting_only_not_issued_forecast
inner,PINN_EQ,7,ATU1,354,5.64146909999966,10.6623806385568,fitting_only_not_issued_forecast
inner,PINN_EQ,7,ATU5,354,6.20305617181652,10.1466611612071,fitting_only_not_issued_forecast
inner,PINN_EQ,7,MJ3,354,2.39807169343434,3.04620258557295,fitting_only_not_issued_forecast
inner,PINN_EQ,7,MJ1,354,1.59625919842978,1.81566132655724,fitting_only_not_issued_forecast
inner,CL_BRES,1,ATU1,354,0.412157198042345,1.108607746048,fitting_only_not_issued_forecast
inner,CL_BRES,1,ATU5,354,0.280575336978708,0.660118834371033,fitting_only_not_issued_forecast
inner,CL_BRES,1,MJ3,354,0.0750908533249468,0.108826420044895,fitting_only_not_issued_forecast
inner,CL_BRES,1,MJ1,354,0.0551797023490794,0.0898279799919385,fitting_only_not_issued_forecast
inner,CL_BRES,2,ATU1,354,0.814528327293129,2.15202792967447,fitting_only_not_issued_forecast
inner,CL_BRES,2,ATU5,354,0.58222637073757,1.34395220505496,fitting_only_not_issued_forecast
inner,CL_BRES,2,MJ3,354,0.143082308993998,0.207079653307371,fitting_only_not_issued_forecast
inner,CL_BRES,2,MJ1,354,0.104253319367372,0.156464388792651,fitting_only_not_issued_forecast
inner,CL_BRES,3,ATU1,354,1.21159112845026,3.11807300456473,fitting_only_not_issued_forecast
inner,CL_BRES,3,ATU5,354,0.910560422085897,2.05701159593128,fitting_only_not_issued_forecast
inner,CL_BRES,3,MJ3,354,0.204494303308029,0.294365047585807,fitting_only_not_issued_forecast
inner,CL_BRES,3,MJ1,354,0.151677798687226,0.217153850873604,fitting_only_not_issued_forecast
inner,CL_BRES,4,ATU1,354,1.61597692257178,4.04364789545485,fitting_only_not_issued_forecast
inner,CL_BRES,4,ATU5,354,1.26821250086936,2.80065803046013,fitting_only_not_issued_forecast
inner,CL_BRES,4,MJ3,354,0.260737633854755,0.371408845776238,fitting_only_not_issued_forecast
inner,CL_BRES,4,MJ1,354,0.197659136509245,0.273562856280483,fitting_only_not_issued_forecast
inner,CL_BRES,5,ATU1,354,2.03895317882927,4.97058603371054,fitting_only_not_issued_forecast
inner,CL_BRES,5,ATU5,354,1.64792788632678,3.5737416315268,fitting_only_not_issued_forecast
inner,CL_BRES,5,MJ3,354,0.31384114127128,0.443412475329038,fitting_only_not_issued_forecast
inner,CL_BRES,5,MJ1,354,0.241811989466097,0.327244945645204,fitting_only_not_issued_forecast
inner,CL_BRES,6,ATU1,354,2.50134234858919,5.92972887852768,fitting_only_not_issued_forecast
inner,CL_BRES,6,ATU5,354,2.04796903139364,4.37620572837937,fitting_only_not_issued_forecast
inner,CL_BRES,6,MJ3,354,0.369040384638156,0.516077586830185,fitting_only_not_issued_forecast
inner,CL_BRES,6,MJ1,354,0.283505466614741,0.380711201304305,fitting_only_not_issued_forecast
inner,CL_BRES,7,ATU1,354,2.99972602246922,6.93671269439326,fitting_only_not_issued_forecast
inner,CL_BRES,7,ATU5,354,2.47270436212155,5.20752840058826,fitting_only_not_issued_forecast
inner,CL_BRES,7,MJ3,354,0.43112229613544,0.596102805666685,fitting_only_not_issued_forecast
inner,CL_BRES,7,MJ1,354,0.325471521214754,0.438139759091241,fitting_only_not_issued_forecast
inner,RR_DIRECT,1,ATU1,354,0.0024608026963156,0.0046957560487674,fitting_only_not_issued_forecast
inner,RR_DIRECT,1,ATU5,354,0.0020794356881313,0.0036084570845211,fitting_only_not_issued_forecast
inner,RR_DIRECT,1,MJ3,354,0.0004160532792014,0.0005694054396536,fitting_only_not_issued_forecast
inner,RR_DIRECT,1,MJ1,354,0.0002194438607556,0.0002922101526285,fitting_only_not_issued_forecast
inner,RR_DIRECT,2,ATU1,354,0.009962703818574,0.0185807158336231,fitting_only_not_issued_forecast
inner,RR_DIRECT,2,ATU5,354,0.0082738654262018,0.0143122193527484,fitting_only_not_issued_forecast
inner,RR_DIRECT,2,MJ3,354,0.0014032670148646,0.0020404224561064,fitting_only_not_issued_forecast
inner,RR_DIRECT,2,MJ1,354,0.0008047402923939,0.0011251487506754,fitting_only_not_issued_forecast
inner,RR_DIRECT,3,ATU1,354,0.0248124065031669,0.0452195326671439,fitting_only_not_issued_forecast
inner,RR_DIRECT,3,ATU5,354,0.0205693627830996,0.0348176591302288,fitting_only_not_issued_forecast
inner,RR_DIRECT,3,MJ3,354,0.0033709683608909,0.0049066393561948,fitting_only_not_issued_forecast
inner,RR_DIRECT,3,MJ1,354,0.0019658393670491,0.0027897978963698,fitting_only_not_issued_forecast
inner,RR_DIRECT,4,ATU1,354,0.0492776606098556,0.0876827758659016,fitting_only_not_issued_forecast
inner,RR_DIRECT,4,ATU5,354,0.0408758558785267,0.0674422594531498,fitting_only_not_issued_forecast
inner,RR_DIRECT,4,MJ3,354,0.0067114981958845,0.0095821196301991,fitting_only_not_issued_forecast
inner,RR_DIRECT,4,MJ1,354,0.0038991579575365,0.0055597129434522,fitting_only_not_issued_forecast
inner,RR_DIRECT,5,ATU1,354,0.0855290927777207,0.148635600453159,fitting_only_not_issued_forecast
inner,RR_DIRECT,5,ATU5,354,0.0707948496114409,0.114382319818986,fitting_only_not_issued_forecast
inner,RR_DIRECT,5,MJ3,354,0.0117022158501002,0.0164605567974682,fitting_only_not_issued_forecast
inner,RR_DIRECT,5,MJ1,354,0.0068579527858472,0.0097126991436448,fitting_only_not_issued_forecast
inner,RR_DIRECT,6,ATU1,354,0.135149014872245,0.230423067657993,fitting_only_not_issued_forecast
inner,RR_DIRECT,6,ATU5,354,0.112091321800843,0.177922137713986,fitting_only_not_issued_forecast
inner,RR_DIRECT,6,MJ3,354,0.0186690848136696,0.0259251156986851,fitting_only_not_issued_forecast
inner,RR_DIRECT,6,MJ1,354,0.0110314137174395,0.0155245046781274,fitting_only_not_issued_forecast
inner,RR_DIRECT,7,ATU1,354,0.199936084312591,0.335121463184076,fitting_only_not_issued_forecast
inner,RR_DIRECT,7,ATU5,354,0.166249699839318,0.260168862013017,fitting_only_not_issued_forecast
inner,RR_DIRECT,7,MJ3,354,0.0278961614775175,0.0383498759249996,fitting_only_not_issued_forecast
inner,RR_DIRECT,7,MJ1,354,0.0166596484120199,0.0232655257144999,fitting_only_not_issued_forecast
inner,RR_BRES,1,ATU1,354,0.0052539543662233,0.0134227667742863,fitting_only_not_issued_forecast
inner,RR_BRES,1,ATU5,354,0.0035713651326569,0.006332490412817,fitting_only_not_issued_forecast
inner,RR_BRES,1,MJ3,354,0.0005354718820078,0.000792356719467,fitting_only_not_issued_forecast
inner,RR_BRES,1,MJ1,354,0.0003529644550091,0.0005385859007311,fitting_only_not_issued_forecast
inner,RR_BRES,2,ATU1,354,0.0138458996114101,0.0276027865200586,fitting_only_not_issued_forecast
inner,RR_BRES,2,ATU5,354,0.0102031343133144,0.0165833226721272,fitting_only_not_issued_forecast
inner,RR_BRES,2,MJ3,354,0.001557933630342,0.0022669006438853,fitting_only_not_issued_forecast
inner,RR_BRES,2,MJ1,354,0.0009410777073821,0.0013437088546311,fitting_only_not_issued_forecast
inner,RR_BRES,3,ATU1,354,0.0288756984864978,0.0521516382604118,fitting_only_not_issued_forecast
inner,RR_BRES,3,ATU5,354,0.0228376830301122,0.0365398216046211,fitting_only_not_issued_forecast
inner,RR_BRES,3,MJ3,354,0.0035130146385979,0.0051119238922215,fitting_only_not_issued_forecast
inner,RR_BRES,3,MJ1,354,0.0020902930512023,0.0029644831128066,fitting_only_not_issued_forecast
inner,RR_BRES,4,ATU1,354,0.0527062719130183,0.0926712842074431,fitting_only_not_issued_forecast
inner,RR_BRES,4,ATU5,354,0.0434113306123513,0.0688486715644812,fitting_only_not_issued_forecast
inner,RR_BRES,4,MJ3,354,0.0067435617837096,0.0097651850993249,fitting_only_not_issued_forecast
inner,RR_BRES,4,MJ1,354,0.0040260560840274,0.0057006110214458,fitting_only_not_issued_forecast
inner,RR_BRES,5,ATU1,354,0.0881688581088394,0.152205749009203,fitting_only_not_issued_forecast
inner,RR_BRES,5,ATU5,354,0.0732830101474033,0.11563935791498,fitting_only_not_issued_forecast
inner,RR_BRES,5,MJ3,354,0.0115903095718038,0.0166223000403618,fitting_only_not_issued_forecast
inner,RR_BRES,5,MJ1,354,0.0069892508741129,0.0098267837035478,fitting_only_not_issued_forecast
inner,RR_BRES,6,ATU1,354,0.136813250546556,0.232996703602809,fitting_only_not_issued_forecast
inner,RR_BRES,6,ATU5,354,0.114680020637464,0.179134148240235,fitting_only_not_issued_forecast
inner,RR_BRES,6,MJ3,354,0.0184792807189076,0.0260664376695884,fitting_only_not_issued_forecast
inner,RR_BRES,6,MJ1,354,0.011170997556037,0.0156162895266251,fitting_only_not_issued_forecast
inner,RR_BRES,7,ATU1,354,0.200399416598443,0.336993947447117,fitting_only_not_issued_forecast
inner,RR_BRES,7,ATU5,354,0.168852510080142,0.261389940653291,fitting_only_not_issued_forecast
inner,RR_BRES,7,MJ3,354,0.0276528146655097,0.0384718077125685,fitting_only_not_issued_forecast
inner,RR_BRES,7,MJ1,354,0.0168275596694059,0.0233382637721926,fitting_only_not_issued_forecast
inner,PINN_NOEQ,1,ATU1,354,0.462318462065468,0.696972477660282,fitting_only_not_issued_forecast
inner,PINN_NOEQ,1,ATU5,354,0.324496925303465,0.48219792105996,fitting_only_not_issued_forecast
inner,PINN_NOEQ,1,MJ3,354,0.21734597456839,0.240917677687573,fitting_only_not_issued_forecast
inner,PINN_NOEQ,1,MJ1,354,0.135883107401427,0.168588761483236,fitting_only_not_issued_forecast
inner,PINN_NOEQ,2,ATU1,354,0.491330045620709,1.40516224724446,fitting_only_not_issued_forecast
inner,PINN_NOEQ,2,ATU5,354,0.633312422599339,1.3739773145735,fitting_only_not_issued_forecast
inner,PINN_NOEQ,2,MJ3,354,0.206881516153089,0.291488861663542,fitting_only_not_issued_forecast
inner,PINN_NOEQ,2,MJ1,354,0.16392789155188,0.205689086695693,fitting_only_not_issued_forecast
inner,PINN_NOEQ,3,ATU1,354,1.13354446873862,2.87407365987132,fitting_only_not_issued_forecast
inner,PINN_NOEQ,3,ATU5,354,1.41479731143172,2.76001736886217,fitting_only_not_issued_forecast
inner,PINN_NOEQ,3,MJ3,354,0.483985526161059,0.654405762101022,fitting_only_not_issued_forecast
inner,PINN_NOEQ,3,MJ1,354,0.345722030158893,0.413324228564405,fitting_only_not_issued_forecast
inner,PINN_NOEQ,4,ATU1,354,1.90087196873026,4.42720880080389,fitting_only_not_issued_forecast
inner,PINN_NOEQ,4,ATU5,354,2.27402156962314,4.21574130241754,fitting_only_not_issued_forecast
inner,PINN_NOEQ,4,MJ3,354,0.803719755315098,1.06018015007515,fitting_only_not_issued_forecast
inner,PINN_NOEQ,4,MJ1,354,0.548519484523778,0.650643852429514,fitting_only_not_issued_forecast
inner,PINN_NOEQ,5,ATU1,354,2.72030410127357,6.0374695641352,fitting_only_not_issued_forecast
inner,PINN_NOEQ,5,ATU5,354,3.16712875051842,5.70941277433373,fitting_only_not_issued_forecast
inner,PINN_NOEQ,5,MJ3,354,1.15110773554218,1.49826097074362,fitting_only_not_issued_forecast
inner,PINN_NOEQ,5,MJ1,354,0.768259349419517,0.908167839129363,fitting_only_not_issued_forecast
inner,PINN_NOEQ,6,ATU1,354,3.57809595591751,7.70341911698077,fitting_only_not_issued_forecast
inner,PINN_NOEQ,6,ATU5,354,4.08179105647584,7.22601445463547,fitting_only_not_issued_forecast
inner,PINN_NOEQ,6,MJ3,354,1.52782365714334,1.96755241702367,fitting_only_not_issued_forecast
inner,PINN_NOEQ,6,MJ1,354,1.01211260168067,1.18664556796609,fitting_only_not_issued_forecast
inner,PINN_NOEQ,7,ATU1,354,4.49278073526164,9.42420825040998,fitting_only_not_issued_forecast
inner,PINN_NOEQ,7,ATU5,354,5.01100396283111,8.75576920711432,fitting_only_not_issued_forecast
inner,PINN_NOEQ,7,MJ3,354,1.93630551713209,2.4657036876568,fitting_only_not_issued_forecast
inner,PINN_NOEQ,7,MJ1,354,1.27774292497736,1.48571346788407,fitting_only_not_issued_forecast
inner,CL_DIRECT,1,ATU1,354,0.277143767145661,0.709781082810481,fitting_only_not_issued_forecast
inner,CL_DIRECT,1,ATU5,354,0.216586892560929,0.537934992644673,fitting_only_not_issued_forecast
inner,CL_DIRECT,1,MJ3,354,0.0312245594914164,0.0397025920765299,fitting_only_not_issued_forecast
inner,CL_DIRECT,1,MJ1,354,0.0230816967812172,0.029480480292801,fitting_only_not_issued_forecast
inner,CL_DIRECT,2,ATU1,354,0.519007103834681,1.4060207120208,fitting_only_not_issued_forecast
inner,CL_DIRECT,2,ATU5,354,0.400034688971183,1.06196580926546,fitting_only_not_issued_forecast
inner,CL_DIRECT,2,MJ3,354,0.0589326298671176,0.0758455704823493,fitting_only_not_issued_forecast
inner,CL_DIRECT,2,MJ1,354,0.0463418334473797,0.058791160790086,fitting_only_not_issued_forecast
inner,CL_DIRECT,3,ATU1,354,0.742968555322238,2.09704159447616,fitting_only_not_issued_forecast
inner,CL_DIRECT,3,ATU5,354,0.570215701010525,1.58020899727449,fitting_only_not_issued_forecast
inner,CL_DIRECT,3,MJ3,354,0.085495633456375,0.11167982359773,fitting_only_not_issued_forecast
inner,CL_DIRECT,3,MJ1,354,0.0715033625082338,0.0900989330343029,fitting_only_not_issued_forecast
inner,CL_DIRECT,4,ATU1,354,0.98424290962632,2.78961782899864,fitting_only_not_issued_forecast
inner,CL_DIRECT,4,ATU5,354,0.755721104429759,2.09860142474632,fitting_only_not_issued_forecast
inner,CL_DIRECT,4,MJ3,354,0.114966950816662,0.149771403898245,fitting_only_not_issued_forecast
inner,CL_DIRECT,4,MJ1,354,0.0975708909759768,0.122875848505081,fitting_only_not_issued_forecast
inner,CL_DIRECT,5,ATU1,354,1.26362090161903,3.49034872522794,fitting_only_not_issued_forecast
inner,CL_DIRECT,5,ATU5,354,0.967503975042538,2.62276218909269,fitting_only_not_issued_forecast
inner,CL_DIRECT,5,MJ3,354,0.147738254062634,0.190447575150329,fitting_only_not_issued_forecast
inner,CL_DIRECT,5,MJ1,354,0.124726514650228,0.155720257450908,fitting_only_not_issued_forecast
inner,CL_DIRECT,6,ATU1,354,1.60672996185129,4.2076226103557,fitting_only_not_issued_forecast
inner,CL_DIRECT,6,ATU5,354,1.2233323935682,3.15890122492369,fitting_only_not_issued_forecast
inner,CL_DIRECT,6,MJ3,354,0.183757532346413,0.233377217050899,fitting_only_not_issued_forecast
inner,CL_DIRECT,6,MJ1,354,0.150961023793116,0.18850231552927,fitting_only_not_issued_forecast
inner,CL_DIRECT,7,ATU1,354,2.01630965593384,4.95156157163053,fitting_only_not_issued_forecast
inner,CL_DIRECT,7,ATU5,354,1.52516952442607,3.7164160285422,fitting_only_not_issued_forecast
inner,CL_DIRECT,7,MJ3,354,0.223039381863943,0.283221363341555,fitting_only_not_issued_forecast
inner,CL_DIRECT,7,MJ1,354,0.176480840582925,0.22507188526568,fitting_only_not_issued_forecast
development,PINN_EQ,1,ATU1,534,0.28896126012792,0.654169308583188,fitting_only_not_issued_forecast
development,PINN_EQ,1,ATU5,534,0.500916762613402,0.883898068567655,fitting_only_not_issued_forecast
development,PINN_EQ,1,MJ3,534,0.27122075096829,0.315538229248993,fitting_only_not_issued_forecast
development,PINN_EQ,1,MJ1,534,0.134916845180755,0.166149751522558,fitting_only_not_issued_forecast
development,PINN_EQ,2,ATU1,534,0.907928020881367,1.98537782446055,fitting_only_not_issued_forecast
development,PINN_EQ,2,ATU5,534,1.17394161106293,2.09056109408638,fitting_only_not_issued_forecast
development,PINN_EQ,2,MJ3,534,0.656957254536594,0.791031758521099,fitting_only_not_issued_forecast
development,PINN_EQ,2,MJ1,534,0.36558003098231,0.425727195748,fitting_only_not_issued_forecast
development,PINN_EQ,3,ATU1,534,1.53243477746612,3.30722745163178,fitting_only_not_issued_forecast
development,PINN_EQ,3,ATU5,534,1.85807745091596,3.3241528633647,fitting_only_not_issued_forecast
development,PINN_EQ,3,MJ3,534,1.05322220793865,1.27684890242099,fitting_only_not_issued_forecast
development,PINN_EQ,3,MJ1,534,0.603717444360803,0.696596530679452,fitting_only_not_issued_forecast
development,PINN_EQ,4,ATU1,534,2.16363653116669,4.6323710313645,fitting_only_not_issued_forecast
development,PINN_EQ,4,ATU5,534,2.55002895473591,4.57703815644415,fitting_only_not_issued_forecast
development,PINN_EQ,4,MJ3,534,1.45936800598091,1.7687061814847,fitting_only_not_issued_forecast
development,PINN_EQ,4,MJ1,534,0.845195784808393,0.972365970444992,fitting_only_not_issued_forecast
development,PINN_EQ,5,ATU1,534,2.80770816678812,5.98208657580411,fitting_only_not_issued_forecast
development,PINN_EQ,5,ATU5,534,3.24738619853698,5.84194612087142,fitting_only_not_issued_forecast
development,PINN_EQ,5,MJ3,534,1.87811732632449,2.27106583652683,fitting_only_not_issued_forecast
development,PINN_EQ,5,MJ1,534,1.09272623071091,1.25394974420911,fitting_only_not_issued_forecast
development,PINN_EQ,6,ATU1,534,3.46748995729338,7.36785591146866,fitting_only_not_issued_forecast
development,PINN_EQ,6,ATU5,534,3.94670912658534,7.11348740735015,fitting_only_not_issued_forecast
development,PINN_EQ,6,MJ3,534,2.31111380387095,2.78641142862657,fitting_only_not_issued_forecast
development,PINN_EQ,6,MJ1,534,1.34635978737466,1.54159794363944,fitting_only_not_issued_forecast
development,PINN_EQ,7,ATU1,534,4.14239865373637,8.79271828171243,fitting_only_not_issued_forecast
development,PINN_EQ,7,ATU5,534,4.64602613981681,8.38809187521703,fitting_only_not_issued_forecast
development,PINN_EQ,7,MJ3,534,2.757983534936,3.31467124055175,fitting_only_not_issued_forecast
development,PINN_EQ,7,MJ1,534,1.60549231308612,1.83493751984631,fitting_only_not_issued_forecast
development,CL_BRES,1,ATU1,534,0.314611319596929,0.944982694747414,fitting_only_not_issued_forecast
development,CL_BRES,1,ATU5,534,0.238905554261736,0.604046978111311,fitting_only_not_issued_forecast
development,CL_BRES,1,MJ3,534,0.0815446482359739,0.112961531964287,fitting_only_not_issued_forecast
development,CL_BRES,1,MJ1,534,0.0681469207961112,0.0948494967075452,fitting_only_not_issued_forecast
development,CL_BRES,2,ATU1,534,0.624575669580941,1.84744503501872,fitting_only_not_issued_forecast
development,CL_BRES,2,ATU5,534,0.495903786240475,1.23088108627673,fitting_only_not_issued_forecast
development,CL_BRES,2,MJ3,534,0.159427677726151,0.217955939755212,fitting_only_not_issued_forecast
development,CL_BRES,2,MJ1,534,0.126061607713845,0.172327059371646,fitting_only_not_issued_forecast
development,CL_BRES,3,ATU1,534,0.936275225757489,2.7020291304676,fitting_only_not_issued_forecast
development,CL_BRES,3,ATU5,534,0.773615538671362,1.88274084132296,fitting_only_not_issued_forecast
development,CL_BRES,3,MJ3,534,0.234225594570341,0.31912689641327,fitting_only_not_issued_forecast
development,CL_BRES,3,MJ1,534,0.184585924001891,0.249866503978233,fitting_only_not_issued_forecast
development,CL_BRES,4,ATU1,534,1.26069487166396,3.54148942410553,fitting_only_not_issued_forecast
development,CL_BRES,4,ATU5,534,1.07086020605899,2.56040457613056,fitting_only_not_issued_forecast
development,CL_BRES,4,MJ3,534,0.309086687090191,0.417417567936342,fitting_only_not_issued_forecast
development,CL_BRES,4,MJ1,534,0.242976947423747,0.326972332298085,fitting_only_not_issued_forecast
development,CL_BRES,5,ATU1,534,1.60731515579247,4.39568766939642,fitting_only_not_issued_forecast
development,CL_BRES,5,ATU5,534,1.38103419237558,3.26308466547929,fitting_only_not_issued_forecast
development,CL_BRES,5,MJ3,534,0.383975688282749,0.515806179854667,fitting_only_not_issued_forecast
development,CL_BRES,5,MJ1,534,0.300362642852146,0.40261123994191,fitting_only_not_issued_forecast
development,CL_BRES,6,ATU1,534,1.97790809862043,5.28030317953685,fitting_only_not_issued_forecast
development,CL_BRES,6,ATU5,534,1.70192285775602,3.98963727296703,fitting_only_not_issued_forecast
development,CL_BRES,6,MJ3,534,0.460585724163405,0.617903626207674,fitting_only_not_issued_forecast
development,CL_BRES,6,MJ1,534,0.357143379933232,0.47677963544171,fitting_only_not_issued_forecast
development,CL_BRES,7,ATU1,534,2.37631320997034,6.20565011474932,fitting_only_not_issued_forecast
development,CL_BRES,7,ATU5,534,2.03097372772552,4.73750563854798,fitting_only_not_issued_forecast
development,CL_BRES,7,MJ3,534,0.542586961585832,0.728423982058087,fitting_only_not_issued_forecast
development,CL_BRES,7,MJ1,534,0.416064754747079,0.550986439491636,fitting_only_not_issued_forecast
development,RR_DIRECT,1,ATU1,534,0.0018560905895154,0.0038608855631499,fitting_only_not_issued_forecast
development,RR_DIRECT,1,ATU5,534,0.0015678347331769,0.0030017308686073,fitting_only_not_issued_forecast
development,RR_DIRECT,1,MJ3,534,0.000273742228128,0.0004103728800142,fitting_only_not_issued_forecast
development,RR_DIRECT,1,MJ1,534,0.0002067372187237,0.0002953781525588,fitting_only_not_issued_forecast
development,RR_DIRECT,2,ATU1,534,0.0075978790551756,0.0154368128731737,fitting_only_not_issued_forecast
development,RR_DIRECT,2,ATU5,534,0.0063845275809314,0.012071430192723,fitting_only_not_issued_forecast
development,RR_DIRECT,2,MJ3,534,0.0010864512494958,0.0016534406295541,fitting_only_not_issued_forecast
development,RR_DIRECT,2,MJ1,534,0.0008508102795423,0.0012033719949314,fitting_only_not_issued_forecast
development,RR_DIRECT,3,ATU1,534,0.0190908463787609,0.0378204561634487,fitting_only_not_issued_forecast
development,RR_DIRECT,3,ATU5,534,0.0161407845658997,0.0296799429036926,fitting_only_not_issued_forecast
development,RR_DIRECT,3,MJ3,534,0.0027370230688489,0.0041124508129131,fitting_only_not_issued_forecast
development,RR_DIRECT,3,MJ1,534,0.0021611686480929,0.0030109731381897,fitting_only_not_issued_forecast
development,RR_DIRECT,4,ATU1,534,0.0383162893338908,0.0737677779197696,fitting_only_not_issued_forecast
development,RR_DIRECT,4,ATU5,534,0.0325400861831536,0.0580899034461208,fitting_only_not_issued_forecast
development,RR_DIRECT,4,MJ3,534,0.0054954624873663,0.0081525561941948,fitting_only_not_issued_forecast
development,RR_DIRECT,4,MJ1,534,0.0043484247355589,0.0059990267899704,fitting_only_not_issued_forecast
development,RR_DIRECT,5,ATU1,534,0.0670008031061696,0.125749064010028,fitting_only_not_issued_forecast
development,RR_DIRECT,5,ATU5,534,0.0569729992763105,0.0994780544321699,fitting_only_not_issued_forecast
development,RR_DIRECT,5,MJ3,534,0.0096321857086847,0.0141367068510776,fitting_only_not_issued_forecast
development,RR_DIRECT,5,MJ1,534,0.0076502016135812,0.0104499549301014,fitting_only_not_issued_forecast
development,RR_DIRECT,6,ATU1,534,0.107064637675132,0.195992445790502,fitting_only_not_issued_forecast
development,RR_DIRECT,6,ATU5,534,0.0907879190699802,0.155955295046794,fitting_only_not_issued_forecast
development,RR_DIRECT,6,MJ3,534,0.0154511331553,0.0224262246210678,fitting_only_not_issued_forecast
development,RR_DIRECT,6,MJ1,534,0.0122893087713998,0.0166460990663126,fitting_only_not_issued_forecast
development,RR_DIRECT,7,ATU1,534,0.159710953202392,0.28655260339086,fitting_only_not_issued_forecast
development,RR_DIRECT,7,ATU5,534,0.134907346597961,0.229374506632558,fitting_only_not_issued_forecast
development,RR_DIRECT,7,MJ3,534,0.0232000477310334,0.0333802048119927,fitting_only_not_issued_forecast
development,RR_DIRECT,7,MJ1,534,0.0185017347839988,0.0248672877998633,fitting_only_not_issued_forecast
development,RR_BRES,1,ATU1,534,0.0046254869558988,0.0109116515164519,fitting_only_not_issued_forecast
development,RR_BRES,1,ATU5,534,0.002915749415235,0.0049512081930948,fitting_only_not_issued_forecast
development,RR_BRES,1,MJ3,534,0.0004987129357191,0.0007222234948447,fitting_only_not_issued_forecast
development,RR_BRES,1,MJ1,534,0.000360490853259,0.0004731690592879,fitting_only_not_issued_forecast
development,RR_BRES,2,ATU1,534,0.011211669343894,0.0226599250668301,fitting_only_not_issued_forecast
development,RR_BRES,2,ATU5,534,0.0082451496279045,0.0136036935188028,fitting_only_not_issued_forecast
development,RR_BRES,2,MJ3,534,0.0013338047862424,0.0019532576943977,fitting_only_not_issued_forecast
development,RR_BRES,2,MJ1,534,0.0009818824157208,0.0013470747075268,fitting_only_not_issued_forecast
development,RR_BRES,3,ATU1,534,0.0226822996946407,0.0433494717688673,fitting_only_not_issued_forecast
development,RR_BRES,3,ATU5,534,0.0184220712982671,0.0308053162435385,fitting_only_not_issued_forecast
development,RR_BRES,3,MJ3,534,0.0028982241203444,0.0043682878666088,fitting_only_not_issued_forecast
development,RR_BRES,3,MJ1,534,0.0022420242726195,0.003124176050193,fitting_only_not_issued_forecast
development,RR_BRES,4,ATU1,534,0.041164366793597,0.0777506436177645,fitting_only_not_issued_forecast
development,RR_BRES,4,ATU5,534,0.0351272822983274,0.0589951795271178,fitting_only_not_issued_forecast
development,RR_BRES,4,MJ3,534,0.0055126829034653,0.008367603495625,fitting_only_not_issued_forecast
development,RR_BRES,4,MJ1,534,0.0043934189892582,0.0060913414253673,fitting_only_not_issued_forecast
development,RR_BRES,5,ATU1,534,0.0693540737143823,0.128618477605739,fitting_only_not_issued_forecast
development,RR_BRES,5,ATU5,534,0.0599805985522881,0.100285347512913,fitting_only_not_issued_forecast
development,RR_BRES,5,MJ3,534,0.0094916098295002,0.0143157930493631,fitting_only_not_issued_forecast
