phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,C8_ONLINE_DATA,3,374,0.000997591634248,0.00143360371458,0.00301624845226,1,0.0322829425362,0.0322829425362,1,0.0414347081671,0.0414347081671,1,0.0493725000126,0.0493725000126,0.0014731836425,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_DATA,4,373,0.0019722430295,0.00280601225065,0.00378879522579,1,0.0388708137084,0.0388708137084,1,0.0498901492768,0.0498901492768,1,0.0594477795249,0.0594477795249,0.00288120715603,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_DATA,5,372,0.00343043544617,0.00484158489453,0.00504139452683,0.987903225806,0.0486133174924,0.0490822015291,0.994623655914,0.0623945175094,0.0626792456067,0.997983870968,0.0743476532789,0.0744098000533,0.00496738545934,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_DATA,6,371,0.00547503954017,0.00766657579883,0.00686035958131,0.967654986523,0.0621698996776,0.0639486936198,0.985175202156,0.0797942023725,0.0814438104928,0.993261455526,0.095080656578,0.0966821117249,0.00785994275361,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_DATA,7,370,0.0082095916683,0.0113980517804,0.00922887266575,0.954054054054,0.079336743418,0.0829931126973,0.977702702703,0.101827607776,0.105348882367,0.988513513514,0.121335078455,0.125006342877,0.0116781767599,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,1,376,0.000218796317842,0.000494514221943,0.00237844157425,0.999335106383,0.0259322706506,0.0259540853652,1,0.0332837090458,0.0332837090458,1,0.0396599855044,0.0396599855044,0.000619467583074,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,2,375,0.000853631501687,0.0019535375091,0.00269386409121,0.996,0.0278531128918,0.0284374776548,0.996666666667,0.0357490833719,0.0366511172398,0.998,0.0425976602058,0.0440590989918,0.00250281557946,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,3,374,0.00213349066973,0.00478538587743,0.00359764692117,0.989304812834,0.0334418949365,0.0357346952193,0.991978609626,0.042922207469,0.0464410154366,0.995989304813,0.0511449647541,0.0568470519914,0.00617500725363,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,4,373,0.00429210467896,0.00954677003997,0.00541025474551,0.980563002681,0.0442048262922,0.050490614842,0.985924932976,0.0567362803109,0.0667839160229,0.989946380697,0.0676054478064,0.0842648301112,0.0124079721582,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,5,372,0.00756292661068,0.0168219274607,0.00834274124808,0.966397849462,0.060741598112,0.0747568499267,0.974462365591,0.0779609971597,0.100650966811,0.983198924731,0.092896257836,0.130971049499,0.0220344655246,historical_native_scale_not_main_ranking
