station,v_bar_mm_per_month,sigma_mm_per_month,accel_cutoff_mm_per_month,v0_mm_per_month,v0_yellow_threshold,v0_orange_threshold,v0_red_threshold,month_window_days,accel_percentile,vigilance_multiplier,alarm_multiplier,v0_estimation_method,high_level_threshold_source,n_monthly_samples,n_steady_months
MJ9,1.861896708984375,2.288978905667721,5.913814999999986,7.3708028748120045,7.3708028748120045,36.85401437406002,73.70802874812004,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
MJ1,6.257483793161866,5.557764918492297,18.01694260796878,20.501755526727393,20.501755526727393,102.50877763363697,205.01755526727393,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
MJ3,4.7855510217134585,5.80940301768035,30.646280971596344,18.797132567930888,18.797132567930888,93.98566283965444,187.97132567930888,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
ATU1,4.743842752854701,5.804026763146502,24.55359417002883,18.723817655575054,18.723817655575054,93.61908827787528,187.23817655575056,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
ATU2,3.5128019335937504,4.40105572489169,24.356469000000004,14.071314350174006,14.071314350174006,70.35657175087003,140.71314350174006,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
ATU3,7.616007998046875,8.193860443621197,39.68417800000004,27.811732884312708,27.811732884312708,139.05866442156355,278.1173288431271,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
ATU4,3.092280126953125,4.100895834816359,22.615276000000023,12.840211860062405,12.840211860062405,64.20105930031202,128.40211860062405,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
ATU5,8.887838067343376,9.47340052377285,39.341489117532994,32.27855814856076,32.27855814856076,161.3927907428038,322.7855814856076,30,0.9,5.0,10.0,supervisor_specified_steady_mean_std,chen_et_al_2024_eq10_default_vd,1138,1024
