lead,physical_first,physical_last,observed_first,observed_last,delta_left_endpoint,matched_slot_offset
0,-29,0,-30,-1,-31,1
1,-28,1,-30,-1,-31,2
2,-27,2,-30,-1,-31,3
3,-26,3,-30,-1,-31,4
4,-25,4,-30,-1,-31,5
5,-24,5,-30,-1,-31,6
6,-23,6,-30,-1,-31,7
7,-22,7,-30,-1,-31,8
8,-21,8,-30,-1,-31,9
9,-20,9,-30,-1,-31,10
10,-19,10,-30,-1,-31,11
11,-18,11,-30,-1,-31,12
12,-17,12,-30,-1,-31,13
13,-16,13,-30,-1,-31,14
14,-15,14,-30,-1,-31,15
15,-14,15,-30,-1,-31,16
16,-13,16,-30,-1,-31,17
17,-12,17,-30,-1,-31,18
18,-11,18,-30,-1,-31,19
19,-10,19,-30,-1,-31,20
20,-9,20,-30,-1,-31,21
21,-8,21,-30,-1,-31,22
22,-7,22,-30,-1,-31,23
23,-6,23,-30,-1,-31,24
24,-5,24,-30,-1,-31,25
25,-4,25,-30,-1,-31,26
26,-3,26,-30,-1,-31,27
27,-2,27,-30,-1,-31,28
28,-1,28,-30,-1,-31,29
29,0,29,-30,-1,-31,30
30,1,30,-30,-1,-31,31
31,2,31,-30,-1,-31,32
32,3,32,-30,-1,-31,33
33,4,33,-30,-1,-31,34
34,5,34,-30,-1,-31,35
35,6,35,-30,-1,-31,36
36,7,36,-30,-1,-31,37
37,8,37,-30,-1,-31,38
38,9,38,-30,-1,-31,39
39,10,39,-30,-1,-31,40
40,11,40,-30,-1,-31,41
41,12,41,-30,-1,-31,42
42,13,42,-30,-1,-31,43
43,14,43,-30,-1,-31,44
44,15,44,-30,-1,-31,45
45,16,45,-30,-1,-31,46
46,17,46,-30,-1,-31,47
47,18,47,-30,-1,-31,48
48,19,48,-30,-1,-31,49
49,20,49,-30,-1,-31,50
50,21,50,-30,-1,-31,51
51,22,51,-30,-1,-31,52
52,23,52,-30,-1,-31,53
53,24,53,-30,-1,-31,54
54,25,54,-30,-1,-31,55
55,26,55,-30,-1,-31,56
56,27,56,-30,-1,-31,57
57,28,57,-30,-1,-31,58
58,29,58,-30,-1,-31,59
59,30,59,-30,-1,-31,60
60,31,60,-30,-1,-31,61
61,32,61,-30,-1,-31,62
62,33,62,-30,-1,-31,63
63,34,63,-30,-1,-31,64
64,35,64,-30,-1,-31,65
65,36,65,-30,-1,-31,66
66,37,66,-30,-1,-31,67
67,38,67,-30,-1,-31,68
68,39,68,-30,-1,-31,69
69,40,69,-30,-1,-31,70
