protocol_id,protocol_version,protocol_status,protocol_content_sha256,artifact_status,formal_warning_output,prediction_input_sha256,date,station,split,actual,p10,p50,p90,interval_input_status,interval_status,interval_level,interval_color,interval_reason,interval_mapping_basis,interval_mu,interval_sigma,interval_z
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-07,ATU4,fit,14.90898,14.414410059088084,14.866809784985469,15.17688472741317,not_applicable,not_applicable,,,source_not_applicable,,14.866809784985469,0.2974814358882162,0.14175746761682737
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-07,ATU5,fit,50.96789653631748,50.04876613087937,50.680177848600046,51.22064933589256,not_applicable,not_applicable,,,source_not_applicable,,50.680177848600046,0.4572132203242901,0.6292877697485757
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-07,MJ1,fit,681.6803809298119,681.5516420620052,681.7298923049354,681.913888111698,not_applicable,not_applicable,,,source_not_applicable,,681.7298923049354,0.14133121988720113,-0.3503215719997698
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-07,MJ3,fit,952.4456289400704,952.2679432091664,952.4655240851478,952.6451549718736,not_applicable,not_applicable,,,source_not_applicable,,952.4655240851478,0.14717013097699422,-0.13518466651697686
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-07,MJ9,fit,262.55098,262.51059150539584,262.61215065527875,262.68155482815604,not_applicable,not_applicable,,,source_not_applicable,,262.61215065527875,0.06670177627100043,-0.9170768560981656
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,ATU1,fit,27.20215793856415,26.55602939337279,27.253869528626893,27.83680450968379,not_applicable,not_applicable,,,source_not_applicable,,27.253869528626893,0.49969767715305763,-0.10348575234001983
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,ATU2,fit,17.42382,17.0581480837341,17.574969187205117,17.965290738168264,not_applicable,not_applicable,,,source_not_applicable,,17.574969187205117,0.3539240195209567,-0.42706676819985506
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,ATU3,fit,41.28548,40.32496306615639,41.0995155302498,41.66307093778891,not_applicable,not_applicable,,,source_not_applicable,,41.0995155302498,0.522066197820029,0.35620860060797027
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,ATU4,fit,15.06887,14.568160262064534,15.029305009534172,15.337892545433132,not_applicable,not_applicable,,,source_not_applicable,,15.029305009534172,0.30031301290179757,0.13174584105939693
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,ATU5,fit,51.84770731861077,50.96266406544645,51.59849675278713,52.136958404805085,not_applicable,not_applicable,,,source_not_applicable,,51.59849675278713,0.45815393053670894,0.5439450569194184
