protocol_id,protocol_version,protocol_status,protocol_content_sha256,diagnostic_status,prediction_window_sha256,kinematics_input_sha256,stable_segment_candidates_sha256,source_split,kinematics_temporal_scope,station,candidate_status,stable_segment_candidate_protocol_content_sha256,candidate_selection_status,candidate_failure_reason,candidate_v0_mm_per_day,candidate_v0_available,n_rows,n_valid_velocity,n_warmup,n_nonvalid_status,n_nonfinite_velocity,velocity_min_mm_per_day,velocity_max_mm_per_day,velocity_mean_mm_per_day,velocity_median_mm_per_day,velocity_std_ddof1_mm_per_day,velocity_p10_mm_per_day,velocity_p90_mm_per_day,velocity_over_v0_min,velocity_over_v0_max,velocity_over_v0_mean,velocity_over_v0_median,velocity_over_v0_std_ddof1,velocity_over_v0_p10,velocity_over_v0_p90,velocity_minus_v0_min_mm_per_day,velocity_minus_v0_max_mm_per_day,velocity_minus_v0_mean_mm_per_day,velocity_minus_v0_median_mm_per_day,velocity_minus_v0_std_ddof1_mm_per_day,velocity_minus_v0_p10_mm_per_day,velocity_minus_v0_p90_mm_per_day,tangent_angle_min_degree,tangent_angle_max_degree,tangent_angle_mean_degree,tangent_angle_median_degree,tangent_angle_std_ddof1_degree,tangent_angle_p10_degree,tangent_angle_p90_degree,tangent_angle_minus_45_min_degree,tangent_angle_minus_45_max_degree,tangent_angle_minus_45_mean_degree,tangent_angle_minus_45_median_degree,tangent_angle_minus_45_std_ddof1_degree,tangent_angle_minus_45_p10_degree,tangent_angle_minus_45_p90_degree,abs_tangent_angle_minus_45_min_degree,abs_tangent_angle_minus_45_max_degree,abs_tangent_angle_minus_45_mean_degree,abs_tangent_angle_minus_45_median_degree,abs_tangent_angle_minus_45_std_ddof1_degree,abs_tangent_angle_minus_45_p10_degree,abs_tangent_angle_minus_45_p90_degree
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,ATU1,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.4574989255603792,True,947,946,1,1,0,-1.0398732719172017,7.461681268828329,0.4848055181513517,0.12602467901595554,1.1988619500605089,0.020936176063173648,0.9956103216951462,-0.7134641773525776,5.119510647981755,0.33262838802090616,0.08646639582770299,0.822547398859708,0.014364453857229505,0.6830950639036348,-2.497372197477581,6.004182343267949,-0.9726934074090277,-1.3314742465444236,1.1988619500605089,-1.4365627494972055,-0.46188860386523295,-35.50649730981779,78.94751262223863,11.92043371934842,4.941867882528905,18.787408906653773,0.8229659811904778,34.33590107003923,-80.50649730981779,33.947512622238634,-33.07956628065158,-40.0581321174711,18.787408906653777,-44.17703401880952,-10.664098929960772,0.04184292641892995,80.50649730981779,35.73043529367322,40.0581321174711,13.052486733407093,17.333123252851465,44.17703401880952
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,ATU2,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.1524618039854255,True,947,946,1,1,0,-0.014879999999998,6.593959999999981,0.3457577801268499,0.06401499999998345,0.8815582461210726,0.009680000000003,0.915074999999991,-0.012911490817778268,5.721629972634973,0.30001669376907386,0.055546309455643365,0.7649348924818866,0.008399410693289595,0.7940176384462312,-1.1673418039854235,5.441498196014556,-0.8067040238585753,-1.088446803985442,0.8815582461210725,-1.1427818039854225,-0.2373868039854346,-0.739732826794205,80.08624283421625,11.273874032844494,3.17930198230782,16.34034376193584,0.48123946617129937,38.44970211146581,-45.7397328267942,35.08624283421625,-33.72612596715551,-41.82069801769218,16.34034376193584,-44.5187605338287,-6.5502978885341925,0.9157254800424894,45.7397328267942,35.49153264231438,41.82069801769218,12.028308625094748,16.561648336923973,44.5187605338287
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,ATU3,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.7586783730722524,True,947,946,1,1,0,0.0244900000000001,9.404449999999995,0.5917628752642706,0.15939500000001766,1.2527036118996515,0.07351000000003435,1.4403449999999935,0.013925229521767689,5.3474530329108845,0.3364815786245863,0.09063339973958341,0.7122982980175571,0.04179843291733838,0.8189928426104659,-1.7341883730722523,7.645771626927743,-1.1669154978079816,-1.5992833730722347,1.2527036118996517,-1.685168373072218,-0.31833337307225895,0.7978053150019068,79.407750076043,13.677921117880235,5.178761726069302,15.998525275995915,2.3934805417297436,39.317230742276934,-44.20219468499809,34.407750076043,-31.322078882119765,-39.821238273930696,15.998525275995915,-42.606519458270256,-5.68276925772307,2.2129328019132046,44.20219468499809,33.03804351970358,39.821238273930696,12.05803671803202,9.312624231517425,42.606519458270256
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,ATU4,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,0.9920529556929176,True,947,946,1,1,0,-0.0295500000000004,5.328780000000023,0.2980281078224102,0.0678149999999977,0.7203614191546274,0.00928499999999125,0.8728899999999982,-0.029786716354633164,5.371467288536063,0.30041552329658344,0.06835824600979196,0.7261320225103083,0.009359379402792033,0.8798824649338524,-1.021602955692918,4.336727044307105,-0.6940248478705076,-0.9242379556929199,0.7203614191546274,-0.9827679556929264,-0.11916295569291946,-1.7061486594081732,79.45404029661104,11.579668538572083,3.9105554167641885,16.517687414597717,0.536236994887711,41.34372008836664,-46.70614865940817,34.45404029661104,-33.420331461427914,-41.08944458323581,16.517687414597713,-44.463763005112284,-3.656279911633362,0.5272705518155618,46.70614865940817,35.140689153778844,41.08944458323581,12.440245337285079,14.789644215824266,44.463763005112284
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,ATU5,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.8082282954347575,True,947,946,1,1,0,0.0009837485365267,6.362784314650412,0.6266588165755672,0.15861035147338495,1.069346147128317,0.04948729490559595,1.520871651211829,0.000544040008117545,3.5187947952780982,0.3465595678143603,0.08771588846045007,0.5913778419617147,0.027367835704449908,0.8410838692501277,-1.8072445468982308,4.554556019215655,-1.1815694788591908,-1.6496179439613725,1.069346147128317,-1.7587410005291615,-0.2873566442229286,0.03117119327605357,74.13547518487863,14.758258791326298,5.012919868765158,17.436520891850375,1.567670161986667,40.066450775609596,-44.96882880672395,29.13547518487863,-30.241741208673705,-39.98708013123484,17.436520891850375,-43.43232983801333,-4.933549224390401,0.07847498576736456,44.96882880672395,32.31592668721507,39.98708013123484,13.196164076580427,8.875980299350783,43.43232983801333
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,MJ1,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,0.2777939699809709,True,947,946,1,1,0,-0.0698394952723902,0.91889390482595,0.28140798116099264,0.17045897766644202,0.26222754466715015,0.03436903895141085,0.6377111782163638,-0.25140752795020804,3.307825237851257,1.013009681888593,0.6136165507052531,0.9439641353090311,0.12372132826988706,2.2956264250806004,-0.3476334652533611,0.6410999348449791,0.0036140111800217044,-0.10733499231452888,0.26222754466715015,-0.24342493102956003,0.3599172082353929,-14.11211985796382,73.17922792639686,35.1417670515475,31.533926805744166,24.497802083091734,7.05286965470264,66.46152371730335,-59.11211985796382,28.179227926396862,-9.858232948452505,-13.466073194255836,24.49780208309173,-37.94713034529736,21.46152371730335,0.07772647112094688,59.11211985796382,23.88598952676282,21.688086460929327,11.23768937780157,8.772178190424864,37.94713034529736
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,MJ3,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,0.4996609202689631,True,947,946,1,1,0,-0.0278270213709674,1.2407594824690025,0.27972657685148905,0.13229819597006548,0.37334144915453427,0.009249068016401851,1.0534693180375143,-0.055691810670300886,2.483202972530076,0.5598328096200013,0.264775952257484,0.7471896120144192,0.018510689231855792,2.10836844608628,-0.5274879416399305,0.7410985622000394,-0.21993434341747395,-0.3673627242988976,0.37334144915453427,-0.49041185225256123,0.5538083977685513,-3.187612883040791,68.06507274892799,21.493353157267016,14.830216830895303,22.28358925096834,1.0604632575789277,64.62497675754446,-48.18761288304079,23.06507274892799,-23.506646842732984,-30.169783169104697,22.28358925096834,-43.93953674242107,19.62497675754446,0.057208347807893745,48.18761288304079,30.061820839940626,30.169783169104697,12.043094931025085,14.572509654785474,43.93953674242107
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,6e6a712eb99f564ac017b1e024b5b6c18ecfa6263cf8a7a1cc2c7c19414bd0ad,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,fit,all_station_history_through_fit_cutoff,MJ9,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,0.1033831666406722,True,947,946,1,1,0,-0.1583999999999719,0.4440099999999916,0.08458371035940801,0.0393300000000067,0.11608400145012955,-0.0190300000000434,0.2272099999999852,-1.5321643275884664,4.294799766999134,0.8181574729026702,0.38042943815704133,1.1228520582427266,-0.1840725199121224,2.1977465711579205,-0.2617831666406441,0.34062683335931937,-0.0187994562812642,-0.06405316664066549,0.11608400145012955,-0.1224131666407156,0.12382683335931301,-56.86866021321189,76.89280197769823,26.643309063058766,20.828288290533884,33.655869423437835,-10.429827491060534,65.53391475834209,-101.86866021321188,31.892801977698227,-18.356690936941234,-24.171711709466116,33.655869423437835,-55.429827491060536,20.533914758342085,0.02958866129040416,101.86866021321188,31.29145769466992,26.26133204137046,22.132572397851668,10.82210020251258,55.429827491060536
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,ecd0b6e7f8756f5f8dae329c4b6d5605929603a6421816434999ed8f3fea409c,06f000617c4f4e5ac1ba64f51557e6def78b6aa051e9d9dba9d99983a9acd8b0,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,calibration,exact_station_calibration_prediction_dates,ATU1,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.4574989255603792,True,227,227,0,0,0,-0.012336329944901,0.2316393095437092,0.06561175637652679,0.0449490715649858,0.06414689266544094,0.0035518205544235407,0.17882384669123894,-0.0084640405070336,0.15892931753253164,0.0450166756392636,0.03083986600381457,0.04401162260944908,0.002436928420415772,0.1226922665637539,-1.4698352555052803,-1.22585961601667,-1.3918871691838524,-1.4125498539953933,0.06414689266544094,-1.4539471050059556,-1.2786750788691401,-0.48494221848479857,9.03045261042271,2.5707306879039495,1.7664342877504322,2.505071843898746,0.13962543577648034,6.994771020666992,-45.4849422184848,-35.969547389577286,-42.429269312096054,-43.233565712249565,2.505071843898746,-44.86037456422352,-38.005228979333005,35.969547389577286,45.4849422184848,42.429269312096054,43.233565712249565,2.505071843898746,38.00522897933301,44.86037456422352
ootang-five-level-rule-v1,1.1-draft,draft,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,diagnostic_only_no_tolerance_decision,ecd0b6e7f8756f5f8dae329c4b6d5605929603a6421816434999ed8f3fea409c,06f000617c4f4e5ac1ba64f51557e6def78b6aa051e9d9dba9d99983a9acd8b0,2bc5d0f00d0ed4ae4b12979b2b042c9da62159b481162ec313727cd6890932ea,calibration,exact_station_calibration_prediction_dates,ATU2,draft_candidate_not_formal,e3d2de7c4f5139a41d4120cc75984bc5393ff7710aa176390cd58f0b7b42a595,selected,,1.1524618039854255,True,227,227,0,0,0,0.0064499999999725,0.242020000000025,0.054493832599118816,0.0250399999999899,0.06051880093908501,0.0064499999999725,0.1306399999999826,0.005596714769779971,0.21000262148652146,0.04728471903421795,0.021727401214857587,0.05251263055296049,0.005596714769779971,0.11335733605070936,-1.146011803985453,-0.9104418039854005,-1.0979679713863064,-1.1274218039854356,0.060518800939084995,-1.146011803985453,-1.021821803985443,0.3206647873907342,11.85992297693355,2.695403455249537,1.2446925492452618,2.9760609913789864,0.3206647873907342,6.467213620521416,-44.67933521260927,-33.14007702306645,-42.30459654475047,-43.755307450754735,2.9760609913789864,-44.67933521260927,-38.53278637947859,33.14007702306645,44.67933521260927,42.30459654475047,43.755307450754735,2.9760609913789864,38.53278637947859,44.67933521260927
