protocol_id,protocol_version,protocol_status,protocol_content_sha256,diagnostic_status,prediction_window_sha256,kinematics_input_sha256,source_split,kinematics_temporal_scope,station,n_rows,n_valid_delta_v,n_warmup,n_nonvalid_status,n_nonfinite_delta_v,delta_v_min,delta_v_max,delta_v_mean,delta_v_median,delta_v_std_ddof1,mean_abs_delta_v,median_abs_delta_v,max_abs_delta_v
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,ATU1,947,945,2,2,0,-0.4250519135132435,0.4205174935904949,-0.000922880366135073,-0.0008704982573704,0.07447470069748569,0.027909572528779143,0.004754942258728,0.4250519135132435
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,ATU2,947,945,2,2,0,-0.768509999999992,0.7211199999999565,-0.0007292910052910131,-9.999999917909008e-06,0.08154252462013149,0.01814922751322776,0.0010400000000458,0.768509999999992
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,ATU3,947,945,2,2,0,-1.0735099999999989,1.0226299999999924,-0.0015675873015873125,-3.999999995585313e-05,0.11423819522563379,0.025778253968256927,0.0019099999999809,1.0735099999999989
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,ATU4,947,945,2,2,0,-0.6131699999999967,0.5752300000000048,-0.0006334074074074168,-9.999999999621425e-06,0.06542196236243483,0.01524189417989462,0.0009200000000078,0.6131699999999967
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,ATU5,947,945,2,2,0,-0.3177196027971263,0.3227259760849961,-0.0016396593323375391,4.6953020742535045e-05,0.05723148494644397,0.02417503049659401,0.0060063791302127,0.3227259760849961
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,MJ1,947,945,2,2,0,-0.0256011257755517,0.0324684894430902,-6.418006053490741e-05,0.0001024446994506,0.00797301298210404,0.005314598482218452,0.0032280877469474,0.0324684894430902
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,MJ3,947,945,2,2,0,-0.0515018381192931,0.0361107760641061,-9.989196068542731e-05,-0.0001787390308436,0.009539295317646784,0.005233226642249931,0.0023142492218539,0.0515018381192931
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,7de7e222645707950c8c8b92bb0cebaedec83e3b390fbf2796ce32e670c4f2c0,d9e888f1f0482bea3e99a1676e963036f43f8c90617aeeb5d4c3b78be5c1daa9,fit,all_station_history_through_fit_cutoff,MJ9,947,945,2,2,0,-0.0245899999999323,0.0450799999999276,-1.7544973544948003e-05,0.0,0.0058691302000756914,0.0026478941798994808,0.0002900000000067,0.0450799999999276
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,ecd0b6e7f8756f5f8dae329c4b6d5605929603a6421816434999ed8f3fea409c,ac42d9b28382d55eb0293fe302f77fcd7ef66536a4efc9f65382ee046c80dee6,calibration,exact_station_calibration_prediction_dates,ATU1,227,227,0,0,0,-0.0118641557575642,0.011428338547148,-0.0002568028188386541,-0.0003291117802177,0.004479524598101519,0.003447834382577519,0.0027903472845878,0.0118641557575642
ootang-five-level-rule-v1,1.1-draft,draft,43fef55264b8216f70ca6159c412520a03f1b270eb013b18ceaf77ff70f1638e,diagnostic_only_no_tolerance_decision,ecd0b6e7f8756f5f8dae329c4b6d5605929603a6421816434999ed8f3fea409c,ac42d9b28382d55eb0293fe302f77fcd7ef66536a4efc9f65382ee046c80dee6,calibration,exact_station_calibration_prediction_dates,ATU2,227,227,0,0,0,-0.0264099999999416,0.0204199999999445,0.00011251101321575233,1.9999999949504858e-05,0.0058725629736344305,0.0029269603524331813,6.999999993695383e-05,0.0264099999999416
