name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h342_CURRENT_o342,342,CURRENT,342,342,180,0,ATU1,0.03772841527350305,4.611554340163118
h342_CURRENT_o342,342,CURRENT,342,342,180,0,ATU5,0.04968416137244698,6.466050012090399
h342_CURRENT_o342,342,CURRENT,342,342,180,0,MJ3,0.05084343310817442,7.004793344633462
h342_CURRENT_o342,342,CURRENT,342,342,180,0,MJ1,0.024762477732678735,5.412679942287543
h342_CURRENT_o342,342,CURRENT,342,342,180,29,ATU1,3.8845958660887805e-08,10.842250906649927
h342_CURRENT_o342,342,CURRENT,342,342,180,29,ATU5,3.650480913427701e-08,9.61646890890035
h342_CURRENT_o342,342,CURRENT,342,342,180,29,MJ3,1.1186765945717918e-08,11.996845786805215
h342_CURRENT_o342,342,CURRENT,342,342,180,29,MJ1,7.012161942747272e-08,15.12007323232932
h342_CURRENT_o342,342,CURRENT,342,342,180,179,ATU1,4.7021583313677974e-23,6.952616237912638
h342_CURRENT_o342,342,CURRENT,342,342,180,179,ATU5,9.267243953513324e-23,9.60750721417752
h342_CURRENT_o342,342,CURRENT,342,342,180,179,MJ3,1.9954703834023552e-22,7.252348484032994
h342_CURRENT_o342,342,CURRENT,342,342,180,179,MJ1,1.5762314162586793e-21,9.598818457079812
