phase,model,control,metric,model_value,control_value,difference,points_improved
development,TCN_DIRECT_COND,BPLUS_CONTINUOUS,mae,78.772584526324295,33.265136851961991,45.507447674362304,1
development,TCN_DIRECT_COND,BPLUS_CONTINUOUS,rmse,91.684105926992657,41.36837187193975,50.315734055052907,1
development,TCN_DIRECT_COND,BPLUS_CONTINUOUS,crps,57.035923670007129,31.035123015862425,26.000800654144705,1
development,TCN_DIRECT_COND,BPLUS_CONTINUOUS,interval_score90,445.31465483418168,460.6002267144396,-15.285571880257919,2
development,TCN_DIRECT_COND,DRIFT1,mae,78.772584526324295,5.4246456008308126,73.34793892549348,0
development,TCN_DIRECT_COND,DRIFT1,rmse,91.684105926992657,6.5413179707791249,85.142787956213539,0
development,TCN_DIRECT_COND,DRIFT1,crps,57.035923670007129,6.4505083991397507,50.585415270867379,0
development,TCN_DIRECT_COND,DRIFT1,interval_score90,445.31465483418168,75.879365922073717,369.43528891210798,0
development,TCN_DIRECT_COND,RR_COND,mae,78.772584526324295,38.181959671411008,40.590624854913287,0
development,TCN_DIRECT_COND,RR_COND,rmse,91.684105926992657,45.899829150075504,45.784276776917153,1
development,TCN_DIRECT_COND,RR_COND,crps,57.035923670007129,32.693411126797599,24.34251254320953,1
development,TCN_DIRECT_COND,RR_COND,interval_score90,445.31465483418168,430.65319378206908,14.6614610521126,3
development,TCN_DIRECT_COND,TCN_DIRECT_COND,mae,78.772584526324295,78.772584526324295,0,0
development,TCN_DIRECT_COND,TCN_DIRECT_COND,rmse,91.684105926992657,91.684105926992657,0,0
development,TCN_DIRECT_COND,TCN_DIRECT_COND,crps,57.035923670007129,57.035923670007129,0,0
development,TCN_DIRECT_COND,TCN_DIRECT_COND,interval_score90,445.31465483418168,445.31465483418168,0,0
development,TCN_BRES_COND,BPLUS_CONTINUOUS,mae,43.491669250150991,33.265136851961991,10.226532398189001,0
development,TCN_BRES_COND,BPLUS_CONTINUOUS,rmse,49.59822889567976,41.36837187193975,8.2298570237400099,0
development,TCN_BRES_COND,BPLUS_CONTINUOUS,crps,35.845620905970833,31.035123015862425,4.8104978901084081,0
development,TCN_BRES_COND,BPLUS_CONTINUOUS,interval_score90,474.66326540192648,460.6002267144396,14.06303868748688,1
development,TCN_BRES_COND,DRIFT1,mae,43.491669250150991,5.4246456008308126,38.067023649320177,0
development,TCN_BRES_COND,DRIFT1,rmse,49.59822889567976,6.5413179707791249,43.056910924900635,0
development,TCN_BRES_COND,DRIFT1,crps,35.845620905970833,6.4505083991397507,29.395112506831083,0
development,TCN_BRES_COND,DRIFT1,interval_score90,474.66326540192648,75.879365922073717,398.78389947985278,0
development,TCN_BRES_COND,RR_COND,mae,43.491669250150991,38.181959671411008,5.3097095787399837,1
development,TCN_BRES_COND,RR_COND,rmse,49.59822889567976,45.899829150075504,3.6983997456042559,1
development,TCN_BRES_COND,RR_COND,crps,35.845620905970833,32.693411126797599,3.1522097791732335,1
development,TCN_BRES_COND,RR_COND,interval_score90,474.66326540192648,430.65319378206908,44.010071619857399,2
development,TCN_BRES_COND,TCN_DIRECT_COND,mae,43.491669250150991,78.772584526324295,-35.280915276173303,3
development,TCN_BRES_COND,TCN_DIRECT_COND,rmse,49.59822889567976,91.684105926992657,-42.085877031312897,3
development,TCN_BRES_COND,TCN_DIRECT_COND,crps,35.845620905970833,57.035923670007129,-21.190302764036296,3
development,TCN_BRES_COND,TCN_DIRECT_COND,interval_score90,474.66326540192648,445.31465483418168,29.348610567744799,2
final_exploratory,TCN_DIRECT_COND,BPLUS_CONTINUOUS,mae,39.487995835886395,6.9016892503619651,32.586306585524426,0
final_exploratory,TCN_DIRECT_COND,BPLUS_CONTINUOUS,rmse,43.25335670757466,9.1241732177745973,34.129183489800063,0
