name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h342_IN_o252,342,IN,252,342,90,0,ATU1,0.039307299510284964,3.71251454930285
h342_IN_o252,342,IN,252,342,90,0,ATU5,0.050130970530836025,3.6634739481790928
h342_IN_o252,342,IN,252,342,90,0,MJ3,0.040847454693090195,3.89720310081711
h342_IN_o252,342,IN,252,342,90,0,MJ1,0.03183579208211769,3.4006846467757725
h342_IN_o252,342,IN,252,342,90,29,ATU1,3.559682113164445e-09,4.569033151024679
h342_IN_o252,342,IN,252,342,90,29,ATU5,1.3324476274546296e-08,5.0023835687534195
h342_IN_o252,342,IN,252,342,90,29,MJ3,1.223005843469023e-08,5.181537998708744
h342_IN_o252,342,IN,252,342,90,29,MJ1,3.9100178641349465e-09,4.250971725303831
h342_IN_o252,342,IN,252,342,90,89,ATU1,7.570412084058508e-22,4.516032867457167
h342_IN_o252,342,IN,252,342,90,89,ATU5,6.723173837877807e-22,6.482425522366056
h342_IN_o252,342,IN,252,342,90,89,MJ3,7.920247547328705e-21,6.4617920706127725
h342_IN_o252,342,IN,252,342,90,89,MJ1,8.626297659521664e-21,5.530552724408686
