phase,model,control,metric,model_value,control_value,difference,points_improved
development,TRANSFORMER_DIRECT_COND,BPLUS_CONTINUOUS,mae,33.239298708377596,33.265136851961991,-0.025838143584394402,2
development,TRANSFORMER_DIRECT_COND,BPLUS_CONTINUOUS,rmse,36.856791648869624,41.36837187193975,-4.5115802230701263,2
development,TRANSFORMER_DIRECT_COND,BPLUS_CONTINUOUS,crps,23.191155068949776,31.035123015862425,-7.8439679469126489,3
development,TRANSFORMER_DIRECT_COND,BPLUS_CONTINUOUS,interval_score90,206.09691508254039,460.6002267144396,-254.50331163189921,3
development,TRANSFORMER_DIRECT_COND,DRIFT1,mae,33.239298708377596,5.4246456008308126,27.814653107546782,0
development,TRANSFORMER_DIRECT_COND,DRIFT1,rmse,36.856791648869624,6.5413179707791249,30.315473678090498,0
development,TRANSFORMER_DIRECT_COND,DRIFT1,crps,23.191155068949776,6.4505083991397507,16.740646669810026,0
development,TRANSFORMER_DIRECT_COND,DRIFT1,interval_score90,206.09691508254039,75.879365922073717,130.21754916046666,0
development,TRANSFORMER_DIRECT_COND,RR_COND,mae,33.239298708377596,38.181959671411008,-4.9426609630334113,2
development,TRANSFORMER_DIRECT_COND,RR_COND,rmse,36.856791648869624,45.899829150075504,-9.0430375012058803,2
development,TRANSFORMER_DIRECT_COND,RR_COND,crps,23.191155068949776,32.693411126797599,-9.5022560578478235,3
development,TRANSFORMER_DIRECT_COND,RR_COND,interval_score90,206.09691508254039,430.65319378206908,-224.55627869952869,3
development,TRANSFORMER_DIRECT_COND,TCN_DIRECT_COND,mae,33.239298708377596,78.772584526324295,-45.533285817946698,3
development,TRANSFORMER_DIRECT_COND,TCN_DIRECT_COND,rmse,36.856791648869624,91.684105926992657,-54.827314278123033,3
development,TRANSFORMER_DIRECT_COND,TCN_DIRECT_COND,crps,23.191155068949776,57.035923670007129,-33.844768601057353,3
development,TRANSFORMER_DIRECT_COND,TCN_DIRECT_COND,interval_score90,206.09691508254039,445.31465483418168,-239.21773975164129,3
development,TRANSFORMER_DIRECT_COND,TCN_BRES_COND,mae,33.239298708377596,43.491669250150991,-10.252370541773395,3
development,TRANSFORMER_DIRECT_COND,TCN_BRES_COND,rmse,36.856791648869624,49.59822889567976,-12.741437246810136,3
development,TRANSFORMER_DIRECT_COND,TCN_BRES_COND,crps,23.191155068949776,35.845620905970833,-12.654465837021057,3
development,TRANSFORMER_DIRECT_COND,TCN_BRES_COND,interval_score90,206.09691508254039,474.66326540192648,-268.56635031938606,4
development,TRANSFORMER_DIRECT_COND,TRANSFORMER_DIRECT_COND,mae,33.239298708377596,33.239298708377596,0,0
development,TRANSFORMER_DIRECT_COND,TRANSFORMER_DIRECT_COND,rmse,36.856791648869624,36.856791648869624,0,0
development,TRANSFORMER_DIRECT_COND,TRANSFORMER_DIRECT_COND,crps,23.191155068949776,23.191155068949776,0,0
development,TRANSFORMER_DIRECT_COND,TRANSFORMER_DIRECT_COND,interval_score90,206.09691508254039,206.09691508254039,0,0
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,mae,39.837264745072233,33.265136851961991,6.5721278931102418,0
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,rmse,48.18661688434247,41.36837187193975,6.8182450124027199,0
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,crps,35.162140232549667,31.035123015862425,4.1270172166872428,0
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,interval_score90,523.59675392236477,460.6002267144396,62.996527207925169,0
development,TRANSFORMER_BRES_COND,DRIFT1,mae,39.837264745072233,5.4246456008308126,34.412619144241418,0
development,TRANSFORMER_BRES_COND,DRIFT1,rmse,48.18661688434247,6.5413179707791249,41.645298913563344,0
development,TRANSFORMER_BRES_COND,DRIFT1,crps,35.162140232549667,6.4505083991397507,28.711631833409918,0
development,TRANSFORMER_BRES_COND,DRIFT1,interval_score90,523.59675392236477,75.879365922073717,447.71738800029107,0
development,TRANSFORMER_BRES_COND,RR_COND,mae,39.837264745072233,38.181959671411008,1.6553050736612249,2
development,TRANSFORMER_BRES_COND,RR_COND,rmse,48.18661688434247,45.899829150075504,2.2867877342669658,2
