prefix,seed,epoch,term,value,norm,G_norm,H_norm
342,0,0,data,0.011717580846588286,0.12100787686289086,0.03324477715586578,0.1163515838083925
342,0,0,motion,2.986902718108397e-26,7.636705261241427e-14,0.0,7.636705261241426e-14
342,0,0,basal_memory,3.060014175341459e-27,8.505391765327701e-15,0.0,8.5053917653277e-15
342,0,0,contact_memory,2.6308842260910693e-25,1.0127639966131654e-12,1.3383963668218566e-15,1.0127631122483862e-12
342,0,0,bulk_memory,5.0097908137909983e-26,5.984456926410154e-14,3.002137984564339e-16,5.984381623928291e-14
342,0,0,negative_slip,0.0,0.0,0.0,0.0
342,0,0,negative_gap,1.1149557736197422e-33,1.5954658738470633e-17,0.0,1.595465873847063e-17
342,0,0,complementarity,7.701908688571748e-32,1.511734947881391e-16,0.0,1.511734947881391e-16
342,0,0,rate_prior,0.0,0.0,0.0,0.0
342,0,50,data,0.007020678718773627,0.062279800572126655,0.015404019513529498,0.06034475737071671
342,0,50,motion,2.1420095197122033,124.43039145969536,0.37709490674430274,124.42982005228626
342,0,50,basal_memory,19.2926718436502,63869.42245623369,1.5900693136069357,63869.42243644079
342,0,50,contact_memory,0.5287305958161448,100.5877880282804,0.08850167525842233,100.58774909438895
342,0,50,bulk_memory,0.021622885893233766,117.27480840223953,0.009740554066954827,117.27480799772641
342,0,50,negative_slip,5.570194976411218,19913.243492790294,0.44193210433659147,19913.243487886422
342,0,50,negative_gap,6.567034996719217e-07,0.0003844575016199633,2.923096255392855e-06,0.0003844463890585341
342,0,50,complementarity,17.51604774396661,60829.81462165635,1.4246633468325762,60829.8146049732
342,0,50,rate_prior,0.0006973642856109206,0.028799098872482838,0.028799098872482838,0.0
342,0,100,data,0.007492290540082739,0.06690205753970402,0.01618318970648828,0.06491524993381508
342,0,100,motion,0.5477702799366415,36.819158327240004,0.07124505169776951,36.819089397606994
342,0,100,basal_memory,3.354589038219441,17189.73137990417,0.3247984518573348,17189.73137683565
342,0,100,contact_memory,0.03402250978606086,7.7804167079352,0.014975286510761382,7.78040229614839
342,0,100,bulk_memory,0.012317121818180251,69.02768073660332,0.004435167307115927,69.0276805941191
342,0,100,negative_slip,0.9446866514776529,6035.9595924313535,0.11809101266035375,6035.959591276154
342,0,100,negative_gap,9.290175781862772e-07,0.0006010296742280455,3.6382080215622655e-06,0.0006010186625597098
342,0,100,complementarity,3.3413259735456085,17072.652605830986,0.313363208161554,17072.652602955142
342,0,100,rate_prior,0.0007721520149844389,0.030360539416677285,0.030360539416677285,0.0
342,0,200,data,0.01102854002875804,0.14980179479863046,0.033421064385149975,0.14602605993539186
342,0,200,motion,0.007742199212707768,6.5230966740383645,0.006651246595639452,6.523093283080436
342,0,200,basal_memory,0.6729089437237072,2340.3645197345422,0.1206233612602704,2340.3645166260535
342,0,200,contact_memory,0.0015101293942230006,0.317021372011506,0.00273425830913326,0.3170095805232968
342,0,200,bulk_memory,0.05254628205310274,46.833681161783275,0.009254507045015478,46.833680247421015
342,0,200,negative_slip,0.377101609052777,1790.3404758680451,0.10996944369983733,1790.3404724906768
342,0,200,negative_gap,1.529659190041777e-11,3.017869066166019e-08,1.6634222813853016e-11,3.017868607734286e-08
342,0,200,complementarity,0.6880682987518507,2274.5459551441845,0.15983408547216124,2274.5459495283526
342,0,200,rate_prior,0.034723036970286565,0.2245931241547882,0.22459312415478816,0.0
342,1,0,data,0.011717580846588286,0.12413337365263004,0.0334280219791871,0.11954773858564807
342,1,0,motion,2.986902718108397e-26,7.360012907249681e-14,0.0,7.360012907249681e-14
342,1,0,basal_memory,3.060014175341459e-27,6.287703636958698e-15,0.0,6.287703636958699e-15
342,1,0,contact_memory,2.6308842260910693e-25,5.73826233481893e-13,1.5974891353999164e-15,5.738240098326998e-13
342,1,0,bulk_memory,5.0097908137909983e-26,6.691536526039105e-14,3.108143473268028e-16,6.691464340765064e-14
342,1,0,negative_slip,0.0,0.0,0.0,0.0
342,1,0,negative_gap,1.1149557736197422e-33,1.5306361759619292e-17,0.0,1.5306361759619292e-17
342,1,0,complementarity,7.701908688571748e-32,1.444023114725603e-16,0.0,1.444023114725603e-16
