prefix,seed,station,plastic_driven_s_observed_rms_mm,plastic_driven_s_observed_end_mm,motion_defect_s_observed_rms_mm,motion_defect_s_observed_end_mm,background_difference_observed_rms_mm,background_difference_observed_end_mm,actual_observed_rms_mm,actual_observed_end_mm
342,0,ATU1,0.05414507630021808,0.059655322778993776,0.2730419464942889,-0.18890088445900724,0.0,0.0,0.23047357271882193,-0.129245561680019
342,0,ATU5,0.09379387526293781,-0.10824934966717509,0.37746719727961375,0.14324259497110875,0.0,0.0,0.4338662187939238,0.034993245303932545
342,0,MJ3,2.944230307798975,-5.042569959759159,0.05767904909780688,-0.016384144746669813,0.0,0.0,2.9481833967326057,-5.058954104505613
342,0,MJ1,1.3765543689760602,-1.5044351027197684,0.03906677755788991,0.02610670943223825,0.0,0.0,1.3791716646917171,-1.478328393287429
342,1,ATU1,0.08412298790532699,0.10204256090928247,0.2657969156376633,-0.03867508015163733,0.0,0.0,0.20807454081714172,0.06336748075764531
342,1,ATU5,0.07543775269615312,0.09535425400845865,0.5306024183616258,-0.07023107317811773,0.0,0.0,0.4759669032597211,0.025123180830343924
342,1,MJ3,7.937010290123249,-12.806287205364278,0.1180887808813239,0.05505159388930214,0.0,0.0,7.956441041824969,-12.751235611474442
342,1,MJ1,3.7362617495029395,-4.020017158179719,0.060269899102608264,-0.0182407807571056,0.0,0.0,3.7470010535940945,-4.038257938936573
342,2,ATU1,0.02162817270711107,0.01672611643809883,0.33713060651676996,-0.037713729483315514,0.0,0.0,0.32090860588051023,-0.02098761304522312
342,2,ATU5,0.013076109463800542,0.020910123167840154,1.1168178746113668,-0.11009063925256468,0.0,0.0,1.1108766444822764,-0.08918051608470538
342,2,MJ3,4.535669533155824,8.098700109368329,0.039523509385245646,-0.03346883301531936,0.0,0.0,4.529432759430085,8.065231276352653
342,2,MJ1,2.1313847357285454,2.2304693612126565,0.04063165615983443,-0.10882712030606335,0.0,0.0,2.125443991037788,2.121642240906426
432,0,ATU1,2.0369292395075815,0.1717649880093081,0.2001534263572142,-0.26699917454840866,0.0,0.0,2.1638668417907736,-0.09523418653910198
432,0,ATU5,2.294293587376797,-1.4570857534951351,0.03792392260167879,-0.05258287725911307,0.0,0.0,2.2924108720727965,-1.5096686307542482
432,0,MJ3,0.893460180243219,-2.528092109715654,0.482043549783861,-0.2016475928787893,0.0,0.0,1.189168058067114,-2.7297397025946597
432,0,MJ1,0.35276391498135706,-1.0015844822365558,0.2304682570436514,-0.11091729016694657,0.0,0.0,0.5096830237038795,-1.1125017724036055
432,1,ATU1,2.34115855377529,2.14708841121361,0.08886442505408182,-0.04896732167670463,0.0,0.0,2.3474511237001257,2.098121089536889
432,1,ATU5,2.428729743499696,-1.7580139578737117,0.03995953787774526,-0.04247941742443205,0.0,0.0,2.4060551807000756,-1.8004933752981456
432,1,MJ3,0.9040235300518287,-2.4283747609845285,0.521940739145757,-0.17060070715216605,0.0,0.0,1.2498689289379559,-2.598975468136871
432,1,MJ1,0.38756464630729204,-0.9929358236486581,0.23978653982316567,-0.022678331040254837,0.0,0.0,0.5483391207153296,-1.015614154688997
432,2,ATU1,2.4268296015547706,1.0270997988278399,0.09043043126061072,0.09479393594863181,0.0,0.0,2.435170310728941,1.1218937347764637
432,2,ATU5,2.2677885554283423,-1.1769667690690768,0.035575374118935035,-0.06791674976236481,0.0,0.0,2.2697491329554906,-1.244883518831443
432,2,MJ3,0.9719426580809843,-2.3753547984563097,0.4612583237679681,-0.10932805903200339,0.0,0.0,1.2442621824610267,-2.4846828574885107
432,2,MJ1,0.39377342504992424,-0.8975695979078604,0.2194507042977656,-0.05927181494175759,0.0,0.0,0.5297644715952314,-0.9568414128497122
612,0,ATU1,18.850361449119028,26.218321958348955,0.2922427220194152,0.04976315586982144,0.0,0.0,18.859802999711924,26.268085114218138
612,0,ATU5,28.17199015237442,49.12780957943675,0.239939038788845,0.1739412601654732,0.0,0.0,28.17605153133983,49.301750839600906
612,0,MJ3,0.38952677397212115,0.5094008725982957,0.22495418622071228,0.020769857083633637,0.0,0.0,0.4735337153877906,0.53017072968191
612,0,MJ1,0.20407104999607886,0.27320470682458103,0.10687771784834423,0.011726930825570846,0.0,0.0,0.254392868280465,0.2849316376501426
612,1,ATU1,17.742460531704864,23.068975652645594,0.27917453925453234,0.05704823602463112,0.0,0.0,17.782488092779843,23.126023888669636
612,1,ATU5,24.4769348787661,40.1113555190878,0.20606468267210845,0.002835085093767359,0.0,0.0,24.482891733664413,40.11419060418046
612,1,MJ3,0.4405115934450811,0.5903219067307098,0.24482832116583275,0.1630834017113282,0.0,0.0,0.5182484807510586,0.7534053084420078
612,1,MJ1,0.23585937251771674,0.33707223902359235,0.11843819336651701,0.06843500912725284,0.0,0.0,0.27577292980571916,0.40550724815083067
612,2,ATU1,15.865711964168714,19.12979535950137,0.40982882872951426,-0.06260162819267377,0.0,0.0,15.932103738166024,19.067193731308237
612,2,ATU5,22.088296151576337,38.34859799311407,0.31587821090608575,-0.2612885079618281,0.0,0.0,22.048560333375118,38.08730948515119
612,2,MJ3,0.49314688266171836,0.582627558553523,0.19326945876227386,-0.0009520463842810267,0.0,0.0,0.5333427284823984,0.5816755121692154
612,2,MJ1,0.2699134687257329,0.31363847710453224,0.09539537717857634,-0.00557827715648698,0.0,0.0,0.2764661386583512,0.30806019994803263
