station,method,start_date,end_date,v_eq_mm_per_day,rate_mad_mm_per_day,mean_abs_accel_mm_per_day2,n_rate_samples
MJ9,automatic_candidate,2017-07-04,2017-08-03,0.15225833333333488,0.0,3.4482758729640847e-06,30
MJ1,automatic_candidate,2017-05-19,2017-06-18,0.8989008459445775,0.012947241728113568,0.003726010672227764,30
MJ3,automatic_candidate,2017-06-19,2017-07-19,1.0715586255719018,0.010536108988958404,0.0018819457737930046,30
ATU1,automatic_candidate,2017-04-15,2017-05-15,0.677024164730597,0.0068536889926420486,0.004224227417391399,30
ATU2,automatic_candidate,2017-01-02,2017-02-01,0.04887733333333332,0.0,2.758620690530796e-06,30
ATU3,automatic_candidate,2018-07-04,2018-08-03,0.1,0.0,4.312259361854401e-14,30
ATU4,automatic_candidate,2018-07-09,2018-08-08,0.022580333333333633,0.0,6.896551785130527e-07,30
ATU5,automatic_candidate,2019-05-18,2019-06-17,0.302680575601092,0.00572404528890047,0.0016991728271101426,30
