seed,fold,model_input_schema,model_input_channels,station_geometry_sha256,scope,interval_variant,test_start_date,test_end_date,n_dates,n_stations,model_mean_error,baseline_mean_error,mean_actual_increment,mean_predicted_increment,actual_increment_std,predicted_increment_std,increment_std_ratio,increment_correlation,model_rmse,model_mae,model_r2,model_nse,baseline_rmse,baseline_mae,baseline_r2,baseline_nse,pinball_p10,pinball_p50,pinball_p90,mean_pinball,coverage,coverage_gap,mean_width,interval_score_80,p10_gt_p50,p50_gt_p90,total_points,rmse_skill_vs_baseline,rmse_difference_vs_baseline,mae_difference_vs_baseline,mae_skill_vs_baseline
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,overall,raw,2018-02-21,2018-12-04,287,8,0.6432173309822199,-0.16207756672926357,0.16207756672926357,0.8052948977114834,0.18392291682531414,1.1623468782060689,6.3197501337478235,0.14824582686418586,1.3170596910700565,0.7251576276156644,0.9999813747810229,0.9999813747810229,0.24511638802417446,0.16307588021306405,0.99999935488793,0.99999935488793,0.3656766802946306,0.3625788138078322,0.1386329131987979,0.28896280243375355,0.6602787456445993,-0.13972125435540073,1.3770606277178987,5.043095934934285,0,0,2296,-4.373201284853146,1.071943303045882,0.5620817474026003,-3.446749738025157
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,MJ9,raw,2018-02-21,2018-12-04,287,1,0.024087082093911704,-0.08835672473867599,0.08835672473867599,0.1124438068325877,0.08881672187735454,0.08999352233060114,1.0132497623011985,0.38308547770953866,0.10202506678262803,0.08448002201273425,0.999792163933115,0.999792163933115,0.1251712232989687,0.09286613240418139,0.9996871644259334,0.9996871644259334,0.01610371431459364,0.04224001100636712,0.022071983254643834,0.026805236191868198,0.6202090592334495,-0.17979094076655056,0.18935639594297052,0.38175697569237477,0,0,287,0.1849159567695252,-0.02314615651634068,-0.00838611039144714,0.09030321576167577
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,MJ1,raw,2018-02-21,2018-12-04,287,1,0.013475050484357258,-0.26700872006361237,0.26700872006361237,0.28048377054796964,0.21360549146961538,0.17933686473624386,0.839570478747518,0.49197822627161636,0.20034503306138687,0.14866652674149736,0.9999261084585627,0.9999261084585627,0.34170452501504067,0.26700872006361237,0.9997850492194448,0.9997850492194448,0.04421327375736306,0.07433326337074868,0.02986422416313012,0.049470253763747286,0.759581881533101,-0.04041811846689902,0.4186193650945816,0.7407749792049318,0,0,287,0.4136892595947672,-0.1413594919536538,-0.11834219332211501,0.44321471333940354
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,MJ3,raw,2018-02-21,2018-12-04,287,1,0.33042147936358873,-0.0521863807349166,0.0521863807349166,0.3826078600985053,0.05705945057066131,0.38516835645969805,6.7502990759210535,-0.2564936490664168,0.5210522346078174,0.38038725033142823,0.9880345743618196,0.9880345743618196,0.07725189349988038,0.05566348093981511,0.999736982955849,0.999736982955849,0.16108886177577358,0.19019362516571411,0.06421056992101604,0.13849768562083456,0.5296167247386759,-0.2703832752613241,0.6119441609384961,2.252994316967896,0,0,287,-5.744847420582956,0.443800341107937,0.3247237693916131,-5.833694981144162
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,ATU1,raw,2018-02-21,2018-12-04,287,1,1.016375808130578,-0.1597519356373974,0.1597519356373974,1.1761277437679756,0.14177263597358836,1.7323043436098036,12.218890702804767,0.02469517941227745,2.0078306373328005,1.2462679080537407,0.9825805629783552,0.9825805629783552,0.2134247600873727,0.1597519356373974,0.9998031798469791,0.9998031798469791,0.7206603569863859,0.6231339540268703,0.2381527358275858,0.5273156822802807,0.6585365853658537,-0.14146341463414636,2.4722876648095813,9.588130928139718,0,0,287,-8.4076743322135,1.7944058772454279,1.0865159724163433,-6.801269531296956
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,ATU2,raw,2018-02-21,2018-12-04,287,1,0.927728891084519,-0.10696860627177686,0.10696860627177686,1.034697497356296,0.11706242426276037,1.326754363163681,11.333733873353117,-0.004070087372530896,1.621647433811644,0.991321935068221,0.9746686104374792,0.9746686104374792,0.1584239443009627,0.10696860627177686,0.9997582381451181,0.9997582381451181,0.6077485081776863,0.4956609675341105,0.18023167917480457,0.42788038496220043,0.6655052264808362,-0.13449477351916383,1.686685392792985,7.879801873524909,0,0,287,-9.236125864477605,1.4632234895106813,0.8843533287964441,-8.26741003383323
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,ATU3,raw,2018-02-21,2018-12-04,287,1,1.2228767793103732,-0.23802623693379796,0.23802623693379796,1.4609030162441712,0.21300422663602417,1.404063657457316,6.591717355245452,0.11414145536573038,1.8539501309650057,1.2520071356205844,0.9936462752424899,0.9936462752424899,0.3191695530913898,0.23802623693379796,0.9998116892069343,0.9998116892069343,0.5717623604843975,0.6260035678102922,0.2425642592410939,0.4801100625119279,0.7038327526132404,-0.09616724738675964,2.3252216043416287,8.143266197254915,0,0,287,-4.808668505526756,1.5347805778736159,1.0139808986867864,-4.259954330029609
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,ATU4,raw,2018-02-21,2018-12-04,287,1,0.7157185651577033,-0.09670212543553999,0.09670212543553999,0.8124206905932433,0.1015799825794991,0.726768265645267,7.1546405816370315,0.13969530914276593,1.0140676264388717,0.7265900868529815,0.9883256160660853,0.9883256160660853,0.1401208085467853,0.09670212543553999,0.9997771023937446,0.9997771023937446,0.2911293217569805,0.36329504342649077,0.1395595881230281,0.2646613177688331,0.6306620209059234,-0.16933797909407666,1.3126479109453058,4.306889098800085,0,0,287,-6.237095167776469,0.8739468178920864,0.6298879614174415,-6.51369304015261
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,ATU5,raw,2018-02-21,2018-12-04,287,1,0.8950549922327279,-0.2876198040183912,0.2876198040183912,1.182674796251119,0.26003424451083024,1.299852138305184,4.998772914507597,0.1836178744362193,1.5583769294113647,0.9715401562441269,0.9971198543259018,0.9971198543259018,0.387436908234515,0.2876198040183912,0.9998219789268481,0.9998219789268481,0.5127070451038641,0.48577007812206346,0.19240826588508073,0.3969617963703361,0.7142857142857143,-0.08571428571428574,1.9997225268776406,7.051153109889449,0,0,287,-3.0222727785863954,1.1709400211768497,0.6839203522257358,-2.377862520836722
0,1,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,overall,calibrated,2018-02-21,2018-12-04,287,8,0.6432173309822199,-0.16207756672926357,0.16207756672926357,0.8052948977114834,0.18392291682531414,1.1623468782060689,6.3197501337478235,0.14824582686418586,1.3170596910700565,0.7251576276156644,0.9999813747810229,0.9999813747810229,0.24511638802417446,0.16307588021306405,0.99999935488793,0.99999935488793,0.3642962412267461,0.3625788138078322,0.13929003831092962,0.28872169778183593,0.703397212543554,-0.09660278745644602,1.4103522051158026,5.035862795376757,0,0,2296,-4.373201284853146,1.071943303045882,0.5620817474026003,-3.446749738025157
