model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
DRIFT1,3,MJ3,178,0.00921639323658848,0.0130517591575596,0.00724300668348448,0.859550561797753,0.0388225715408358,0.0539179806635633,0.882022471910112,0.0498282311249788,0.0691636441301878,0.904494382022472,0.0593739994964345,0.0838379892233324
DRIFT1,3,MJ1,178,0.0345702515874601,0.0470925251880322,0.0263815540262806,0.842696629213483,0.142901930142884,0.186801129035005,0.898876404494382,0.183412641686403,0.219816799250266,0.955056179775281,0.218549642426824,0.241971726207984
DRIFT1,4,ATU1,177,0.050826252488429,0.064837840242608,0.0373136723317595,0.779661016949153,0.176202848997061,0.250037687060786,0.898305084745763,0.226153908312571,0.301925850201327,0.926553672316384,0.26947900286856,0.355739814240658
DRIFT1,4,ATU5,177,0.0961012173538816,0.117026332253145,0.0729452485919746,0.644067796610169,0.290406899169564,0.47740245545022,0.779661016949153,0.372733219819998,0.625515951377655,0.796610169491525,0.444139025332489,0.795223791441722
DRIFT1,4,MJ3,177,0.0150814270892832,0.0212883305235875,0.0118263724345308,0.858757062146893,0.0635965854459529,0.0882422886026026,0.887005649717514,0.0816253337321248,0.113486320571582,0.909604519774011,0.0972625841714189,0.137784286134471
DRIFT1,4,MJ1,177,0.0572301735024534,0.0779823405279764,0.043659490603173,0.836158192090395,0.234490611597119,0.309357900129126,0.898305084745763,0.300965441689176,0.364189690720781,0.954802259887006,0.358622443138135,0.401710596452903
DRIFT1,5,ATU1,176,0.0763568945401438,0.0973575503567787,0.0561059628573824,0.795454545454545,0.267821649244276,0.375858325162408,0.897727272727273,0.343745365367619,0.456503845658328,0.926136363636364,0.409597866298759,0.541686295458197
DRIFT1,5,ATU5,176,0.144694975728529,0.175884469163029,0.110377937272105,0.636363636363636,0.441136468030499,0.727433718978327,0.784090909090909,0.566192527034348,0.955579445195388,0.801136363636364,0.674660008112553,1.22771826394666
DRIFT1,5,MJ3,176,0.0222234469155376,0.0312427714708661,0.0173648945127674,0.863636363636364,0.0936565212410792,0.129756524283984,0.892045454545455,0.120206843636174,0.167008858213884,0.909090909090909,0.143235288758622,0.202627663493437
DRIFT1,5,MJ1,176,0.0852525985887059,0.116208004477414,0.0650410050279797,0.829545454545455,0.345754596895506,0.461633293054334,0.897727272727273,0.443771220783476,0.543635555396098,0.948863636363636,0.528786024397215,0.600876782865663
