model,mae,rmse,phase
BPLUS_CONTINUOUS,9.2980723577372046,12.597932603017654,development
RR_COND,5.7136588934368318,8.019724300293932,development
TCN_DIRECT_COND,16.1997221024242,21.378910123504074,development
TCN_BRES_COND,1.4739774784367468,2.0762298905381043,development
TRANSFORMER_DIRECT_COND,11.0707841150371,13.564382636958783,development
TRANSFORMER_BRES_COND,0.3362357946767901,0.46751754301119114,development
CNN_MAMBA_DIRECT_COND,6.2904775428497706,8.4893290782109965,development
CNN_MAMBA_BRES_COND,0.30733765155826809,0.40010194836232038,development
BPLUS_CONTINUOUS,6.6284769428445811,8.4237165327921772,final_exploratory
RR_COND,4.6238636159271183,6.1306931956640227,final_exploratory
TCN_DIRECT_COND,20.216941179600941,24.917164567378776,final_exploratory
TCN_BRES_COND,1.3472270014568637,1.7889763823855755,final_exploratory
TRANSFORMER_DIRECT_COND,13.336021782676372,17.219878175852422,final_exploratory
TRANSFORMER_BRES_COND,0.38459768478726342,0.5171071169582443,final_exploratory
CNN_MAMBA_DIRECT_COND,8.562441722539436,10.937502820654867,final_exploratory
CNN_MAMBA_BRES_COND,0.29862583761931955,0.39936576515692862,final_exploratory
