fit_days,candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day
432,C0_A_final,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.3859762442308854,0.2604232776061399,1.1255529666247455
432,C0_A_final,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725093,1.5992464283562355,0.2919347184431994,1.3073117099130367
432,C0_A_final,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.7900918708390766,0.33899211487565567,0.4510997559634196
432,C0_A_final,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6088903401597388,0.35409654226414156,0.2547937978955964
432,C0_A_final,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3527691073190835,0.24530635355128727,1.1074627537677961
432,C0_A_final,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.697588027838153,0.27430165978350357,1.4232863680546495
432,C0_A_final,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1490111222036425,0.3297934149971839,0.8192177072064573
432,C0_A_final,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.75137342187143,0.3444251689712028,0.4069482529002272
432,C0_A_final,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,5.3088363687516456,0.34042222434665537,4.96841414440499
432,C0_A_final,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,7.622459731110558,0.3872130500472641,7.235246681063293
432,C0_A_final,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6635300756373756,0.35821183104959714,0.30531824458777945
432,C0_A_final,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5614809224422136,0.3742048435875077,0.18727607885470643
432,C0_A_final,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.842372714540676,0.21437456857492362,1.6279981459657524
432,C0_A_final,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,2.795476346210919,0.2397973444271511,2.555679001783768
432,C0_A_final,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.4760159319011437,0.3305869966972327,0.14542893520391306
432,C0_A_final,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.24435843134172047,0.3972193831188191,0.34535776754231606,0.051861615576503164
