fit_days,start,stage,objective,trajectory_objective,terminal_objective,increment_objective,nfev,max_nfev,optimization_forward_calls,postcheck_forward_calls,success,status,message,optimality,gtol_met,max_parameter_change_bound_fraction,seconds
432,A,1,40.2200522647222,24.753335454700185,0.0,15.466716810022012,900,900,46385,1,False,0,The maximum number of function evaluations is exceeded.,26.214278077827352,False,0.9328606862819051,64.58384699979797
432,A,2,45.85569824333872,26.45744847218167,1.2454610403752253,18.152788730781815,800,800,40400,1,False,0,The maximum number of function evaluations is exceeded.,33.844725583678986,False,0.19729287057362463,83.19799229176715
432,A,3,40.83267048210673,23.822995056335643,0.005386734028250759,17.004288691742833,800,800,36550,1,False,0,The maximum number of function evaluations is exceeded.,216.22717316461976,False,0.18393926001865463,81.83701820811257
432,A,4,34.010309315954785,20.79947474260341,0.005380869516971023,13.205453703834394,686,800,28681,1,True,3,`xtol` termination condition is satisfied.,460.26179203145006,False,0.14131984659689462,52.243574916850775
432,B,1,17.2295753882413,9.713753074907583,0.0,7.515822313333719,900,900,39730,1,False,0,The maximum number of function evaluations is exceeded.,19.684008455434476,False,0.7880593979459702,54.105235415976495
432,B,2,16.611057278813348,9.004285733953974,0.08106812201384862,7.525703422845526,800,800,33800,1,False,0,The maximum number of function evaluations is exceeded.,29.746311742151764,False,0.2830243011929206,64.59440366690978
432,B,3,16.666203954181107,9.099383620063648,0.0012080119183063202,7.565612322199151,800,800,44800,1,False,0,The maximum number of function evaluations is exceeded.,16.517239390670305,False,0.2912265837283425,99.93112520920113
432,B,4,16.36788434090029,8.931287514250958,0.0009502768911426642,7.435646549758191,800,800,44195,1,False,0,The maximum number of function evaluations is exceeded.,48.641878336673166,False,0.039684722381919516,77.96601295797154
612,A,1,41.374007062365806,20.283720735394816,0.0,21.090286326970997,900,900,39785,1,False,0,The maximum number of function evaluations is exceeded.,0.5762816438698339,False,0.9333333333333332,76.46952958405018
612,A,2,42.041915085142925,20.663835900567648,0.1544546410774048,21.22362454349787,800,800,34625,1,False,0,The maximum number of function evaluations is exceeded.,39.60571526338221,False,0.15099121932782517,97.41771037457511
612,A,3,42.10399096684179,20.855991730150766,0.0021468178329962953,21.245852418858032,800,800,39630,1,False,0,The maximum number of function evaluations is exceeded.,71.43041971785932,False,0.06708306318017106,106.58478258410469
612,A,4,41.801141857573,20.663095918440817,0.001961586015934544,21.13608435311625,800,800,39795,1,False,0,The maximum number of function evaluations is exceeded.,90.89220960679553,False,0.17593612200478762,63.31649195915088
612,B,1,52.565149759285426,31.765821167126017,0.0,20.79932859215941,900,900,42040,1,False,0,The maximum number of function evaluations is exceeded.,5.096535595247623,False,0.7402822829660113,64.92373729124665
612,B,2,53.135221768900216,32.03941824283335,0.26134426251438386,20.834459263552482,800,800,36550,1,False,0,The maximum number of function evaluations is exceeded.,65.06400810425306,False,0.029532632036216176,58.43358412478119
612,B,3,53.00390965665128,32.16104878348645,0.0039767848918019055,20.83888408827302,800,800,38530,1,False,0,The maximum number of function evaluations is exceeded.,3.553891161049101,False,0.025321849878263344,51.772702916990966
612,B,4,52.78869383252884,31.974038930521207,0.0037934689408369933,20.810861433066805,800,800,37540,1,False,0,The maximum number of function evaluations is exceeded.,7.964319051305757,False,0.5541276260343244,50.608544833026826
