fit_days,candidate,phase,station,days,delta30_rmse_mm,delta30_mae_mm
432,C0_A_final,train,ATU1,402,11.132413881619524,7.808451591401449
432,C0_A_final,train,ATU5,402,15.486356366382115,10.210299670602389
432,C0_A_final,train,MJ3,402,6.6748189424571365,5.378473443995479
432,C0_A_final,train,MJ1,402,6.173619592423054,5.567908762043636
432,C0_A_final,train,four_point_mean,402,9.866802195720457,7.241283367010738
432,C0_A_final,prediction,ATU1,180,24.211522396132253,13.83390731291152
432,C0_A_final,prediction,ATU5,180,40.66391892690768,25.54215521667085
432,C0_A_final,prediction,MJ3,180,7.164954209781576,6.523994267436843
432,C0_A_final,prediction,MJ1,180,5.674934287167466,5.206466854209824
432,C0_A_final,prediction,four_point_mean,180,19.428832454997238,12.776630912807258
432,C0_B_final,train,ATU1,402,10.571812360541973,7.546917591554376
432,C0_B_final,train,ATU5,402,5.649542533898259,3.943431694198313
432,C0_B_final,train,MJ3,402,5.951803906354714,4.925141499559735
432,C0_B_final,train,MJ1,402,5.967370603630318,5.459995339784676
432,C0_B_final,train,four_point_mean,402,7.0351323511063155,5.468871531274275
432,C0_B_final,prediction,ATU1,180,26.690535376066713,15.311644910411486
432,C0_B_final,prediction,ATU5,180,40.6211787313608,28.53551950411617
432,C0_B_final,prediction,MJ3,180,7.970082675636008,7.406286148053127
432,C0_B_final,prediction,MJ1,180,6.71936393330992,6.0516548156389645
432,C0_B_final,prediction,four_point_mean,180,20.500290179093362,14.326276344554936
432,C1_A_stage3,train,ATU1,402,11.120608498935452,8.02232278571199
432,C1_A_stage3,train,ATU5,402,12.475557443806574,9.961054608558179
432,C1_A_stage3,train,MJ3,402,8.100571145174241,5.848058724671757
432,C1_A_stage3,train,MJ1,402,6.977898966881126,5.935420575898323
432,C1_A_stage3,train,four_point_mean,402,9.668659013699349,7.441714173710063
432,C1_A_stage3,prediction,ATU1,180,35.24400436426721,20.033523942008152
432,C1_A_stage3,prediction,ATU5,180,41.42755463774766,26.44288341008926
432,C1_A_stage3,prediction,MJ3,180,18.58882740580438,10.513000111777512
432,C1_A_stage3,prediction,MJ1,180,10.081841881166783,6.728145538351082
432,C1_A_stage3,prediction,four_point_mean,180,26.33555707224651,15.929388250556503
432,C1_B_stage3,train,ATU1,402,9.28760021411526,6.504559332149823
432,C1_B_stage3,train,ATU5,402,4.736101419688124,3.6251407140285887
432,C1_B_stage3,train,MJ3,402,5.7346949800868865,4.7932164117211205
432,C1_B_stage3,train,MJ1,402,5.792496349267864,5.315822124958514
432,C1_B_stage3,train,four_point_mean,402,6.3877232407895335,5.059684645714512
432,C1_B_stage3,prediction,ATU1,180,39.01956099860111,22.348874761292926
432,C1_B_stage3,prediction,ATU5,180,39.5731094754304,27.8457119037119
432,C1_B_stage3,prediction,MJ3,180,7.700247315122793,7.154907778959605
432,C1_B_stage3,prediction,MJ1,180,7.2106866054874335,6.6202123625859866
432,C1_B_stage3,prediction,four_point_mean,180,23.375901098660435,15.992426701637605
432,C1_A_final,train,ATU1,402,10.477029122228307,7.66840341794909
432,C1_A_final,train,ATU5,402,9.984390041653068,8.306827886477354
432,C1_A_final,train,MJ3,402,7.126564374607156,5.559972650661333
432,C1_A_final,train,MJ1,402,6.740748859182444,5.779182916826267
432,C1_A_final,train,four_point_mean,402,8.582183099417744,6.828596717978511
432,C1_A_final,prediction,ATU1,180,25.64228347204896,14.537012726699322
432,C1_A_final,prediction,ATU5,180,44.01559562769972,26.94581450272777
432,C1_A_final,prediction,MJ3,180,18.140812853681258,10.61968264837402
432,C1_A_final,prediction,MJ1,180,9.86679371408623,6.8119781625952704
432,C1_A_final,prediction,four_point_mean,180,24.416371416879038,14.728622010099095
432,C1_B_final,train,ATU1,402,9.289881826562407,6.516208186007232
432,C1_B_final,train,ATU5,402,4.522104997966691,3.4894864001808448
432,C1_B_final,train,MJ3,402,5.660612448913385,4.746570003890062
432,C1_B_final,train,MJ1,402,5.773004126981565,5.284370872476214
432,C1_B_final,train,four_point_mean,402,6.311400850106012,5.009158865638588
432,C1_B_final,prediction,ATU1,180,39.21849134972384,22.423337208902883
432,C1_B_final,prediction,ATU5,180,39.763564939633326,27.98161156341804
432,C1_B_final,prediction,MJ3,180,7.727231635427395,7.187094458668725
432,C1_B_final,prediction,MJ1,180,7.227674230466717,6.6431580660932825
432,C1_B_final,prediction,four_point_mean,180,23.48424053881282,16.05880032427073
612,C0_A_final,train,ATU1,582,14.686458974325044,9.266710099287955
612,C0_A_final,train,ATU5,582,13.577532534842693,9.954307018648803
612,C0_A_final,train,MJ3,582,7.527355351065702,5.439984582083746
612,C0_A_final,train,MJ1,582,7.629241221344582,5.238588164307771
612,C0_A_final,train,four_point_mean,582,10.855147020394504,7.474897466082069
612,C0_A_final,prediction,ATU1,180,5.320698769004508,4.3886555720076945
612,C0_A_final,prediction,ATU5,180,28.5686914234709,19.21459638588423
612,C0_A_final,prediction,MJ3,180,45.27330337943952,34.09370567219728
612,C0_A_final,prediction,MJ1,180,39.7555411515201,23.629624369620593
612,C0_A_final,prediction,four_point_mean,180,29.72955868085876,20.33164549992745
612,C0_B_final,train,ATU1,582,11.994297195331743,7.608479109564778
612,C0_B_final,train,ATU5,582,10.568501992548091,7.779946696075795
612,C0_B_final,train,MJ3,582,5.467275409959587,4.241184277143392
612,C0_B_final,train,MJ1,582,5.517660678199185,3.6958832546647313
612,C0_B_final,train,four_point_mean,582,8.386933819009652,5.8313733343621745
612,C0_B_final,prediction,ATU1,180,6.6712372828744675,4.700870167185011
612,C0_B_final,prediction,ATU5,180,5.37253195468351,4.864871408795375
612,C0_B_final,prediction,MJ3,180,18.09765138480158,16.769121654369467
612,C0_B_final,prediction,MJ1,180,11.80132396348587,9.022776386513025
612,C0_B_final,prediction,four_point_mean,180,10.485686146461358,8.839409904215719
612,C1_A_stage3,train,ATU1,582,11.051794319909623,7.871831088807978
612,C1_A_stage3,train,ATU5,582,12.792641961884124,9.593395499830336
612,C1_A_stage3,train,MJ3,582,5.407257101107933,4.314114177665121
612,C1_A_stage3,train,MJ1,582,5.667642885406843,4.285924493245118
612,C1_A_stage3,train,four_point_mean,582,8.729834067077132,6.516316314887139
612,C1_A_stage3,prediction,ATU1,180,8.350277950037922,7.243148485609835
612,C1_A_stage3,prediction,ATU5,180,7.593337851059339,6.067432014863618
612,C1_A_stage3,prediction,MJ3,180,46.34910492439999,37.22926220818953
612,C1_A_stage3,prediction,MJ1,180,32.79118488171003,21.08715877466824
612,C1_A_stage3,prediction,four_point_mean,180,23.770976401801818,17.906750370832807
612,C1_B_stage3,train,ATU1,582,9.324463701624094,6.21324222429777
612,C1_B_stage3,train,ATU5,582,12.295334623425072,9.869303333437582
612,C1_B_stage3,train,MJ3,582,7.98307731185414,6.057963486033294
612,C1_B_stage3,train,MJ1,582,6.21725355549414,4.768045617190292
612,C1_B_stage3,train,four_point_mean,582,8.955032298099361,6.7271386652397345
612,C1_B_stage3,prediction,ATU1,180,11.837538080338291,8.703757308107976
612,C1_B_stage3,prediction,ATU5,180,8.422822400658973,7.456231462620475
612,C1_B_stage3,prediction,MJ3,180,24.019433826376215,22.80941434610996
612,C1_B_stage3,prediction,MJ1,180,11.824539858825997,9.58287194699959
612,C1_B_stage3,prediction,four_point_mean,180,14.02608354154987,12.138068765959499
612,C1_A_final,train,ATU1,582,11.058486463109602,7.875050119064623
612,C1_A_final,train,ATU5,582,12.777273013401734,9.598222101747348
612,C1_A_final,train,MJ3,582,5.3202495765754465,4.238437444729605
612,C1_A_final,train,MJ1,582,5.613107105003628,4.228610629266781
612,C1_A_final,train,four_point_mean,582,8.692279039522603,6.48508007370209
612,C1_A_final,prediction,ATU1,180,8.338232006212165,7.232236730875034
612,C1_A_final,prediction,ATU5,180,7.588399444978679,6.071452644606835
612,C1_A_final,prediction,MJ3,180,44.070857641096644,35.601401118753486
612,C1_A_final,prediction,MJ1,180,29.946761359071658,19.746607146590435
612,C1_A_final,prediction,four_point_mean,180,22.48606261283979,17.162924410206447
612,C1_B_final,train,ATU1,582,9.309218201230326,6.205639353382652
612,C1_B_final,train,ATU5,582,12.291119836504315,9.860375303858861
612,C1_B_final,train,MJ3,582,7.984762329850742,6.060199945705636
612,C1_B_final,train,MJ1,582,6.209440846375518,4.761523183831929
612,C1_B_final,train,four_point_mean,582,8.948635303490224,6.72193444669477
612,C1_B_final,prediction,ATU1,180,12.001735680718294,8.759347434754826
612,C1_B_final,prediction,ATU5,180,8.530200572861025,7.521902417228047
612,C1_B_final,prediction,MJ3,180,24.01677444744763,22.806905633782044
612,C1_B_final,prediction,MJ1,180,11.81167384500132,9.578593652735748
612,C1_B_final,prediction,four_point_mean,180,14.090096136507068,12.166687284625166
