model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
B_ANCHOR,1,293,0.151431252491,0.698805460751,0.4891760689,1.07715905246,0.80204778157,0.656690667247,1.35552529066,0.882252559727,0.88431559942,1.72179633648,0.193827074323,0.330649785313,0.342727412022
B_ANCHOR,2,292,0.293537760793,0.700342465753,0.956058835285,2.09446884773,0.801369863014,1.29252558638,2.61898965466,0.867294520548,1.66040024476,3.23771840685,0.373122988091,0.619099500118,0.64444350208
B_ANCHOR,3,291,0.430046632713,0.689862542955,1.40959219665,3.08180021866,0.79295532646,1.89752231442,3.85207497438,0.865120274914,2.49487980582,4.78342989471,0.544464275265,0.886136598744,0.928147956113
B_ANCHOR,4,290,0.562495383726,0.695689655172,1.84742453055,4.05337171642,0.780172413793,2.46833876122,5.07019617369,0.866379310345,3.1167010894,6.23656255174,0.708441776255,1.14022503085,1.20103864888
B_ANCHOR,5,289,0.691027107331,0.693771626298,2.27020314682,5.01560293043,0.767301038062,3.01924801305,6.28596580983,0.857266435986,3.70548100766,7.81457633413,0.864286345773,1.38408977423,1.46458718978
B_ANCHOR,6,288,0.816196069075,0.691840277778,2.6976845508,5.96408016323,0.768229166667,3.55405878077,7.52086628792,0.850694444444,4.30068237665,9.37522972105,1.01355154838,1.6140105167,1.71550907631
B_ANCHOR,7,287,0.938512252218,0.692508710801,3.12113404034,6.91522897845,0.76393728223,4.04355984834,8.80203406572,0.844076655052,4.83056933761,10.9559183601,1.15718181693,1.8323077725,1.95552667615
B_ANCHOR,8,286,1.05870734956,0.689685314685,3.53719885239,7.87355737487,0.768356643357,4.54268226754,10.1704513606,0.839160839161,5.37462772894,12.714765764,1.29456881022,2.04267967546,2.18752250454
B_ANCHOR,9,285,1.17943245928,0.69649122807,3.97325080003,8.85556033866,0.764035087719,5.0527268836,11.6134853374,0.819298245614,5.92368376688,14.6019089026,1.42949032383,2.24962077547,2.41616120283
B_ANCHOR,10,284,1.30040554914,0.691901408451,4.40867927704,9.82025152747,0.765845070423,5.56676654914,13.0844239613,0.807218309859,6.42816718505,16.7411109969,1.56235880583,2.45316473339,2.64140715493
B_ANCHOR,11,283,1.42184679895,0.6925795053,4.83578183832,10.7818683782,0.773851590106,6.07033858723,14.5612603037,0.803003533569,6.91437579587,19.1595170622,1.69243091928,2.65350111574,2.86313963677
B_ANCHOR,12,282,1.54368241689,0.686170212766,5.25933888906,11.7369582875,0.774822695035,6.57960329969,16.13835991,0.803191489362,7.41716954895,21.8592106371,1.82004868431,2.8519672441,3.08181229706
B_ANCHOR,13,281,1.66542569317,0.686832740214,5.70721165965,12.6927288353,0.769572953737,7.07031993356,17.7162987324,0.800711743772,7.88784022679,24.4556079118,1.94514385075,3.04604913342,3.29546692855
B_ANCHOR,14,280,1.78720222594,0.6875,6.14747808247,13.6221894359,0.764285714286,7.5461054593,19.2987739978,0.801785714286,8.37801435395,27.2301314447,2.06802273282,3.23628492294,3.50430652557
B_ANCHOR,15,279,1.90812528242,0.689068100358,6.60752757019,14.5710607556,0.758064516129,8.02747291479,20.8640335771,0.799283154122,8.88602218072,30.055922583,2.18806363245,3.42203045525,3.7078249521
B_ANCHOR,16,278,2.02797008573,0.686151079137,7.05433589777,15.4824400962,0.756294964029,8.49448758477,22.3261429119,0.797661870504,9.37063362595,32.7446727708,2.30442958077,3.60231684621,3.90523408715
B_ANCHOR,17,277,2.14654710551,0.697653429603,7.52278063696,16.4123830448,0.751805054152,8.97206386849,23.7642597896,0.792418772563,9.84707679053,35.3769098029,2.41889651441,3.77688336752,4.09627533973
B_ANCHOR,18,276,2.26372025587,0.705615942029,7.98525916766,17.3297179944,0.749094202899,9.46096194655,25.181658123,0.787137681159,10.3285402982,38.0437365008,2.52836923421,3.9451653247,4.28065080124
B_ANCHOR,19,275,2.37907336397,0.704545454545,8.44934357814,18.2508625421,0.75,9.97462749088,26.5361038364,0.787272727273,10.8348034433,40.6375146095,2.63121651436,4.10651290171,4.45780825793
B_ANCHOR,20,274,2.49305595023,0.703467153285,8.93577407536,19.1710944033,0.747262773723,10.4949198879,27.8921205994,0.785583941606,11.3666978204,43.0960413413,2.72987115227,4.26119982408,4.62758737616
B_ANCHOR,21,273,2.60666111535,0.698717948718,9.41699071951,20.1285021448,0.751831501832,11.0152695348,29.2293032058,0.783882783883,11.9007309925,45.4190944264,2.82468549987,4.41227295842,4.79112067494
B_ANCHOR,22,272,2.71984849653,0.693933823529,9.88501381184,21.093003643,0.750919117647,11.5431508833,30.5285630654,0.780330882353,12.4438140706,47.6131775626,2.91614083077,4.55899349404,4.94782722022
B_ANCHOR,23,271,2.83267104825,0.688191881919,10.3492543576,22.0212883034,0.754612546125,12.0581557859,31.8178276418,0.778597785978,12.9781779375,49.6352280614,3.00377611426,4.70029212729,5.09695930629
B_ANCHOR,24,270,2.94513955423,0.685185185185,10.8134470797,22.9107042573,0.752777777778,12.5883254384,33.13299444,0.775925925926,13.5285002272,51.4067410451,3.08999440334,4.8356070806,5.2380671548
B_ANCHOR,25,269,3.05717519418,0.683085501859,11.3064829519,23.7877764885,0.744423791822,13.1417142741,34.4419785986,0.774163568773,14.087742895,53.1502612253,3.1745442779,4.96446447665,5.37062773605
B_ANCHOR,26,268,3.1684856011,0.689365671642,11.8087667532,24.6386473488,0.741604477612,13.6900391584,35.7224529058,0.771455223881,14.6602646965,54.9782080291,3.25633300225,5.0868271539,5.49464681753
B_ANCHOR,27,267,3.27851419638,0.692883895131,12.3133931915,25.492631224,0.736891385768,14.2541211312,36.9585199767,0.769662921348,15.2358605074,56.7111530117,3.33471726741,5.2015364067,5.60967529795
B_ANCHOR,28,266,3.38813348377,0.697368421053,12.8284951588,26.3534170982,0.740601503759,14.8293524019,38.1284977265,0.769736842105,15.8224784739,58.6520202717,3.41096051937,5.30964901932,5.71638988846
B_ANCHOR,29,265,3.49761591633,0.695283018868,13.3672865309,27.1954724326,0.73679245283,15.4112213885,39.3158061673,0.765094339623,16.4463795509,60.253585068,3.48459192787,5.41090866843,5.81493271463
B_ANCHOR,30,264,3.60718831862,0.696022727273,13.8912515515,28.0282475359,0.737689393939,15.971362203,40.4514679249,0.761363636364,17.0703866376,62.0107192525,3.55631367119,5.50596339717,5.90614069066
B_RAW,1,293,,,,,,,,,,,6.90168925036,9.12417321777,9.45063001363
B_RAW,2,292,,,,,,,,,,,6.92506317938,9.13978203258,9.46679738626
B_RAW,3,291,,,,,,,,,,,6.94834899702,9.15546748581,9.48304429133
B_RAW,4,290,,,,,,,,,,,6.9715389428,9.1712275453,9.49936889261
B_RAW,5,289,,,,,,,,,,,6.99463709635,9.18706056008,9.51576957908
B_RAW,6,288,,,,,,,,,,,7.01764666608,9.20296494347,9.53224480763
B_RAW,7,287,,,,,,,,,,,7.04044689989,9.21892354695,9.54878440097
B_RAW,8,286,,,,,,,,,,,7.0630649903,9.23492597081,9.56538057109
B_RAW,9,285,,,,,,,,,,,7.08570110169,9.25101277589,9.58205654341
B_RAW,10,284,,,,,,,,,,,7.108296873,9.26717169022,9.5988048285
B_RAW,11,283,,,,,,,,,,,7.13083201185,9.2833958894,9.61562146457
B_RAW,12,282,,,,,,,,,,,7.15330904683,9.29968270437,9.63250485548
B_RAW,13,281,,,,,,,,,,,7.17573787998,9.31603093682,9.64945427298
B_RAW,14,280,,,,,,,,,,,7.19812969484,9.33243989563,9.66646935562
B_RAW,15,279,,,,,,,,,,,7.22021155177,9.34886401409,9.68352273776
B_RAW,16,278,,,,,,,,,,,7.2422862667,9.36536343541,9.70064897903
B_RAW,17,277,,,,,,,,,,,7.26435544537,9.38193075211,9.71784483348
B_RAW,18,276,,,,,,,,,,,7.28641369357,9.3985597523,9.7351076616
B_RAW,19,275,,,,,,,,,,,7.30847049306,9.4152488195,9.752437354
B_RAW,20,274,,,,,,,,,,,7.33054072908,9.43199813881,9.76983486123
B_RAW,21,273,,,,,,,,,,,7.35264052763,9.44880848944,9.78730155932
B_RAW,22,272,,,,,,,,,,,7.37474296406,9.4656718101,9.80483355254
B_RAW,23,271,,,,,,,,,,,7.39690619978,9.48260133993,9.82243948859
B_RAW,24,270,,,,,,,,,,,7.41905662002,9.49957684455,9.84010831177
B_RAW,25,269,,,,,,,,,,,7.44101181365,9.51655319968,9.85781270461
B_RAW,26,268,,,,,,,,,,,7.46306910813,9.53362768698,9.87561116479
B_RAW,27,267,,,,,,,,,,,7.48514188163,9.55076180916,9.89348253377
B_RAW,28,266,,,,,,,,,,,7.50722664521,9.56795216538,9.911425749
B_RAW,29,265,,,,,,,,,,,7.52933190826,9.58520011945,9.92944251372
B_RAW,30,264,,,,,,,,,,,7.55136834797,9.60247562025,9.94751495297
B_TREND14,1,293,0.0945586342533,0.747440273038,0.313400551835,0.740976987152,0.870307167235,0.458038316663,1.01599648988,0.922354948805,0.675874711794,1.39195752887,0.117436916056,0.214879526837,0.237517096526
B_TREND14,2,292,0.184903051667,0.742294520548,0.624017602364,1.43663010886,0.862157534247,0.942061927461,1.92642979966,0.909246575342,1.30790612011,2.56114108995,0.231265361043,0.397423603966,0.429716814225
B_TREND14,3,291,0.274440582617,0.739690721649,0.929626923572,2.11319985692,0.859965635739,1.41525171527,2.82736390557,0.906357388316,1.89857971369,3.67932943954,0.344118233916,0.567914225317,0.606994217624
B_TREND14,4,290,0.363312236497,0.739655172414,1.26120343657,2.76898048691,0.843965517241,1.83103546823,3.65516706488,0.9,2.43096007184,4.63965058055,0.456299652201,0.735103751099,0.781238778846
B_TREND14,5,289,0.45064092777,0.727508650519,1.57679933812,3.4011507816,0.828719723183,2.23779881364,4.42931695178,0.891003460208,2.90867561457,5.62604241726,0.56619558917,0.902068217444,0.955998169965
B_TREND14,6,288,0.536151434061,0.728298611111,1.89722666504,4.03710730359,0.827256944444,2.61694678348,5.14847829221,0.881944444444,3.34663131929,6.64294930808,0.673295230952,1.06429872998,1.12629092735
B_TREND14,7,287,0.619496789045,0.730836236934,2.20036745587,4.62803791969,0.822299651568,2.96518197084,5.88004659597,0.878048780488,3.86537105919,7.64856451928,0.776839767515,1.22199130922,1.29277866585
B_TREND14,8,286,0.700345336747,0.726398601399,2.48306602381,5.2363487472,0.815559440559,3.32628927488,6.70319769155,0.868006993007,4.2193231371,8.68022799397,0.874882463232,1.37868711249,1.45975238699
