model,horizon,point,n,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse
B_ANCHOR,1,ATU1,293,0.199097554424,0.672354948805,0.581545698443,1.39367072625,0.754266211604,0.788388702518,1.63340180744,0.843003412969,1.00633462912,1.8962778186,0.263492418851,0.445628476368
B_ANCHOR,1,ATU5,293,0.13747786713,0.655290102389,0.357733259552,0.955088724098,0.774744027304,0.516373882943,1.13517698581,0.870307167235,0.68126439636,1.34187585845,0.179388767044,0.312176165065
B_ANCHOR,1,MJ3,293,0.109882588678,0.720136518771,0.490856328266,0.749144187339,0.80204778157,0.598071681778,0.897414516754,0.870307167235,0.691338904177,1.05844624995,0.14087902717,0.197800543982
B_ANCHOR,1,MJ1,293,0.159266999731,0.747440273038,0.526568989337,1.21073257213,0.877133105802,0.723928401748,1.75610785266,0.945392491468,1.15832446803,2.5905854189,0.191548084228,0.366993955837
B_ANCHOR,2,ATU1,292,0.396201652535,0.678082191781,1.12881659449,2.81073433294,0.746575342466,1.52579484457,3.35503801027,0.828767123288,1.95279002654,3.94017176348,0.521373980555,0.881398467659
B_ANCHOR,2,ATU5,292,0.274345431876,0.664383561644,0.695075168908,1.94343599177,0.777397260274,1.01652560417,2.35588811494,0.856164383562,1.29078831244,2.83176492134,0.354483690142,0.618220117997
B_ANCHOR,2,MJ3,292,0.215172036367,0.712328767123,0.986081287478,1.47696712086,0.804794520548,1.19928828044,1.75056138858,0.86301369863,1.38909254168,2.05911985055,0.272148870389,0.376315348607
B_ANCHOR,2,MJ1,292,0.288431922393,0.746575342466,1.01426229026,2.14673794535,0.876712328767,1.42849361634,3.01447110485,0.921232876712,2.00893009838,4.11981709205,0.344485411278,0.600464066209
B_ANCHOR,3,ATU1,291,0.58958426179,0.66323024055,1.64388397988,4.25166836756,0.745704467354,2.23580831868,5.15518593202,0.821305841924,2.73451784473,6.24452291562,0.772793004538,1.30627008408
B_ANCHOR,3,ATU5,291,0.410080801586,0.666666666667,1.01706040309,2.95900904793,0.773195876289,1.49779313133,3.63828612069,0.855670103093,1.98784490717,4.48861971399,0.525602595179,0.917499060068
B_ANCHOR,3,MJ3,291,0.319351030638,0.690721649485,1.48990460262,2.20682150048,0.773195876289,1.8049349483,2.62261827278,0.855670103093,2.07288713445,2.98866320518,0.399067935531,0.547556487255
B_ANCHOR,3,MJ1,291,0.401170436839,0.73883161512,1.48751980101,2.90970195868,0.879725085911,2.05155285938,3.99220957204,0.927835051546,3.18426933691,5.41191374405,0.480393565812,0.773220763569
B_ANCHOR,4,ATU1,290,0.778352803974,0.672413793103,2.11402727458,5.68017594185,0.748275862069,2.90116842653,7.03324370291,0.81724137931,3.64915477424,8.50731862177,1.01601762034,1.71880258642
B_ANCHOR,4,ATU5,290,0.543899017807,0.672413793103,1.31537721324,3.98000728879,0.758620689655,1.93396070995,4.95237680987,0.855172413793,2.45660765826,6.11012934359,0.693184292167,1.20916642097
B_ANCHOR,4,MJ3,290,0.424079620076,0.696551724138,2.00765909922,2.96185800737,0.765517241379,2.41737013294,3.53779121966,0.855172413793,2.72187542915,4.06841750529,0.521290406869,0.715526058892
B_ANCHOR,4,MJ1,290,0.503650093048,0.741379310345,1.95263453515,3.59144562765,0.848275862069,2.62085577547,4.75737296233,0.937931034483,3.63916649593,6.26038473629,0.603274785643,0.917405057098
B_ANCHOR,5,ATU1,289,0.961980617524,0.664359861592,2.54080973366,7.10245809965,0.743944636678,3.51192608238,8.87729257961,0.809688581315,4.25209076074,11.0500416675,1.25099639313,2.11755371412
