phase,model,rule,point,history_teacher_prefix,current_teacher_prefix,history_rows,historical_bias,historical_rms,unit_ratio,sigma_first,sigma_last,sigma_average,forecast_rmse
development,BPLUS_CONTINUOUS,LAST90,ATU1,612,792,90,1.2111448647592011,2.8998847036026167,1.1578718213590387,2.8998847036026167,2.8998847036026167,2.8998847036026167,40.328442814079295
development,BPLUS_CONTINUOUS,LAST90,ATU5,612,792,90,-4.5443880839646615,5.7938356573034175,1.1967821723614138,5.793835657303418,5.793835657303418,5.793835657303418,48.518020357563614
development,BPLUS_CONTINUOUS,LAST90,MJ3,612,792,90,81.51755875051477,83.01842245088879,1.0862529585487286,83.01842245088879,83.01842245088879,83.01842245088879,36.377155092530664
development,BPLUS_CONTINUOUS,LAST90,MJ1,612,792,90,24.86061108585562,25.34751131333769,1.2368775209065703,25.34751131333769,25.34751131333769,25.34751131333769,40.24986922358542
development,BPLUS_CONTINUOUS,DIST90,ATU1,612,792,90,1.2111448647592011,2.8998847036026167,1.1578718213590387,2.8998847036026167,2.8998847036026167,2.8998847036026167,40.328442814079295
development,BPLUS_CONTINUOUS,DIST90,ATU5,612,792,90,-4.5443880839646615,5.7938356573034175,1.1967821723614138,5.793835657303418,5.793835657303418,5.793835657303418,48.518020357563614
development,BPLUS_CONTINUOUS,DIST90,MJ3,612,792,90,81.51755875051477,83.01842245088879,1.0862529585487286,83.01842245088879,83.01842245088879,83.01842245088879,36.377155092530664
development,BPLUS_CONTINUOUS,DIST90,MJ1,612,792,90,24.86061108585562,25.34751131333769,1.2368775209065703,25.34751131333769,25.34751131333769,25.34751131333769,40.24986922358542
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU1,612,792,90,1.2111448647592011,2.8998847036026167,1.1578718213590387,3.357694783491578,3.357694783491578,3.357694783491578,40.328442814079295
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU5,612,792,90,-4.5443880839646615,5.7938356573034175,1.1967821723614138,6.933959224252605,6.933959224252605,6.933959224252604,48.518020357563614
development,BPLUS_CONTINUOUS,DIST90_UNIT,MJ3,612,792,90,81.51755875051477,83.01842245088879,1.0862529585487286,90.17900700132614,90.17900700132614,90.17900700132614,36.377155092530664
