fit_days,part,band,station,seed,count,H_correction_mean_mm,H_correction_rms_mm,H_rmse_mm,H_mae_mm,H_bias_mm,H_active_count,H_wrong_direction_count,H_mse_minus_P0_mm2,H_mse_identity_mm2,H0_correction_mean_mm,H0_correction_rms_mm,H0_rmse_mm,H0_mae_mm,H0_bias_mm,H0_active_count,H0_wrong_direction_count,H0_mse_minus_P0_mm2,H0_mse_identity_mm2,history_effect_mean_mm,history_effect_rms_mm,history_effect_max_abs_mm,H_minus_H0_rmse_mm,H_minus_H0_mae_mm,H_minus_H0_mse_mm2,history_mse_identity_mm2
342,training_pairs,all,ATU1,0,136,-9.950863235984102,14.027028252202044,1.8177437703359338,1.3978930677475336,-0.08611090803378647,136,0,-198.27693476078647,-198.27693476078647,-10.543302457212512,14.181188942197545,2.469349968136765,1.9362010746142517,-0.6785501292621963,136,0,-195.48343791024453,-195.48343791024453,0.5924392212284098,1.7649410933035086,5.540796048481177,-0.6516061978008314,-0.5383080068667181,-2.793496850541947,-2.793496850541947
342,training_pairs,all,ATU1,1,136,-9.852376113294937,14.127452728056879,1.3495492483785345,1.0070588032571832,0.012376214655374229,136,0,-199.7598440015825,-199.75984400158248,-10.50959278989494,14.37759677233858,2.0650666709950505,1.530174110664646,-0.6448404619446271,136,0,-197.316626819727,-197.31662681972696,0.6572166766000014,1.5991757641461701,6.0340208619618245,-0.715517422616516,-0.5231153074074628,-2.443217181855512,-2.4432171818555117
342,training_pairs,all,ATU1,2,136,-9.843091767978905,14.056074547256644,1.4210060815657777,1.0597000926746256,0.021660559971408692,136,0,-199.56186889153463,-199.56186889153463,-10.296577870457748,13.909952009825487,2.529192327148216,1.8644561482831685,-0.43182554250743316,136,0,-195.18431334767615,-195.18431334767615,0.4534861024788418,1.915211214967149,5.282952648653872,-1.1081862455824385,-0.8047560556085429,-4.3775555438584846,-4.3775555438584846
342,training_pairs,all,ATU1,ensemble,136,-9.882110372419316,14.051403509513888,1.3607451125745342,1.017691454664826,-0.017358044469001282,136,0,-199.72949991398607,-199.72949991398607,-10.449824372521732,14.133316816297127,2.21380234438878,1.6721748953026088,-0.5850720445714188,136,0,-196.6802063553603,-196.68020635536027,0.5677140001024175,1.6678545537936778,4.986424101571682,-0.8530572318142458,-0.6544834406377829,-3.0492935586257763,-3.0492935586257763
342,training_pairs,all,ATU5,0,136,-11.542655699896287,17.441675966621858,1.2979071837863572,1.0194830387285574,0.04339474105113452,136,0,-303.8523502726166,-303.85235027261666,-13.135168407885084,17.51169055443153,3.3556984727591685,2.496305733508812,-1.5491179669376616,136,0,-294.27620109026265,-294.2762010902627,1.5925127079887964,3.1802628119282748,11.125036350630724,-2.0577912889728114,-1.4768226947802545,-9.576149182353985,-9.576149182353985
342,training_pairs,all,ATU5,1,136,-11.791694356768417,17.39031676223711,1.2559208337933228,0.9253262965108915,-0.2056439158209924,136,0,-303.9595761895847,-303.95957618958477,-13.49881097745003,18.21654572117461,3.053795689761987,2.31504241339201,-1.9127605365026081,136,0,-296.21124521553196,-296.21124521553196,1.7071166206816155,2.6611934170108755,9.046959180289871,-1.7978748559686644,-1.3897161168811185,-7.748330974052772,-7.748330974052774
342,training_pairs,all,ATU5,2,136,-11.721505668657858,17.546478902253465,1.4857927360047627,1.1545733802317737,-0.1354552277104356,136,0,-303.3293332759763,-303.3293332759764,-12.256656940646325,16.934443194283666,3.0218165281168474,2.387208244440496,-0.6706064996989032,136,0,-296.4055382007407,-296.4055382007407,0.5351512719884677,2.6824932071180516,7.348976449708722,-1.5360237921120847,-1.2326348642087224,-6.923795075235641,-6.92379507523564
342,training_pairs,all,ATU5,ensemble,136,-11.685285241774189,17.4452342555664,1.1494890843039147,0.8647764896117871,-0.09923480082676445,136,0,-304.215588175407,-304.215588175407,-12.963545441993814,17.525063566785338,2.933945248174421,2.2736428616443902,-1.377495001046391,136,0,-296.92887861105555,-296.9288786110556,1.2782602002196266,2.5831366093880033,7.153901757838481,-1.7844561638705063,-1.4088663720326031,-7.286709564351414,-7.286709564351414
342,training_pairs,all,MJ3,0,136,0.34529058351430963,2.5798212339069084,1.2136987945150517,1.0029495119177028,0.02204556351906197,136,14,-5.311057409001152,-5.311057409001152,0.8640725348800423,2.4389358537058876,1.939312816949653,1.3277417754905594,0.5408275148847947,136,21,-3.0231879708232428,-3.0231879708232423,-0.5187819513657327,1.4510032321077475,5.44623646858713,-0.7256140224346013,-0.3247922635728566,-2.287869438177909,-2.287869438177909
342,training_pairs,all,MJ3,1,136,0.5175391508350415,2.4429656561142354,1.4362417023654503,1.1573351301584798,0.19429413083979372,136,24,-4.721331945194835,-4.721331945194835,0.5762991935992652,2.5452535907342773,2.4143233233187305,1.7412208838927792,0.2530541736040175,136,35,-0.9551650632876418,-0.9551650632876416,-0.05876004276422367,1.481808157409269,5.176658215188804,-0.9780816209532801,-0.5838857537342994,-3.7661668819071936,-3.7661668819071936
