fit_days,part,band,station,count,need_mean_mm,need_rms_mm,need_min_mm,need_max_mm,training_count,training_need_min_mm,training_need_max_mm,training_need_rms_mm,outside_training_count,outside_training_fraction,maximum_excess_mm,need_rms_over_training
342,training_pairs,all,ATU1,136,-9.864752327950313,14.197926861883095,-24.060849924441328,12.004041422062873,136,-24.060849924441328,12.004041422062873,14.197926861883095,0,0.0,0.0,1.0
342,training_pairs,all,ATU5,136,-11.586050440947423,17.47961422143924,-28.731324373598213,17.800750874947568,136,-28.731324373598213,17.800750874947568,17.47961422143924,0,0.0,0.0,1.0
342,training_pairs,all,MJ3,136,0.3232450199952477,2.6046347484452483,-4.920754499474356,3.4097243480391626,136,-4.920754499474356,3.4097243480391626,2.6046347484452483,0,0.0,0.0,1.0
342,training_pairs,all,MJ1,136,-0.36162772278227767,4.52229576173668,-8.09981846986966,8.828307854034847,136,-8.09981846986966,8.828307854034847,4.52229576173668,0,0.0,0.0,1.0
342,training_pairs,1_30,ATU1,66,-6.508516249591654,13.191592073641088,-23.83809970124502,12.004041422062873,66,-23.83809970124502,12.004041422062873,13.191592073641088,0,0.0,0.0,1.0
342,training_pairs,1_30,ATU5,66,-7.275936597125689,16.430401084224275,-28.731324373598213,17.800750874947568,66,-28.731324373598213,17.800750874947568,16.430401084224275,0,0.0,0.0,1.0
342,training_pairs,1_30,MJ3,66,-0.027962401293793293,2.4830568862639892,-4.8571879467322105,3.240762030235487,66,-4.8571879467322105,3.240762030235487,2.4830568862639892,0,0.0,0.0,1.0
342,training_pairs,1_30,MJ1,66,0.2193381494631987,4.410241092228759,-8.08183276258228,7.872290870658389,66,-8.08183276258228,7.872290870658389,4.410241092228759,0,0.0,0.0,1.0
342,training_pairs,31_90,ATU1,34,-11.066209936772074,14.052932204426998,-23.867741783757936,11.149663230364819,34,-23.867741783757936,11.149663230364819,14.052932204426998,0,0.0,0.0,1.0
342,training_pairs,31_90,ATU5,34,-13.024100099264858,17.187930550508764,-28.723592532790576,16.498675529179614,34,-28.723592532790576,16.498675529179614,17.187930550508764,0,0.0,0.0,1.0
342,training_pairs,31_90,MJ3,34,0.5267757905492592,2.5393791572934012,-4.509223852648802,3.1726733654228383,34,-4.509223852648802,3.1726733654228383,2.5393791572934012,0,0.0,0.0,1.0
