origin,first_forecast_date,last_available_date,history_start_date,difference_left_date,month,month_days,prior_same_month_rows,remaining_month_rows,crosses_monthly_piece,raw_observation_as_of_verified
252,2017-03-10,2017-03-09,2017-02-08,2017-02-07,2017-03,31,9,22,True,unknown
342,2017-06-08,2017-06-07,2017-05-09,2017-05-08,2017-06,30,7,23,True,unknown
432,2017-09-06,2017-09-05,2017-08-07,2017-08-06,2017-09,30,5,25,True,unknown
612,2018-03-05,2018-03-04,2018-02-03,2018-02-02,2018-03,31,4,27,True,unknown
