origin,source_index,date,station,u_mm,du_mm_per_day
252,222,2017-02-08,ATU1,49.60207864518889,0.05305153557191744
252,222,2017-02-08,ATU5,82.01923959296929,0.054644266171109734
252,222,2017-02-08,MJ3,968.677928393996,0.3839229584364148
252,222,2017-02-08,MJ1,695.0837296254779,0.514064094006585
252,223,2017-02-09,ATU1,49.65044143241533,0.04836278722643783
252,223,2017-02-09,ATU5,82.07132914454388,0.05208955157459627
252,223,2017-02-09,MJ3,969.0773283610615,0.39939996706550573
252,223,2017-02-09,MJ1,695.619800560708,0.5360709352301001
252,224,2017-02-10,ATU1,49.69398965309868,0.04354822068335551
252,224,2017-02-10,ATU5,82.12089935157988,0.04957020703599824
252,224,2017-02-10,MJ3,969.4911961379364,0.41386777687489484
252,224,2017-02-10,MJ1,696.1763144913249,0.5565139306169158
252,225,2017-02-11,ATU1,49.73259748904123,0.038607835942549684
252,225,2017-02-11,ATU5,82.16798558413528,0.0470862325554009
252,225,2017-02-11,MJ3,969.9185225258025,0.42732638786606003
252,225,2017-02-11,MJ1,696.7517075714916,0.5753930801666911
252,226,2017-02-12,ATU1,49.76613912204535,0.03354163300411983
252,226,2017-02-12,ATU5,82.21262321226801,0.0446376281327332
252,226,2017-02-12,MJ3,970.3582983258406,0.4397758000380918
252,226,2017-02-12,MJ1,697.3444159553709,0.5927083838793124
252,227,2017-02-13,ATU1,49.79448873391336,0.028349611868009106
252,227,2017-02-13,ATU5,82.25484760603597,0.042224393767952506
252,227,2017-02-13,MJ3,970.8095143392319,0.4512160133913312
252,227,2017-02-13,MJ1,697.9528757971259,0.6084598417550069
252,228,2017-02-14,ATU1,49.81752050644761,0.02303177253424593
252,228,2017-02-14,ATU5,82.29469413549715,0.03984652946118672
252,228,2017-02-14,MJ3,971.2711613671577,0.4616470279257783
252,228,2017-02-14,MJ1,698.5755232509198,0.6226474537938884
252,229,2017-02-15,ATU1,49.83510862145044,0.017588115002830307
252,229,2017-02-15,ATU5,82.33219817070946,0.03750403521230794
252,229,2017-02-15,MJ3,971.7422302107988,0.4710688436410919
252,229,2017-02-15,MJ1,699.2107944709154,0.6352712199956159
252,230,2017-02-16,ATU1,49.84712726072418,0.012018639273740916
252,230,2017-02-16,ATU5,82.36739508173086,0.035196911021401434
252,230,2017-02-16,MJ3,972.2217116713365,0.4794814605377269
252,230,2017-02-16,MJ1,699.8571256112758,0.6463311403604166
252,231,2017-02-17,ATU1,49.85345060607117,0.006323345346991971
252,231,2017-02-17,ATU5,82.40032023861929,0.03292515688842457
252,231,2017-02-17,MJ3,972.708596549952,0.4868848786154558
