name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h612_OOF_o432,612,OOF,432,432,180,0,ATU1,0.03603922245392113,7.424541936357849
h612_OOF_o432,612,OOF,432,432,180,0,ATU5,0.05950251044003151,10.01057298391923
h612_OOF_o432,612,OOF,432,432,180,0,MJ3,0.0581367352930833,10.764772939550852
h612_OOF_o432,612,OOF,432,432,180,0,MJ1,0.06794033474309949,14.396958381696326
h612_OOF_o432,612,OOF,432,432,180,29,ATU1,9.232060732184456e-05,12.896361251332491
h612_OOF_o432,612,OOF,432,432,180,29,ATU5,6.70806944685756e-05,21.662620510288825
h612_OOF_o432,612,OOF,432,432,180,29,MJ3,1.5049067768180107e-05,23.063099558430178
h612_OOF_o432,612,OOF,432,432,180,29,MJ1,5.459288129730731e-05,19.083048054982555
h612_OOF_o432,612,OOF,432,432,180,179,ATU1,7.783712012730417e-17,8.322916562292665
h612_OOF_o432,612,OOF,432,432,180,179,ATU5,4.997350528667092e-16,8.211324081857502
h612_OOF_o432,612,OOF,432,432,180,179,MJ3,4.339558595257528e-16,8.943298566568046
h612_OOF_o432,612,OOF,432,432,180,179,MJ1,3.954428304580722e-18,10.017907637580896
